uid	source	scene	sent	type	bucket	focalizer	context	text	guess_speaker	guess_conf	gold_speaker	target	checked	note
1_0	两匹狼的婚礼	1	0	action	物理	柯尔	►小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有勇无谋到了极点，果不其然触礁了。但就在这个时候，我在神的引导下认识了堪称人生导师的人，造就今天的我。 ‖ 这段时间，我始终努力工作，也自认没有怠忽学业。 ‖ 当然，尽管还有很多缺失，我仍确切感受到自己的进步。	小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有勇无谋到了极点，果不其然触礁了。但就在这个时候，我在神的引导下认识了堪称人生导师的人，造就今天的我。	柯尔	0.30	柯尔			
1_4	两匹狼的婚礼	1	4	action	心理-自指	柯尔	这段时间，我始终努力工作，也自认没有怠忽学业。 ‖ 当然，尽管还有很多缺失，我仍确切感受到自己的进步。 ‖ 所以两个月前，我即使没有做好十成十的准备，也毅然决定离开温泉乡纽希拉，再度踏上远游之旅。 ‖ ►虽然教会的种种问题造成社会混乱，旅程也很快就遇上风风雨雨，我仍在神的庇护下平安克服困难，人们也给了我意想不到的赞誉。最近这几天，我为愈来愈夸张的名声感到很为难，承受不起的同时，我瘦弱的肩也慢慢扛起了背负这名声的责任。 ‖ 必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。 ‖ 我名叫托特．寇尔。	虽然教会的种种问题造成社会混乱，旅程也很快就遇上风风雨雨，我仍在神的庇护下平安克服困难，人们也给了我意想不到的赞誉。最近这几天，我为愈来愈夸张的名声感到很为难，承受不起的同时，我瘦弱的肩也慢慢扛起了背负这名声的责任。	柯尔	0.24	柯尔			非主角视角心理:存疑
1_15	两匹狼的婚礼	1	15	action	心理-自指	柯尔	就某方面而言，那说不定真是想迷惑神的羔羊的恶魔。因为趴在我胸口酣睡的，是一个年轻少女。 ‖ 虽然她体格纤瘦脚又长，愉快时的步伐轻盈得像颗蓬松毛球，然而压在身上时再不情愿也会感到她的成长。如果她是个牙牙学语的幼儿还能说可爱，但是长这么大了还做这种事，只会让人觉得“沉重”　。 ‖ 无论告诫过多少次，她都全当耳边风，照样动不动就半夜钻到我被子底下。看着她的睡脸，我不禁用鼻子叹息。 ‖ ►缪里是我大恩人罗伦斯和贤狼赫萝的独生女，我从她出生就在照顾，跟妹妹没两样。这个野丫头经常嚷嚷着想离开出生的村落，看看外面的世界，擅自跟我来旅行。 ‖ 她传自父亲，色泽奇异的银色浏海轻轻晃荡，下垂的长长睫毛微微颤动。嘴里不知在念些什么，睡猫翻身似的蜷动，把头缩进被子底下。 ‖ 那纯真的睡相令我不禁微笑之后，我注意到鼻子很痒。	缪里是我大恩人罗伦斯和贤狼赫萝的独生女，我从她出生就在照顾，跟妹妹没两样。这个野丫头经常嚷嚷着想离开出生的村落，看看外面的世界，擅自跟我来旅行。	缪里	0.39	缪里			非主角视角心理:存疑
1_22	两匹狼的婚礼	1	22	action	心理-自指	柯尔	可是鼻子痒与香气无关，也不是受到飘逸发丝的搔弄。 ‖ 而是因为她头上那对三角形大狼耳。 ‖ 缪里是继承了狼血的女孩，有漂亮的狼耳和狼尾，有时我会因为她的耳尖钻到鼻孔里而醒来。看着狼耳随鼻息舒服地抽动，我忍不住吞吞口水。 ‖ ►不是因为可爱少女、可爱的狼耳和她疏于防备的睡姿让我胡思乱想，就只是为了在坏预感让我叫出声之前拼命忍住而已。 ‖ “不会吧。” ‖ 被子一掀，胸膛上的缪里就冷得缩身。狼尾随后不悦地摇动，看起来比平时还蓬松，在探入窗口的朝阳下闪闪发亮。	不是因为可爱少女、可爱的狼耳和她疏于防备的睡姿让我胡思乱想，就只是为了在坏预感让我叫出声之前拼命忍住而已。	赫萝	0.39	赫萝			非主角视角心理:存疑
1_54	两匹狼的婚礼	1	54	dialogue	anaphoric	柯尔	“我在想喔，如果我们捡一只一样颜色的野狗回来，是不是就不用挑啦？” ‖ “咦？这样子──” ‖ 说到一半，我也哑了。 ‖ ►“尾巴的毛不管怎么洗，在这种时候也处理不完的啦。再说我也不敢保证睡着以后耳朵尾巴不会跑出来。” ‖ 缪里虽能自由收放耳朵尾巴，然而放出来才是自然状态，因此很容易在惊吓或愤怒时自己跑出来。 ‖ 既然睡着时容易跑出来，也就是恐怕要天天这样挑，她的想法是有点参考价值。	尾巴的毛不管怎么洗，在这种时候也处理不完的啦。再说我也不敢保证睡着以后耳朵尾巴不会跑出来。	缪里	0.55	缪里			
2_2	两匹狼的婚礼	2	2	dialogue	unmarked	柯尔	另外，在缪里面前坐成一排的野狗们之所以毛有点乱，是因为它们也和缪里一样正在换毛吧。感觉只要找到和缪里同色的狗，还真能混得过去。 ‖ “找得到吗？” ‖ ►“嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。” ‖ 我不太懂野狗的习性，难道相近的自然会聚在一起吗。 ‖ “你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？”	嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。	缪里	0.40	缪里			
2_4	两匹狼的婚礼	2	4	dialogue	unmarked	柯尔	“找得到吗？” ‖ “嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。” ‖ 我不太懂野狗的习性，难道相近的自然会聚在一起吗。 ‖ ►“你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？” ‖ 她是指比较大的城镇都一定会有的某某人街吧。既然这样说，倒也没错。 ‖ “所以他们从故乡带来的狗，也会在那里建立地盘？”	你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？	缪里	0.40	缪里			
1_2	后日谈	1	2	action	物理	艾尼克	“哟！骑士大人，你好啊。” ‖ 在我躺在石阶上享受阳光时，有人这么搭腔。 ‖ ►虽然我有一个叫做艾尼克的气派名字，但名字毕竟是名字，能够拥有骑士这个别名也不赖。我态度大方地用鼻子叹了口气后，甩了一下尾巴。 ‖ “对了，祭司大人在里面吗？” ‖ 女子头上绑着毛巾，两手的袖子高高卷起，有着如熊般壮硕的体格。	虽然我有一个叫做艾尼克的气派名字，但名字毕竟是名字，能够拥有骑士这个别名也不赖。我态度大方地用鼻子叹了口气后，甩了一下尾巴。	艾尼克	0.30	艾尼克			
1_11	后日谈	1	11	dialogue	unmarked	艾尼克	“……” ‖ 我勉强撑起就快闭上的沉重眼睑看向女子。 ‖ 疲惫地挺起身子后，我走回圣堂里去。 ‖ ►“不过啊，小朋友们说看到一辆全黑的马车呢……这听起来不就像是幽灵马车吗？实在让人很放心不下耶。” ‖ 在我的带路下，女子以怀疑的口吻说道，但很明显地，女子的好奇胜过疑心。 ‖ 尽管外表像一只熊，女子的个性却像一只猫。	不过啊，小朋友们说看到一辆全黑的马车呢……这听起来不就像是幽灵马车吗？实在让人很放心不下耶。	艾尼克	0.40	艾尼克			
1_33	后日谈	1	33	dialogue	unmarked	艾尼克	尽管已经过了好几年，主人还是带着孩子气。 ‖ “我不会骂你的啦。” ‖ 女子开怀大笑地说道。主人难为情地笑笑，旋即缩起身子，但与我视线交会时，却带着些许恨意瞪了我一眼。竟然怪到我头上来，有没有搞错对象啊？ ‖ ►“那个，对了，有什么事吗？如果是要问公会的守护圣人祭典的准备进度，波滋先生已经帮我接了这个工作……” ‖ “喔，不是啦。我听说有马车朝向城里过来。我在想可能是祭司大人之前说过的人要来，所以来通知你。” ‖ “……马车？”	那个，对了，有什么事吗？如果是要问公会的守护圣人祭典的准备进度，波滋先生已经帮我接了这个工作……	艾尼克	0.40	艾尼克			
1_34	后日谈	1	34	dialogue	unmarked	艾尼克	“我不会骂你的啦。” ‖ 女子开怀大笑地说道。主人难为情地笑笑，旋即缩起身子，但与我视线交会时，却带着些许恨意瞪了我一眼。竟然怪到我头上来，有没有搞错对象啊？ ‖ “那个，对了，有什么事吗？如果是要问公会的守护圣人祭典的准备进度，波滋先生已经帮我接了这个工作……” ‖ ►“喔，不是啦。我听说有马车朝向城里过来。我在想可能是祭司大人之前说过的人要来，所以来通知你。” ‖ “……马车？” ‖ “是啊。你不是说过吗？我忘了是什么事情，但好像有人邀你远行。”	喔，不是啦。我听说有马车朝向城里过来。我在想可能是祭司大人之前说过的人要来，所以来通知你。	艾尼克	0.40	艾尼克			
3_4	后日谈	3	4	action	心理-自指	艾尼克	圣堂前方的马路上聚集了不少人。 ‖ 这座城镇一度因为流行病而真的变成死城，但是，一群有勇气的人们和一群不肯放弃的人们携手同心，加上主人的一臂之力，终于为城镇找回了繁荣。 ‖ 外来者来到城里的光景并不罕见，有时还会有带着好几十匹马的商人集团经过城镇。 ‖ ►尽管如此，访客的惊人阵仗还是吸引了人们全副的注意力。那辆马车由两匹黑色的骏马在前头拉动，还有着全黑的车顶。另外还有一辆载着货物的马车，以及五、六名想必是护卫的壮丁跟随在旁。 ‖ 主人走出圣堂大门看见马车的瞬间，整个人愣在原地。 ‖ 随即，主人拼命地想要用手梳理头发，但她原本就有些自然卷，所以根本就是白费工夫。而且，看见那家伙从马车走出来后，就会觉得用手梳理头发的举动根本算不了什么值得感动的努力。	尽管如此，访客的惊人阵仗还是吸引了人们全副的注意力。那辆马车由两匹黑色的骏马在前头拉动，还有着全黑的车顶。另外还有一辆载着货物的马车，以及五、六名想必是护卫的壮丁跟随在旁。	艾尼克	0.24	艾尼克			非主角视角心理:存疑
3_6	后日谈	3	6	action	心理-自指	艾尼克	外来者来到城里的光景并不罕见，有时还会有带着好几十匹马的商人集团经过城镇。 ‖ 尽管如此，访客的惊人阵仗还是吸引了人们全副的注意力。那辆马车由两匹黑色的骏马在前头拉动，还有着全黑的车顶。另外还有一辆载着货物的马车，以及五、六名想必是护卫的壮丁跟随在旁。 ‖ 主人走出圣堂大门看见马车的瞬间，整个人愣在原地。 ‖ ►随即，主人拼命地想要用手梳理头发，但她原本就有些自然卷，所以根本就是白费工夫。而且，看见那家伙从马车走出来后，就会觉得用手梳理头发的举动根本算不了什么值得感动的努力。 ‖ 高个子的女子并不少见。 ‖ 不过，如果是带着威严的高挑女子，就很难有机会遇到了。	随即，主人拼命地想要用手梳理头发，但她原本就有些自然卷，所以根本就是白费工夫。而且，看见那家伙从马车走出来后，就会觉得用手梳理头发的举动根本算不了什么值得感动的努力。	艾尼克	0.21	艾尼克			非主角视角心理:存疑
3_10	后日谈	3	10	action	心理-自指	艾尼克	高个子的女子并不少见。 ‖ 不过，如果是带着威严的高挑女子，就很难有机会遇到了。 ‖ “艾普·布朗。” ‖ ►女子道出姓名。她身材高挑，身躯纤细。女子纤细的身躯不是因为削瘦，而是彻底除去了多余赘肉的感觉。虽然女子身上似乎熏染上了某种香味，但我嗅到许久不曾闻到的味道——那是在草原上奔驰的兽味。 ‖ “啊……呃……” ‖ 虽然还显得慌张，但以称职祭司之姿一路走来的主人，总算让思绪聚焦起来。主人咳了一声，重新振作精神，并挺直背脊露出笑容说：	女子道出姓名。她身材高挑，身躯纤细。女子纤细的身躯不是因为削瘦，而是彻底除去了多余赘肉的感觉。虽然女子身上似乎熏染上了某种香味，但我嗅到许久不曾闻到的味道——那是在草原上奔驰的兽味。	艾尼克	0.21	艾尼克			非主角视角心理:存疑
1_6	嫩绿色的小径	1	6	action	物理	赫萝	其中最喜欢的是—— ‖ 即使是在严寒的季节，偶尔也会有像春天般的好天气。 ‖ 没有一丝微风，如果是一动不动的话就能感觉到阳光的温暖。 ‖ ►即使对于时间就是金钱的商人来说，在这种天气下也会停下脚步，将马车驶下道路，选择一片没有被牛羊侵犯过的草地躺下。 ‖ 放置身旁的是少许的葡萄酒和黑麦面包。 ‖ 边眺望着天空边偶尔喝口葡萄酒。再咬一口黑麦面包。	即使对于时间就是金钱的商人来说，在这种天气下也会停下脚步，将马车驶下道路，选择一片没有被牛羊侵犯过的草地躺下。	赫萝	0.30	赫萝			
1_24	嫩绿色的小径	1	24	action	心理-推测	赫萝	但是，据说这片茂盛的森林在以前附近建造新的城市的时候因为大量的采伐树木所以现在的面积只有以前的一半。 ‖ 罗伦斯手中的地图连以前的森林的大小也标记了上去的，呈现出了过去存在于这个地域的这片森林的伟大之处。 ‖ 【怎么了？】 ‖ ►在货台上闲来无事的旅行伙伴赫萝似乎是因为察觉到了罗伦斯坐在赶车台上东张西望而开口这样问道。 ‖ 罗伦斯一转过身，就看见一身修道女打扮的赫萝正靠在货物上不老实的倒著头看着自己。 ‖ 【有伐木场哟。】	在货台上闲来无事的旅行伙伴赫萝似乎是因为察觉到了罗伦斯坐在赶车台上东张西望而开口这样问道。	赫萝	0.40	赫萝	罗伦斯		
1_54	嫩绿色的小径	1	54	dialogue	explicit	赫萝	但是，赫萝接下来说出口的话却是完全无关的问题。 ‖ 【那么，汝是很急着旅行吗？】 ‖ 躺在阳光明媚的草原上午睡，对于时间就是金钱的商人来说无疑是等动与自取灭亡的行为。 ‖ ►赫萝那就像是在问“会不会担搁行程”似的目光，或许有着就连能让历代的皇帝着迷的绝世美女也无法匹敌魅力。 ‖ 被赫萝这样一看罗伦斯反而觉得精神了起来。 ‖ 而且，赫萝露在外面的尾巴也像是希望能停留下来似的摇晃着。	会不会担搁行程	赫萝	0.90	赫萝			
1_130	嫩绿色的小径	1	130	action	心理-推测	赫萝	【你到底喝了多少酒呀，脸都红了】 ‖ 【…….没喝多少呗】 ‖ 赫萝即使喝了酒也不会从脸上表现出来，外表几乎不会发生什么变化。 ‖ ►但是，被罗伦斯拐弯抹角讽刺的赫萝似乎有些在意，甩开了罗伦斯的手肘用力的擦起脸来。 ‖ 【我还很期待在充满日光的草原上和你悠闲的喝一杯的】 ‖ 【咱没喝多少呢】	但是，被罗伦斯拐弯抹角讽刺的赫萝似乎有些在意，甩开了罗伦斯的手肘用力的擦起脸来。	赫萝	0.40	赫萝	罗伦斯		
1_149	嫩绿色的小径	1	149	action	心理-推测	赫萝	看来除了罗伦斯所走的这条路以外，森林里似乎还有好几条路存在。 ‖ 而且还是复杂的交叉在一起的。 ‖ 这样的话，或许在迷路之前回去要好些。 ‖ ►罗伦斯正在这样考虑著的时候，因为突然感觉到了有道似乎是要刺破自己脖子的目光而回头向后看去。 ‖ 【……至少咱不会喜欢这种话题】 ‖ 赫萝的尾巴不高兴的摇晃着。	罗伦斯正在这样考虑著的时候，因为突然感觉到了有道似乎是要刺破自己脖子的目光而回头向后看去。	赫萝	0.40	赫萝	罗伦斯		
1_160	嫩绿色的小径	1	160	dialogue	anaphoric	赫萝	尔后，当罗论斯提出想要再听一次时，赫萝的表情一瞬间凝固了。 ‖ 【咱是小孩子吗】 ‖ 【诶？】 ‖ ►【谈话时偶尔也会有听漏的时候。汝觉得遇到这种情况咱能轻易的说句“嗯，是的，确实是那样”就算了吗】 ‖ 赫萝刚一说完，车轮就碾到了树根“　啷”的一声摇晃了起来。 ‖ 罗伦斯赶忙慌张的转向前面，之后不久又再一次转过头去。	嗯，是的，确实是那样	赫萝	0.55	赫萝			
