uid	kind	A_only	B_only	text
1_5	涉及角色分歧	[('赫萝', '做')]	[]	面对每日心无旁骛地享受着堕落生活的赫萝，旅店的主人罗伦斯轻笑了几声。他从打开的木窗向外望，随即改变了
1_34	说话人分歧	[('罗伦斯', '说')]	[('缪里', '说')]	“山里出现了恶魔？”
1_54	说话人分歧	[('罗伦斯', '说')]	[('柯尔', '说')]	“但愿咱们就快接近目的地了……”
1_62	涉及角色分歧	[('罗伦斯', '做')]	[]	村里的孩子们的确不太可能把动物错认成别的什么。再不然，莫非是打扮成恶魔模样的隐遁者？这片远离人烟的山
1_94	说存在性分歧	[('柯尔', '说')]	[('柯尔', '做')]	“咦？”
1_103	涉及角色分歧	[('柯尔', '做')]	[]	在罗伦斯身后，缪莉抱紧了柯尔，用哭腔大叫道。
1_107	涉及角色分歧	[]	[('赫萝', '做')]	在失落中，罗伦斯听到有人踏着枯叶朝自己走来。
1_108	涉及角色分歧	[]	[('罗伦斯', '做')]	赫萝从他无精打采低垂的视线中冒出来，而且还带着一脸坏心眼的笑容，抬头望着自己。
1_119	说存在性分歧	[('罗伦斯', '说')]	[('罗伦斯', '做')]	“……啊！？”
1_121	说/做/想角色分歧	[]	[('赫萝', '做')]	“噗噗噗……汝这是被蘑菇吓破了胆呗？”
1_139	涉及角色分歧	[('罗伦斯', '做')]	[]	要是当着赫萝的面说缪莉不肯对自己怎么怎么样，免不得又会被叫做“大笨驴”，捉弄一番。
1_142	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	“唔？”
1_144	涉及角色分歧	[('柯尔', '做'), ('缪里', '做'), ('罗伦斯', '做'), ('赫萝', '做')]	[]	烧旺火，煮了一大锅蘑菇，回去之前又采足了几袋。
