uid	kind	A_only	B_only	text
1_10	说存在性分歧	[('艾尔莎', '说')]	[('艾尔莎', '做')]	罗伦斯下榻在瓦兰主教区的大教堂宿舍，目前这里是由一名女性圣职人员──他的旧识艾莉莎管理。艾莉莎不会将
1_14	涉及角色分歧	[('罗伦斯', '做')]	[('谭雅', '做')]	第三晚，谭雅下山来了。她是在瓦兰主教区的魔山与天使传说里扮演要角的松鼠化身，罗伦斯在前几天解开了遗留
1_17	涉及角色分歧	[]	[('谭雅', '做')]	所以她非常热心地向罗伦斯请教该种什么树，怎么种能才卖更好的价钱。松鼠型态下圆得像颗球的谭雅，是个跟外
1_18	涉及角色分歧	[]	[('谭雅', '做')]	赫萝就跟她差多了，怎么教也记不住货币种类，头脑很聪明却容易厌烦，只有在使坏地轻咬罗伦斯打闹时表情最开
1_28	涉及角色分歧	[('罗伦斯', '做')]	[]	那么有可能是在德堡商行对卖山一事起了争执，不过最可能的还是在德堡商行总行受到热情款待，一不小心就待久
1_39	涉及角色分歧	[('罗伦斯', '做')]	[]	如果这是再也无法相见的永别呢？
1_59	涉及角色分歧	[]	[('赫萝', '做')]	罗伦斯都恐怕抱不住的大眼珠直瞪着他。
1_65	涉及角色分歧	[('罗伦斯', '做')]	[]	距离很近是无法否认，但没有做出任何值得她怀疑不忠的事。
1_66	涉及角色分歧	[('罗伦斯', '做')]	[]	何况罗伦斯也有话要说。
1_73	涉及角色分歧	[('罗伦斯', '做')]	[]	从她别开眼睛装蒜，就知道她真的在德堡商行大喝特喝过。
1_74	涉及角色分歧	[('罗伦斯', '做')]	[]	但看起来没有醉意，只是喝到毛发散发酒气了吧。
2_9	涉及角色分歧	[('罗伦斯', '做')]	[]	他对赫萝的爱，毕竟不是三言两语能够道尽。
2_14	说/做/想角色分歧	[('罗伦斯', '做')]	[]	“怎么不是‘我回来啦’？”罗伦斯无奈干笑，赫萝威风地抬高下巴向前走。
2_20	涉及角色分歧	[('赫萝', '做')]	[]	虽然赫萝也想把麻烦事全丢给罗伦斯做，但只有心情好时才会让他代为保养尾巴。整个仪式甚至要到餐后擦去嘴边
