uid	kind	A_only	B_only	text
1_3	涉及角色分歧	[]	[('-', '做')]	拍了拍绑在腰上的大块布料，然后对着野兔露出笑容宣告游戏结束。这时，野兔母子互看一跟后，脚步轻快地走远
1_6	涉及角色分歧	[]	[('马儿', '做')]	这次的巢穴比较特别，是用木头与铁做成，前方还有马匹拉动，并且带有车轮。
1_9	涉及角色分歧	[('赫萝', '做')]	[]	今天天气这么好，棉被一定晒得暖烘烘又蓬松。
1_11	涉及角色分歧	[('赫萝', '做')]	[]	因为人类的嘴巴两边有脸颊，所以打起哈欠来有些难受，但伸懒腰时能够把两手举得高高的，也是人类才享受得到
1_13	涉及角色分歧	[('赫萝', '做')]	[]	如果以狼来比喻人类这种行为，就像狼会依照当天心情变换毛发颜色，或变换造型一样。这怎么可能不愉快呢？
1_14	涉及角色分歧	[('赫萝', '做')]	[]	不过，最大的乐趣还是在于让其他人看见自己的装扮，然后观察对方的各种反应。
1_15	涉及角色分歧	[('赫萝', '做')]	[]	就这点来说，旅伴就是最佳对象。一条围巾或一件长袍就能够让旅伴有很大的反应。
1_16	涉及角色分歧	[('赫萝', '做')]	[]	至于问题点呢，就是必须花钱才有办法装扮自己，这方是堂堂贤狼，如果在意金钱这种人类世界的无聊东西，有可
1_17	涉及角色分歧	[('赫萝', '做')]	[]	而且，旅伴是个从商的旅行商人，说到旅伴对于金钱有多么执着，就教人觉得难以置信。好比说现在之所以会绕道
1_18	涉及角色分歧	[('赫萝', '做')]	[('马儿', '做')]	旅伴是为了让马儿吃草以节省饲料费，还有前几天拜访了一个城镇，在那里看见的东西让旅伴在意得不得了。
1_19	涉及角色分歧	[('赫萝', '做')]	[]	从昨晚开始旅伴就一直心不在焉，就是听到这方搭腔说话，也只是爱理不理地回答。方才吃午餐时也一样，旅伴的
1_20	涉及角色分歧	[('赫萝', '做')]	[('罗伦斯', '做')]	说到旅伴到底在想什么，似乎是在镇上看见的货币及皮草。
1_21	涉及角色分歧	[('赫萝', '做')]	[]	不管是货币还是皮草，流通于人类世界的种类都多得让人难以置信，而两者的交换比率似乎让旅伴挂念不已。事情
1_30	涉及角色分歧	[('赫萝', '做')]	[]	不愧是具有智慧的人类，无论在任何地方，只抬头仰望天空，就能够立刻看出时辰。
1_32	涉及角色分歧	[('赫萝', '做')]	[]	似乎完全没有发现这方偷吃了两块乳酪。
1_35	涉及角色分歧	[('赫萝', '做')]	[('罗伦斯', '做')]	旅伴看似没在注意，但其实还是看得很仔细。
1_38	涉及角色分歧	[('赫萝', '做')]	[]	要是发现这方不见，旅伴肯定会丑态毕露。
1_39	涉及角色分歧	[('赫萝', '做')]	[]	不过，说到旅伴的愚蠢程度，就像猫明明怕水，却想要抓池里的鱼一样。
1_43	涉及角色分歧	[('赫萝', '做')]	[]	一个人能够愚蠢到这般程度，应该值得夸奖了吧。
1_47	涉及角色分歧	[('赫萝', '做')]	[]	旅伴明明是个烂好人又胆小，却很爱面子，有时候还会表现得自信满满。
1_48	涉及角色分歧	[('赫萝', '做')]	[]	有些时候旅伴会把金钱这种无聊的东西，视为仅次于性命的第二重要物，甚至会有让人感到可怕的时候。
1_49	涉及角色分歧	[('赫萝', '做')]	[]	可是，本以为这样的旅伴会存下所有赚来的钱，却在一些怪地方会做出慷慨表现，害得这方老是忍不住摇起尾巴。
1_50	涉及角色分歧	[('赫萝', '做')]	[('罗伦斯', '做')]	旅伴似乎认为这方是为了食物才跟随着他，难道旅伴真的认为拥有贤狼名号的这方，会只因为“人类料理的食物太
1_51	涉及角色分歧	[('赫萝', '做')]	[]	旅伴说什么“只要肚子饿了，自然就会回来”，那根本是不可能的事情。
1_52	涉及角色分歧	[('赫萝', '做')]	[]	这方之所以会主动回来，是因为不想一人孤单吃饭，而听到有饭吃就会忍不住摇起尾巴，是因为旅伴愿意为了这方
1_57	涉及角色分歧	[('赫萝', '做')]	[]	这样的生活没有任何不是之处，也没有任何不满之处。
1_68	涉及角色分歧	[]	[('罗伦斯', '做')]	马儿原本尽情享受着久违的自由，旅伴的打扰似乎让马儿相当生气。
1_70	涉及角色分歧	[('赫萝', '做')]	[]	不过，马儿如果有想要逃跑的意思，机会再多不过了。
1_71	涉及角色分歧	[('赫萝', '做')]	[]	重点就是，马儿根本不把旅伴看在眼里。
1_72	涉及角色分歧	[('赫萝', '做')]	[]	活该。
1_75	涉及角色分歧	[('赫萝', '做')]	[]	总是表现完美的人偶尔做出少根筋举动会让人觉得可爱，而总是少根筋的人偶尔做出敏捷表现，感觉也不错。
1_78	涉及角色分歧	[]	[('罗伦斯', '做')]	旅伴肯定以为这方早就躺在货台上用棉被裹住身体，才会这么询问。原本打算问问看方才捡到的是什么东西，但因
1_82	涉及角色分歧	[('赫萝', '做')]	[]	人类世界有很多从未听过的石头或金属在市场流通，而这东西似乎是用常见的铅做成。大小差不多有大拇指头这么
1_83	涉及角色分歧	[('赫萝', '做')]	[]	这东西似乎经过漫长岁月的洗刷，整体雕刻面受到磨损而变得浑圆，雕花较细腻的部位也已经泛黑。尽管如此，这
