uid	kind	A_only	B_only	text
1_29	涉及角色分歧	[]	[('罗伦斯', '做')]	当然罗伦斯并不是对这片森林过去的伟大之处感兴趣。
1_40	涉及角色分歧	[]	[('赫萝', '做')]	听起来很无趣的口吻。
1_55	涉及角色分歧	[]	[('赫萝', '做')]	被赫萝这样一看罗伦斯反而觉得精神了起来。
1_58	涉及角色分歧	[('罗伦斯', '做')]	[]	相反对罗伦斯来说光是晒晒太阳就能让赫萝高兴的话付出的代价简直太便宜了。
1_81	说/做/想角色分歧	[]	[('罗伦斯', '做')]	虽然会偶尔回头向赫萝叮嘱道︰【别全部喝光了】之类的话，但也会像是接受贿赂似的从
1_82	涉及角色分歧	[('赫萝', '做')]	[]	赫萝手中接过葡萄酒。
1_92	涉及角色分歧	[('罗伦斯', '做')]	[]	这并不条视野很好的道路，不知道什么时候车轮会被沼泽或树根之类的缠住所以罗伦斯并
1_100	涉及角色分歧	[]	[('罗伦斯', '做')]	因为罗伦斯一年四季都在不断的旅行行商，所以很清楚不同季节森林的优缺点。
1_106	涉及角色分歧	[]	[('赫萝', '做')]	因为离草原似乎还很远，所以罗伦斯对兴高采烈的想要午睡的旅行的伙伴这样抗议道︰
1_112	涉及角色分歧	[]	[('罗伦斯', '做')]	所以罗伦斯才会这样说，聪明的赫萝似乎察觉到了罗伦斯话里的意思。
1_138	涉及角色分歧	[]	[('赫萝', '做')]	看来连罗伦斯因为担心而转过身来这件事都在赫萝的预料当中。
1_148	涉及角色分歧	[('罗伦斯', '做')]	[]	这样的话，或许在迷路之前回去要好些。
1_149	涉及角色分歧	[]	[('赫萝', '做')]	罗伦斯正在这样考虑著的时候，因为突然感觉到了有道似乎是要刺破自己脖子的目光而回头向后看去。
1_154	涉及角色分歧	[]	[('罗伦斯', '做')]	因为罗伦斯在一个人旅行的时候并没有在意这些，所以一时大意了。
1_165	说存在性分歧	[('罗伦斯', '说')]	[('罗伦斯', '做')]	【……】
1_171	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	【嗯】
