uid	kind	A_only	B_only	text
1_7	涉及角色分歧	[]	[('-', '做')]	当然，在这短短的瞬间里，在成长的麦子和那些忘记拔去的杂草对面，人们挥舞著锄头，或是对着天空祈愿丰收的
1_10	涉及角色分歧	[]	[('-', '做')]	人们挥舞著收获的镰刀，那表情显得非常高兴。嘛～这也不是无法理解的事情。
1_11	涉及角色分歧	[]	[('-', '做')]	因为这“沙，沙，沙”的音律听起来感觉真好。
1_13	涉及角色分歧	[]	[('-', '做')]	人们奋力挥舞著镰刀。即使身体已经非常疲倦了，但也不得不时刻注意著刈麦的动作，不能疏忽大意。
1_15	涉及角色分歧	[]	[('-', '做')]	——从田野上传来的美妙的声音，那是一些身材苗条的少女们在轻快地前进。她们摇晃着由细麦秆整齐地编成的三
1_16	涉及角色分歧	[]	[('-', '做')]	但是这样美丽的前景往往都会被打破。就在刚才，趁着人们一心一意地收割时，一条蛇突然窜了出来，将这些可爱
1_18	涉及角色分歧	[]	[('-', '做')]	女孩们的手上拿着和她们身高差不多的大镰刀。啊，要是比较起来的话说不定和自己的尾巴差不多大了吧。不过要
1_19	涉及角色分歧	[]	[('赫萝', '做')]	但是，这就是人类的智慧所在。
1_20	涉及角色分歧	[]	[('-', '做')]	手上握住长柄的中段，用全身的力道来挥动镰刀。于是麦子就这样被嚓嚓地收割著。
1_22	涉及角色分歧	[]	[('-', '做')]	当然，这个小小的世界还是会有人类的孩子前来光临，村里的孩子会在这里捉迷藏。而令我烦恼的是每年都会发生
1_23	涉及角色分歧	[('赫萝', '做')]	[('-', '做')]	当然，就像人类无法像鱼一样在泥水中拥有良好的视线一样，他们在这个池子中能看到我的情况也少之又少。不过
1_24	涉及角色分歧	[]	[('-', '做')]	不知不觉村外来的人越来越多了。
1_25	涉及角色分歧	[]	[('-', '做')]	大概是他们已经感到疲惫不堪的缘故吧，饿到一定程度就无法感觉到饥饿，然后终于像瘫倒的稻草人一样躺在麦田
1_26	涉及角色分歧	[]	[('-', '做')]	就在这时，在他们意想不到的机遇中看到池中的世界——就像一道无论怎么考虑都苦于解答的难题，当你在放松的
1_29	涉及角色分歧	[]	[('-', '做')]	在这个就连小孩都能露出头顶的金色的池子中，竟然相信会有如此巨大的狼存在，人类的胆子也太小了吧。不过他
1_35	涉及角色分歧	[]	[('-', '做')]	当然，当小孩子们看到我的时候，我只会舔他们的脸蛋。因为他们的脸上，蕴含着一股麦田独有的稀有盐味儿。
1_36	涉及角色分歧	[]	[('-', '做')]	被生活所束缚的人，以及确实被戴上枷锁的人，还有那些即使睡觉，也不能放开手中用来代替手杖的棒子的人，他
1_40	涉及角色分歧	[]	[('-', '做')]	“嚓嚓嚓嚓”
1_41	涉及角色分歧	[]	[('-', '做')]	听着这样紧凑的收割声，眺望着池中为了耕作而手忙脚乱的人们。
1_42	涉及角色分歧	[]	[('-', '做')]	那在最后仅剩的麦穗间颤抖的兔子，也终于决定要跳出去了吧。它拉下长长的耳朵，将身子缩起，小心翼翼地关注
1_43	涉及角色分歧	[]	[('-', '做')]	在我决定要扑出的那一刻，它把泥土踢到了我脸上。这是在生气么？世界上居然还有这种事，这下子又多少长了一
1_46	涉及角色分歧	[]	[('-', '做')]	有时村里的年轻男女们会来这片麦田中细说着他们之间的甜言蜜语。这种时候我还是会识趣地走出麦田。
1_49	涉及角色分歧	[]	[('-', '做')]	而他们的表情并没有发生什么变化，我想应该是每年都有这样的事情发生吧。
1_52	涉及角色分歧	[]	[('-', '做')]	“嚓”
1_58	涉及角色分歧	[]	[('-', '做')]	——那比去年更加漂亮的小女孩；那对显得更加稳重的夫妇；还有不知是哪个没有见过的年轻人新生下来的小孩子
1_59	涉及角色分歧	[]	[('-', '做')]	人们手中拿着各种事物，孩子们握著用麦秆做成的玩偶眯起眼睛不由地笑了起来。
1_61	涉及角色分歧	[]	[('-', '做')]	唱歌跳舞，吹笛打鼓。平日里随着日落而被黑暗支配的麦田今夜却点满了灯。
1_63	涉及角色分歧	[]	[('-', '做')]	突然，灯火变暗了，舞蹈者们的舞步变得虚幻起来了。而另一边，喝醉的男人们把酒杯高高举起，舔舐残留的麦酒
1_64	涉及角色分歧	[]	[('-', '做')]	我把舌头收回满是獠牙的口中，眯起眼睛。年幼的孩童右手握著狼人偶，左手拿着宴会上发放的烤兔腿，把脸凑近
1_65	涉及角色分歧	[]	[('-', '做')]	他们一直盯着这边看。
1_66	涉及角色分歧	[]	[('-', '做')]	终于对上了视线，我们互相凝视着彼此。
1_67	涉及角色分歧	[]	[('-', '做')]	我露出一排獠牙，但这次并不是为了威吓他们，只是那孩子被吓得缩起身子。不过，他很快察觉到了，嘿嘿笑了起
1_68	涉及角色分歧	[]	[('-', '做')]	小手粗暴地玩弄我的鼻子，就连手中的狼人偶都忘记不顾了。不过，我这既威风又美丽的鼻子，拿去和那狼人偶比
1_69	涉及角色分歧	[]	[('-', '做')]	已经被好几个孩子粗暴对待过了，这次就老老实实接受吧。仍然由得他们玩着鼻子，轻轻戳著，又是抚摸又是抓着
1_70	涉及角色分歧	[]	[('-', '做')]	惊人的小小的手指，有时轻轻地捏著胡子的根部，顺着摸到末端，有时则对嘴唇的柔软感到惊讶。偶尔短短的须根
1_71	涉及角色分歧	[]	[('-', '做')]	他/她试试犹豫一下，便是与据说能咬碎一切的獠牙触碰之时。那只小手比我牙间的牙垢还要小。压倒性的力量差
1_72	涉及角色分歧	[]	[('-', '做')]	尽管如此，孩子的好奇心连英雄的勇气也能胜过。他们战战兢兢地伸出手，终于碰到那雪白的獠牙。而此时，让我
1_74	涉及角色分歧	[]	[('-', '做')]	这让孩子高兴地跳了起来，那程度连兔子都无法做到。
1_75	涉及角色分歧	[]	[('-', '做')]	但在这之后，他就被大人一下子揪住脖子抓出了池外。虽然被叱喝了，但他/她的视线和注意力仍然朝向我。
1_76	涉及角色分歧	[]	[('-', '做')]	责备声左耳进右耳出，只是死死得看着我。此刻责备的大人看到小孩那副样子也放弃了，也许觉得在祭典中发火不
1_77	涉及角色分歧	[]	[('-', '做')]	这时他们注意到孩子手中已经什么都没有了，显然掉在某处了，于是很快发现了稻草人偶。
1_78	涉及角色分歧	[]	[('-', '做')]	把看起来是在进行仪式的奇妙舞姿一般低着头分隔麦穗的稻草人偶捡起来，还给孩子，这次想起了肉的事。
1_79	涉及角色分歧	[]	[('-', '做')]	问了问，孩子慢慢地指向这边。
1_80	涉及角色分歧	[]	[('-', '做')]	大人交替看了看孩子和这边，再次拨开麦穗把头伸进来查看。
1_81	涉及角色分歧	[]	[('-', '做')]	可是，哪里都找不到肉。
1_82	涉及角色分歧	[]	[('-', '做')]	大人再仔细听了听周围的动静，结果还是一样。
1_83	涉及角色分歧	[]	[('-', '做')]	觉得误会那孩子了，只好耸了耸肩膀，推著孩子回到了祭典的人群中。
1_84	涉及角色分歧	[]	[('-', '做')]	临走时的那一瞬间，我无法分辨他或是她的年幼的小孩，被大人牵着走的时候回过头。这时我清楚地看见了一张乐
1_86	涉及角色分歧	[]	[('-', '做')]	终于人们已经无力再歌舞了，在他们坐下来并且放弃再站起来之时，因为篝火的势头不在，失去光辉的月亮和漫天
1_87	涉及角色分歧	[]	[('-', '做')]	今天全村的人都很尽兴，唯独年老的村长一脸严肃。他慢慢地抬起腰，带着几人静静地走向这边。
1_88	涉及角色分歧	[]	[('-', '做')]	他的手上拿着酒与食物，并且带着麦束。
