uid	kind	A_only	B_only	text
2_4	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	罗伦斯一行前进的道路一直与森林平行，延伸向远方。
2_9	涉及角色分歧	[('罗伦斯', '做')]	[]	躺在马车后面的旅伴赫萝，注意到罗伦斯坐在驾驶座上翻阅着什么，于是开口问道。
2_29	涉及角色分歧	[('赫萝', '做')]	[]	虽然从外表看来仿佛是个十多岁的少女，但她真正的姿态却是能轻易将人囫囵吞下的巨狼。
2_35	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	她的想象力极为丰富，所以应该能正确理解这片草原的使用方法吧？
2_42	涉及角色分歧	[('罗伦斯', '做')]	[]	而如果这样能够取悦罗伦斯的话，就算多少耽误一些行程，他应该不会在意了吧。
2_43	涉及角色分歧	[('罗伦斯', '做')]	[]	更何况，对于罗伦斯而言，只是悠闲地晒晒太阳就可以让赫萝高兴的话，应该会有赚到了的感觉吧？
2_44	涉及角色分歧	[('罗伦斯', '做')]	[]	本来旅途就很枯燥乏味，毫无娱乐可言，在适当的时候稍微放松心情，消遣一下也是必要的。
2_49	涉及角色分歧	[('罗伦斯', '做')]	[]	倘若对方是个任性的小孩子，也许这个提议很难说出口。但幸好她是被称为贤狼的赫萝。
2_54	涉及角色分歧	[('罗伦斯', '做')]	[]	一年四季都不落叶的树林中，偶尔一阵微风拂过，枝叶发出沙沙的声音。两个人躺在从枝叶缝隙照射进来的阳光下
3_9	涉及角色分歧	[('罗伦斯', '做')]	[]	虽说是地图上没有标记的道路，不过又不是分岔口，所以没什么好犹豫的吧。
3_25	涉及角色分歧	[('罗伦斯', '做')]	[]	差不多到了该睡午觉的时候了吧。
3_27	涉及角色分歧	[('赫萝', '做')]	[]	反正距离目的地草原还很遥远，干脆先睡上一觉好了。而看到如此打算的旅伴，罗伦斯提出了抗议。
3_32	涉及角色分歧	[('罗伦斯', '做')]	[]	如果马车后面的那个人悠闲地睡着午觉的话，对于不得不独自一人手执缰绳赶路的罗伦斯来说可是一点都不有趣。
3_43	涉及角色分歧	[('罗伦斯', '做')]	[]	总之，还是当成她单纯只是耳朵有点痒，想蹭一下比较好。
3_46	涉及角色分歧	[('罗伦斯', '做')]	[]	如果赫萝只是小猫小狗的话，完全可以大力摩挲几下，再丢给她一片肉干。不过不幸的是，她可是会瞧准对方松懈
4_7	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	看样子似乎真的生气了，也许她刚才喝酒的时候为了留出给罗伦斯的份，特意斟酌着喝吧。
4_9	涉及角色分歧	[]	[('赫萝', '做')]	要不要稍微道个歉呢？罗伦斯这样想着，回头看去，正巧和赫萝目光相对。
4_11	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	原来这是赫萝为了让罗伦斯感到担心，最终忍不住回头看着自己而耍的小把戏。
4_19	涉及角色分歧	[('罗伦斯', '做')]	[]	看来除了罗伦斯他们现在所在的道路之外，森林里还有好几条其他的路。
4_25	涉及角色分歧	[('罗伦斯', '做')]	[]	不着边际的闲聊可不是对对方敷衍了事。
4_37	涉及角色分歧	[('罗伦斯', '做')]	[]	这可是他以前以马为伴，习惯自言自语的生活中从没遇到过的事。
4_43	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	“哼。”
4_47	涉及角色分歧	[('赫萝', '做')]	[]	结果赫萝还是没有告诉罗伦斯，自己喜欢聊什么事情。
4_52	涉及角色分歧	[('罗伦斯', '做')]	[]	赫萝的语气非常冷淡，不过她是应该以此为饵，引诱自己提出抗议然后趁机要求给予补偿吧？
4_55	涉及角色分歧	[('罗伦斯', '做')]	[]	刚才载货马车剧烈晃动的那一下，是因为从两条小路交差的地方经过吧。
4_61	涉及角色分歧	[('罗伦斯', '做')]	[]	虽然还记得来时的路，但是影子的方向改变之后，对道路的印象也会改变，很容易迷路。
4_72	涉及角色分歧	[('罗伦斯', '做')]	[]	那还真是抱歉了，是咱多管闲事呢——赫萝这句话应该表达的是这个意思。
5_2	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	时间在一分一秒地流失，最后，他们来到了五条路的分岔口前。
5_5	涉及角色分歧	[('罗伦斯', '做')]	[]	也就是说，过了现在就不是最适合林中小憩的时间了。
5_6	涉及角色分歧	[('罗伦斯', '做')]	[]	如果考虑到回程所需要花费的时间的话，目前这个时刻他们本来必须到达草原才是。
5_7	涉及角色分歧	[('罗伦斯', '做')]	[]	但是，好不容易绕了远路来到这里，连草原的风景都没观赏到就原路返回，未免太过扫兴了。
5_15	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	这很明显就是一种挑衅。
5_27	涉及角色分歧	[]	[('赫萝', '做')]	罗伦斯条件反射地向后一仰，因为他发现赫萝脸上笑容的意义已经改变了。
5_29	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	全部猜中。
5_32	涉及角色分歧	[('罗伦斯', '做')]	[]	当然了，对方可是生存了好几百年、自称贤狼的赫萝啊。
5_42	涉及角色分歧	[]	[('赫萝', '做')]	平常一直都是罗伦斯低下头看着赫萝，现在的场面却正好相反。她居高临下，俯视自己的神情实在是让人生气。
5_44	涉及角色分歧	[]	[('赫萝', '做')]	看到赫萝一脸嘲笑，罗伦斯预感到她之后应该还会说些什么。
5_46	涉及角色分歧	[('罗伦斯', '做')]	[]	如果演变成那副光景，就更是丢脸到家了。
5_47	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	再说了，当赫萝猜中自己的心思时，整件事情就已成定局，无法挽回了。
5_66	涉及角色分歧	[('罗伦斯', '做')]	[]	只要回忆起刚刚谈话进行到了哪里，事情就会变得简单。
5_87	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	看来是相当难以启齿的话。如果真是如此，现在便正是说出口的最佳时机。
5_88	涉及角色分歧	[('赫萝', '做')]	[]	现在赫萝拥有压倒性的优势。
5_92	涉及角色分歧	[('罗伦斯', '做')]	[]	的确，说自己喜欢一边说着话一边入睡，和说自己喜欢一边听着童谣一边睡觉没什么差别。
5_94	涉及角色分歧	[('赫萝', '做')]	[]	赫萝常常都是说着说着就睡着了。
5_101	涉及角色分歧	[('罗伦斯', '做')]	[]	最愚蠢的行为，就是对理所当然的事情提出质疑。
5_103	涉及角色分歧	[('罗伦斯', '做')]	[]	没有必要拘泥于找到草原这件事，也没有必要胡乱逞强。
5_104	涉及角色分歧	[('罗伦斯', '做')]	[]	或者应该说，逞强的其实是赫萝，这可真是让人意想不到。
5_116	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	虽然森林中不如草原那么暖和，不过两人挤在一张毛毯下也还不算太冷。
5_117	涉及角色分歧	[('赫萝', '做')]	[]	特别是和像小孩子一样体温略高的赫萝在一起。
5_119	涉及角色分歧	[]	[('罗伦斯', '做')]	就算是捏捏她的鼻子也没有惊醒，说不定用手指戳一戳她那长着细细茸毛的耳朵也是毫无反应吧。
5_120	涉及角色分歧	[]	[('赫萝', '做')]	看到如此单纯的睡脸，罗伦斯的内心里不禁涌起了报复的念头。
5_123	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	然后，当他自己也打算闭上眼睛休息一会儿的时候，忽然听到赫萝小声说道：
5_133	涉及角色分歧	[('罗伦斯', '做')]	[]	真是做了一件蠢事呢。
5_134	涉及角色分歧	[('罗伦斯', '做')]	[]	的确是一件蠢事。
