source	where	expression	issue	verdict	canonical_out	note
两匹狼的婚礼	场景2末~场景3 (2_642起,通篇)	艾尔娣的父亲 / 普利斯托家当家(红须巨汉)	本篇全程未给本名,仅以关系/外貌称呼。若系列正典另有其名,需registry确认。	keep_local	艾尔娣的父亲	有台词无专名(已确认无正名)
两匹狼的婚礼	全篇(地名/背景)	纽希拉(温泉乡/温泉旅馆)、劳兹本、温菲尔王国	为地点/政体,非角色;此处仅备注,不入cast。	drop		地点/政体非角色
后日谈	场景9 (9_1)	个性强悍的女祭司 / 旅行银器工艺师	全篇未点名,只能靠系列正典推断(女祭司≈艾尔莎? 银器工艺师≈芙兰?)。	resolve	艾尔莎/芙兰	推测正确
少年、少女与白花	场景9 (9_93~9_111)	要使用不老长寿密药的‘并不是咱’的那个人	赫萝暗示密药真正的目标使用者另有其人，本篇从不点名。	drop		=罗伦斯,背景动机无台词
旅行商人与黯色的骑士	1_11 / 8_21	约伊兹的贤狼 / 贤狼之名的巨狼化身	本篇正文已点名赫萝,非倒指代盲点;此处仅作系列正典对齐备注,不需额外registry。	drop		已并入赫萝实体
旅途余白	场景1 (1_12)	招牌上刻的'一头狼，以及──'	招牌图案被打断未写全，暗示'狼与辛香料亭'的另一半徽记(辛香料/麦穗一类)，正文未明言。	drop		招牌徽记非角色
牧羊人与黑骑士	场景26 (26_45, 26_46)	旅行商人和狼的交易 / 那个旅行商人	本篇从不点名,是对系列主篇'旅行商人与狼'的回指。	drop		=罗伦斯+赫萝,回指无台词
牧羊人与黑骑士	场景7~9 / 场景25 (异教徒)	盗贼 / 袭击者 / 戴箭头形状首饰的异教徒 / 魔道师子孙 / 脖上戴丑陋箭头项链的野蛮异教徒	袭击吉赛帕一行的异教徒盗贼群,与雷兹尔城镇关联;无专名个体(三名盗贼皆被艾尼克制伏,一名/两名死亡)。	keep_local	盗贼(群体)	集体反派,台词归集体 (cast未单列;Phase2按篇内无名/集体说话人处理)
狼与一身泥的送行狼	场景12 (12_271、12_103) 与 场景13 (13_33等)	雷斯可的德堡商行 / 雷诺斯	同一目的地(德堡商行所在大镇)在本篇出现'雷斯可'与'雷诺斯'两种音译,疑为译名不一致;非角色,属地名,但影响 13/14 的指代一致性。	drop		地名归一→雷诺斯/Lenos,非角色
狼与一身泥的送行狼	场景5/11/12 (会长、米里口述背景)	当年开辟修道院、暗中挖银的'热情修士们'	纯背景人物,全篇未点名、未登场,只作历史推断。	drop		背景修士无台词
