uid	source	scene	sent	qidx	dialogue	context
1_8	两匹狼的婚礼	1	8	0	唔唔……	必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。 ‖ 我名叫托特．寇尔。 ‖ 走在神的道路上的羔羊，但是…… ‖ ►“唔唔……” ‖ 胸口的压迫感使我醒来。 ‖ 还以为要考验我信仰的恶魔出现了，要拿我多年来的修为迎战而微微睁眼。探入窗口的薄薄曙光所照出的入侵者轮廓，就近在眼前。
1_13	两匹狼的婚礼	1	13	0	沉重	还以为要考验我信仰的恶魔出现了，要拿我多年来的修为迎战而微微睁眼。探入窗口的薄薄曙光所照出的入侵者轮廓，就近在眼前。 ‖ 随后，我放松了肩。 ‖ 就某方面而言，那说不定真是想迷惑神的羔羊的恶魔。因为趴在我胸口酣睡的，是一个年轻少女。 ‖ ►虽然她体格纤瘦脚又长，愉快时的步伐轻盈得像颗蓬松毛球，然而压在身上时再不情愿也会感到她的成长。如果她是个牙牙学语的幼儿还能说可爱，但是长这么大了还做这种事，只会让人觉得“沉重”　。 ‖ 无论告诫过多少次，她都全当耳边风，照样动不动就半夜钻到我被子底下。看着她的睡脸，我不禁用鼻子叹息。 ‖ 缪里是我大恩人罗伦斯和贤狼赫萝的独生女，我从她出生就在照顾，跟妹妹没两样。这个野丫头经常嚷嚷着想离开出生的村落，看看外面的世界，擅自跟我来旅行。
1_23	两匹狼的婚礼	1	23	0	不会吧。	而是因为她头上那对三角形大狼耳。 ‖ 缪里是继承了狼血的女孩，有漂亮的狼耳和狼尾，有时我会因为她的耳尖钻到鼻孔里而醒来。看着狼耳随鼻息舒服地抽动，我忍不住吞吞口水。 ‖ 不是因为可爱少女、可爱的狼耳和她疏于防备的睡姿让我胡思乱想，就只是为了在坏预感让我叫出声之前拼命忍住而已。 ‖ ►“不会吧。” ‖ 被子一掀，胸膛上的缪里就冷得缩身。狼尾随后不悦地摇动，看起来比平时还蓬松，在探入窗口的朝阳下闪闪发亮。 ‖ 更正，发亮的是尾巴抖出来，到处乱飘的毛才对。
1_26	两匹狼的婚礼	1	26	0	……我的天啊。	“不会吧。” ‖ 被子一掀，胸膛上的缪里就冷得缩身。狼尾随后不悦地摇动，看起来比平时还蓬松，在探入窗口的朝阳下闪闪发亮。 ‖ 更正，发亮的是尾巴抖出来，到处乱飘的毛才对。 ‖ ►“……我的天啊。” ‖ 我将半抬的头放回枕头上，无力地望着天花板。缪里掉的毛在朝阳中飞舞，那掺灰的银色使它更像雪片。说美是很美，但凡事都是一体两面。 ‖ “缪里、缪里。”
1_28	两匹狼的婚礼	1	28	0	缪里、缪里。	更正，发亮的是尾巴抖出来，到处乱飘的毛才对。 ‖ “……我的天啊。” ‖ 我将半抬的头放回枕头上，无力地望着天花板。缪里掉的毛在朝阳中飞舞，那掺灰的银色使它更像雪片。说美是很美，但凡事都是一体两面。 ‖ ►“缪里、缪里。” ‖ 缪里还在傻呼呼地蠕动，寻找掀掉的被子。我抓住她的肩摇一摇，可是贪睡的她盖住耳朵嫌吵，还用尾巴打我的手，甩出更多银毛。 ‖ “缪里！”
1_30	两匹狼的婚礼	1	30	0	缪里！	我将半抬的头放回枕头上，无力地望着天花板。缪里掉的毛在朝阳中飞舞，那掺灰的银色使它更像雪片。说美是很美，但凡事都是一体两面。 ‖ “缪里、缪里。” ‖ 缪里还在傻呼呼地蠕动，寻找掀掉的被子。我抓住她的肩摇一摇，可是贪睡的她盖住耳朵嫌吵，还用尾巴打我的手，甩出更多银毛。 ‖ ►“缪里！” ‖ “唔唔……大哥哥，还早啦……” ‖ 而我对终于抓到被子，想盖回去的缪里说：
1_31	两匹狼的婚礼	1	31	0	唔唔……大哥哥，还早啦……	“缪里、缪里。” ‖ 缪里还在傻呼呼地蠕动，寻找掀掉的被子。我抓住她的肩摇一摇，可是贪睡的她盖住耳朵嫌吵，还用尾巴打我的手，甩出更多银毛。 ‖ “缪里！” ‖ ►“唔唔……大哥哥，还早啦……” ‖ 而我对终于抓到被子，想盖回去的缪里说： ‖ “马上把你掉的毛扫干净！”
1_33	两匹狼的婚礼	1	33	0	马上把你掉的毛扫干净！	“缪里！” ‖ “唔唔……大哥哥，还早啦……” ‖ 而我对终于抓到被子，想盖回去的缪里说： ‖ ►“马上把你掉的毛扫干净！” ‖ 缪里是继承了狼血的女孩。今年的换毛期好像又到了，但这里不是她纽希拉的家。我们在旅行当中，这天借住的是某贵族宅邸一室。 ‖ 绝对不能让人知道缪里是狼。
1_36	两匹狼的婚礼	1	36	0	……呼咦？	“马上把你掉的毛扫干净！” ‖ 缪里是继承了狼血的女孩。今年的换毛期好像又到了，但这里不是她纽希拉的家。我们在旅行当中，这天借住的是某贵族宅邸一室。 ‖ 绝对不能让人知道缪里是狼。 ‖ ►“……呼咦？” ‖ 缪里带着睡眼抬起头来，鼻子吸进毛似的打了个喷嚏。 ‖ 地板和桌面擦擦就行，但沾在被子等处布料上的毛就只能拍掉或捏掉了。客人抱着被子到井边踩很怪，要这么做也得编个理由。请缪里为洗被子演个戏时，她满脸通红地吊眼瞪来。
1_39	两匹狼的婚礼	1	39	0	人家是大人了，才不会那样咧！	“……呼咦？” ‖ 缪里带着睡眼抬起头来，鼻子吸进毛似的打了个喷嚏。 ‖ 地板和桌面擦擦就行，但沾在被子等处布料上的毛就只能拍掉或捏掉了。客人抱着被子到井边踩很怪，要这么做也得编个理由。请缪里为洗被子演个戏时，她满脸通红地吊眼瞪来。 ‖ ►“人家是大人了，才不会那样咧！” ‖ 这么爱撒娇还敢说自己是大人，一点说服力也没有。但是看她这么排斥，尿床这个理由就用不了了。 ‖ 所以我现在和缪里一起坐在窗边做手工。
1_42	两匹狼的婚礼	1	42	0	唉……都完全忘了会有这种时期……罗伦斯先生在温泉旅馆也很辛苦吧……	“人家是大人了，才不会那样咧！” ‖ 这么爱撒娇还敢说自己是大人，一点说服力也没有。但是看她这么排斥，尿床这个理由就用不了了。 ‖ 所以我现在和缪里一起坐在窗边做手工。 ‖ ►“唉……都完全忘了会有这种时期……罗伦斯先生在温泉旅馆也很辛苦吧……” ‖ 缪里的母亲贤狼赫萝和她不同，不能隐藏耳朵尾巴。 ‖ 为了避免温泉旅馆在这时期到处都是毛，赫萝应该都是躲在房间里。
1_47	两匹狼的婚礼	1	47	0	唔～手指好酸喔……	为了避免温泉旅馆在这时期到处都是毛，赫萝应该都是躲在房间里。 ‖ 不过温泉旅馆总归是自己家，晚上还能避开人的耳目泡泡温泉。而且缪里还能灵活地收放耳朵尾巴，导致过去不怎么注意过她的换毛期。 ‖ 而出门在外，情况就完全不同了。 ‖ ►“唔～手指好酸喔……” ‖ 缪里边挑边抱怨。有野兽血统的人被教会称为恶魔附身者，一旦被教会人士发现就会送上火刑台。相较于这种后果，这点辛苦算得了什么。 ‖ “好了啦，大哥哥！”
1_49	两匹狼的婚礼	1	49	0	好了啦，大哥哥！	而出门在外，情况就完全不同了。 ‖ “唔～手指好酸喔……” ‖ 缪里边挑边抱怨。有野兽血统的人被教会称为恶魔附身者，一旦被教会人士发现就会送上火刑台。相较于这种后果，这点辛苦算得了什么。 ‖ ►“好了啦，大哥哥！” ‖ 没力了的缪里将被子扔到腿上，但就在我要她少废话快动手时── ‖ “我在想喔，如果我们捡一只一样颜色的野狗回来，是不是就不用挑啦？”
1_51	两匹狼的婚礼	1	51	0	我在想喔，如果我们捡一只一样颜色的野狗回来，是不是就不用挑啦？	缪里边挑边抱怨。有野兽血统的人被教会称为恶魔附身者，一旦被教会人士发现就会送上火刑台。相较于这种后果，这点辛苦算得了什么。 ‖ “好了啦，大哥哥！” ‖ 没力了的缪里将被子扔到腿上，但就在我要她少废话快动手时── ‖ ►“我在想喔，如果我们捡一只一样颜色的野狗回来，是不是就不用挑啦？” ‖ “咦？这样子──” ‖ 说到一半，我也哑了。
1_52	两匹狼的婚礼	1	52	0	咦？这样子──	“好了啦，大哥哥！” ‖ 没力了的缪里将被子扔到腿上，但就在我要她少废话快动手时── ‖ “我在想喔，如果我们捡一只一样颜色的野狗回来，是不是就不用挑啦？” ‖ ►“咦？这样子──” ‖ 说到一半，我也哑了。 ‖ “尾巴的毛不管怎么洗，在这种时候也处理不完的啦。再说我也不敢保证睡着以后耳朵尾巴不会跑出来。”
1_54	两匹狼的婚礼	1	54	0	尾巴的毛不管怎么洗，在这种时候也处理不完的啦。再说我也不敢保证睡着以后耳朵尾巴不会跑出来。	“我在想喔，如果我们捡一只一样颜色的野狗回来，是不是就不用挑啦？” ‖ “咦？这样子──” ‖ 说到一半，我也哑了。 ‖ ►“尾巴的毛不管怎么洗，在这种时候也处理不完的啦。再说我也不敢保证睡着以后耳朵尾巴不会跑出来。” ‖ 缪里虽能自由收放耳朵尾巴，然而放出来才是自然状态，因此很容易在惊吓或愤怒时自己跑出来。 ‖ 既然睡着时容易跑出来，也就是恐怕要天天这样挑，她的想法是有点参考价值。
1_57	两匹狼的婚礼	1	57	0	如果我装成一个天真无邪的小女生，抱一只野狗宝宝进来，人家也不会生气吧？	“尾巴的毛不管怎么洗，在这种时候也处理不完的啦。再说我也不敢保证睡着以后耳朵尾巴不会跑出来。” ‖ 缪里虽能自由收放耳朵尾巴，然而放出来才是自然状态，因此很容易在惊吓或愤怒时自己跑出来。 ‖ 既然睡着时容易跑出来，也就是恐怕要天天这样挑，她的想法是有点参考价值。 ‖ ►“如果我装成一个天真无邪的小女生，抱一只野狗宝宝进来，人家也不会生气吧？” ‖ 竟然若无其事地讲这种话，不过她厚着脸皮抱小狗演戏的样子倒还不难想像。缪里就是很擅长这种事，作哥哥的我是不太乐见就是了。她母亲贤狼赫萝也是灵活运用她的威严和可爱，将丈夫罗伦斯的缰绳抓在手里，要勒要放要甩都随她高兴。缪里多半也继承了这一点吧。 ‖ 况且从被子挑狼毛这种事真的是没完没了。
1_60	两匹狼的婚礼	1	60	0	……话说回来，会那么刚好有这种小狗吗？	“如果我装成一个天真无邪的小女生，抱一只野狗宝宝进来，人家也不会生气吧？” ‖ 竟然若无其事地讲这种话，不过她厚着脸皮抱小狗演戏的样子倒还不难想像。缪里就是很擅长这种事，作哥哥的我是不太乐见就是了。她母亲贤狼赫萝也是灵活运用她的威严和可爱，将丈夫罗伦斯的缰绳抓在手里，要勒要放要甩都随她高兴。缪里多半也继承了这一点吧。 ‖ 况且从被子挑狼毛这种事真的是没完没了。 ‖ ►“……话说回来，会那么刚好有这种小狗吗？” ‖ 缪里一把抛开被子，站起来说： ‖ “到街上找不就好了！今天还是好天气呢！”
1_62	两匹狼的婚礼	1	62	0	到街上找不就好了！今天还是好天气呢！	况且从被子挑狼毛这种事真的是没完没了。 ‖ “……话说回来，会那么刚好有这种小狗吗？” ‖ 缪里一把抛开被子，站起来说： ‖ ►“到街上找不就好了！今天还是好天气呢！” ‖ 她的目的该不会是上街吧……尽管这么想，今天也难得没有行程。 ‖ 前阵子忙得团团转，过几天，这风暴又要回来。
1_66	两匹狼的婚礼	1	66	0	那我们就走吧。	她的目的该不会是上街吧……尽管这么想，今天也难得没有行程。 ‖ 前阵子忙得团团转，过几天，这风暴又要回来。 ‖ 缪里会小孩似的钻进被窝里撒娇，是因为我最近不太能陪她，觉得很寂寞的缘故吧。 ‖ ►“那我们就走吧。” ‖ 缪里的眼睛立刻亮起来，一把抓起大衣。 ‖ “好耶！找摊子吃烤肉！炸鱼！砂糖点心！”
1_68	两匹狼的婚礼	1	68	0	好耶！找摊子吃烤肉！炸鱼！砂糖点心！	缪里会小孩似的钻进被窝里撒娇，是因为我最近不太能陪她，觉得很寂寞的缘故吧。 ‖ “那我们就走吧。” ‖ 缪里的眼睛立刻亮起来，一把抓起大衣。 ‖ ►“好耶！找摊子吃烤肉！炸鱼！砂糖点心！” ‖ 我为缪里口中的恐怖咒语叹息，起身穿上自己的大衣。春天已到，很快就不用穿这么多了。缪里这么兴奋，也和这阳光有关吧。漫长的冬天终于过去，美好的季节降临人间。 ‖ 我眯着眼眺望窗外，见到无垠的广大蓝天。
1_71	两匹狼的婚礼	1	71	0	大哥哥！快走吧！	“好耶！找摊子吃烤肉！炸鱼！砂糖点心！” ‖ 我为缪里口中的恐怖咒语叹息，起身穿上自己的大衣。春天已到，很快就不用穿这么多了。缪里这么兴奋，也和这阳光有关吧。漫长的冬天终于过去，美好的季节降临人间。 ‖ 我眯着眼眺望窗外，见到无垠的广大蓝天。 ‖ ►“大哥哥！快走吧！” ‖ 缪里忽然拉手，害我踉跄。 ‖ 多希望能把缪里养成一个会因为看看天空，见到季节变换而微笑的文雅少女，不过这精神饱满的模样似乎才是她应有的样子。
1_75	两匹狼的婚礼	1	75	0	嗯？怎么啦～	缪里忽然拉手，害我踉跄。 ‖ 多希望能把缪里养成一个会因为看看天空，见到季节变换而微笑的文雅少女，不过这精神饱满的模样似乎才是她应有的样子。 ‖ 再说，缪里厉害的地方就在于只要她有心，一样能扮演文雅少女。 ‖ ►“嗯？怎么啦～” ‖ 紧抱我右手的缪里愣愣地看我的脸。 ‖ “没什么啦。”
1_77	两匹狼的婚礼	1	77	0	没什么啦。	再说，缪里厉害的地方就在于只要她有心，一样能扮演文雅少女。 ‖ “嗯？怎么啦～” ‖ 紧抱我右手的缪里愣愣地看我的脸。 ‖ ►“没什么啦。” ‖ 我用左手摸摸她的头，她缩脖耸肩，很开心的样子。 ‖ “可是烤肉只能吃一串喔。”
1_79	两匹狼的婚礼	1	79	0	可是烤肉只能吃一串喔。	紧抱我右手的缪里愣愣地看我的脸。 ‖ “没什么啦。” ‖ 我用左手摸摸她的头，她缩脖耸肩，很开心的样子。 ‖ ►“可是烤肉只能吃一串喔。” ‖ “咦～！” ‖ “少在那里咦。”
1_80	两匹狼的婚礼	1	80	0	咦～！	“没什么啦。” ‖ 我用左手摸摸她的头，她缩脖耸肩，很开心的样子。 ‖ “可是烤肉只能吃一串喔。” ‖ ►“咦～！” ‖ “少在那里咦。” ‖ “那好吧，我就去找一串这么大的店！”
1_81	两匹狼的婚礼	1	81	0	少在那里咦。	我用左手摸摸她的头，她缩脖耸肩，很开心的样子。 ‖ “可是烤肉只能吃一串喔。” ‖ “咦～！” ‖ ►“少在那里咦。” ‖ “那好吧，我就去找一串这么大的店！” ‖ 缪里两手大开都快脱臼了，然后像鲨鱼咬上来般又抓住我的手。
1_82	两匹狼的婚礼	1	82	0	那好吧，我就去找一串这么大的店！	“可是烤肉只能吃一串喔。” ‖ “咦～！” ‖ “少在那里咦。” ‖ ►“那好吧，我就去找一串这么大的店！” ‖ 缪里两手大开都快脱臼了，然后像鲨鱼咬上来般又抓住我的手。 ‖ “你自己说一串的喔？”
1_84	两匹狼的婚礼	1	84	0	你自己说一串的喔？	“少在那里咦。” ‖ “那好吧，我就去找一串这么大的店！” ‖ 缪里两手大开都快脱臼了，然后像鲨鱼咬上来般又抓住我的手。 ‖ ►“你自己说一串的喔？” ‖ “哪可能有那么大的。啊，铁签不算，只有木签喔。” ‖ “大哥哥都欺负我！”
