uid	kind	A_only	B_only	text
1_0	涉及角色分歧	[]	[('柯尔', '做')]	小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有
1_1	涉及角色分歧	[]	[('柯尔', '做')]	这段时间，我始终努力工作，也自认没有怠忽学业。
1_2	涉及角色分歧	[]	[('柯尔', '做')]	当然，尽管还有很多缺失，我仍确切感受到自己的进步。
1_6	说存在性分歧	[('柯尔', '说')]	[]	我名叫托特．寇尔。
1_8	涉及角色分歧	[('缪里', '做')]	[('柯尔', '做')]	"唔唔……"
1_13	涉及角色分歧	[]	[('缪里', '做')]	虽然她体格纤瘦脚又长，愉快时的步伐轻盈得像颗蓬松毛球，然而压在身上时再不情愿也会感到她的成长。如果她
1_14	涉及角色分歧	[]	[('缪里', '做')]	无论告诫过多少次，她都全当耳边风，照样动不动就半夜钻到我被子底下。看着她的睡脸，我不禁用鼻子叹息。
1_15	涉及角色分歧	[]	[('缪里', '做')]	缪里是我大恩人罗伦斯和贤狼赫萝的独生女，我从她出生就在照顾，跟妹妹没两样。这个野丫头经常嚷嚷着想离开
1_18	涉及角色分歧	[]	[('缪里', '做')]	缪里的头盖在被子下，头顶自然在我鼻头前。她很为那头长发自豪，一天也不会忘记保养，有种与香油不同的甜香
1_21	涉及角色分歧	[]	[('缪里', '做')]	缪里是继承了狼血的女孩，有漂亮的狼耳和狼尾，有时我会因为她的耳尖钻到鼻孔里而醒来。看着狼耳随鼻息舒服
1_36	说存在性分歧	[('缪里', '做')]	[('缪里', '说')]	"……呼咦？"
1_38	涉及角色分歧	[]	[('柯尔', '做')]	地板和桌面擦擦就行，但沾在被子等处布料上的毛就只能拍掉或捏掉了。客人抱着被子到井边踩很怪，要这么做也
1_42	说话人分歧	[('缪里', '说')]	[('柯尔', '说')]	"唉……都完全忘了会有这种时期……罗伦斯先生在温泉旅馆也很辛苦吧……"
1_50	涉及角色分歧	[]	[('柯尔', '做')]	没力了的缪里将被子扔到腿上，但就在我要她少废话快动手时──
1_93	涉及角色分歧	[]	[('柯尔', '做')]	来到屋外，上午的劳兹本街道还是跟平时一样。之前还乱得像暴风雨来袭时起了大火灾，如今已经完全恢复日常情
