uid	kind	A_only	B_only	text
1_10	涉及角色分歧	[('赫萝', '做')]	[]	原因出在她手上的小酒桶。
1_20	涉及角色分歧	[('赫萝', '做')]	[]	在阳光下闪耀，轻飘飘随风摇荡的，不只是她漂亮的亚麻色头发。她头上有对三角形的大兽耳，腰际还生了条毛发
1_29	涉及角色分歧	[('罗伦斯', '做')]	[]	赫萝拥有无限的寿命，无论罗伦斯如何努力，迟早都会让心爱的妻子独留于世。为排解赫萝的寂寞，罗伦斯建议她
1_30	涉及角色分歧	[('罗伦斯', '做')]	[]	从此以后，赫萝非常热衷于写日记。罗伦斯当然是为她高兴，但这也造成了一个问题。
1_32	涉及角色分歧	[('罗伦斯', '做')]	[]	下山旅行这几天，纸墨也是转眼被她用光，得请碰巧认识的领主分享一小部分。有鉴于此，罗伦斯实在是无法想像
1_35	涉及角色分歧	[('罗伦斯', '做')]	[]	所以至少想让她尽情去拼凑这些碎片。
1_39	涉及角色分歧	[('罗伦斯', '做')]	[]	一来是希望能替她留下更多回忆，一来是希望节省一点开销。
1_40	涉及角色分歧	[('罗伦斯', '做')]	[]	想着想着，平平坦坦的道路远端出现一面立牌。
1_42	涉及角色分歧	[('罗伦斯', '做')]	[]	要是有人看见赫萝的耳朵尾巴，马上会出事。
1_48	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯还来不及收摆在身边的麻袋就已经被赫萝抢走，抓一条肉干衔在嘴里。
1_50	涉及角色分歧	[('罗伦斯', '做')]	[]	明明几天前才去领主家里作客，吃了几桌的野味，先前也喝了刚酿好的蜂蜜酒……这种话，说了也没用。
1_51	涉及角色分歧	[('罗伦斯', '做')]	[]	况且见到她这么高兴的样子，骂人的力气也没有了。
1_54	涉及角色分歧	[('罗伦斯', '做')]	[]	那么，好歹得为心爱的妻子驾好货马车才行。
2_0	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	两人离开深山温泉乡纽希拉，一路往西顺流而下。
2_26	说存在性分歧	[]	[('赫萝', '说')]	罗伦斯无视赫萝“扯什么东西啊？”的眼神继续说：
2_30	涉及角色分歧	[]	[('罗伦斯', '做')]	再加上洒盐的动作，赫萝就像看见食物的猫一样眼睛跟着跑。
2_36	涉及角色分歧	[('罗伦斯', '做')]	[]	用便宜鲱鱼塞肚子的计划看来会很成功，而且是成功过头。
