uid	kind	A_only	B_only	text
1_6	涉及角色分歧	[]	[('罗伦斯', '做')]	第一晚，他还觉得反而轻松呢。
1_7	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	离开纽希拉的温泉旅馆下山旅行后，也许是因为感觉开阔，或是不用在女儿面前装稳重了，赫萝的饮酒量明显增加
1_9	涉及角色分歧	[]	[('罗伦斯', '做')]	到了第二晚，他就有点闲得发慌了。
1_11	涉及角色分歧	[('赫萝', '做')]	[]	赫萝则完全相反，只会把握时间饮酒作乐──今天走了这么长的路，多喝点犒赏自己；今天什么事也没有，多喝点
1_12	涉及角色分歧	[('赫萝', '做')]	[]	醉倒之前，还少不了嘟哝明天早餐的菜单。
1_14	涉及角色分歧	[('罗伦斯', '做')]	[]	第三晚，谭雅下山来了。她是在瓦兰主教区的魔山与天使传说里扮演要角的松鼠化身，罗伦斯在前几天解开了遗留
1_15	涉及角色分歧	[('谭雅', '做'), ('赫萝', '做')]	[]	而谭雅最近热衷于计划在这个有魔山之称的废弃矿山上，设立伐木与烧炭的据点。赫萝三天前出门，就是为了送信
1_16	涉及角色分歧	[('谭雅', '做')]	[]	花费多年心力在秃山种树的谭雅，就是为如何维持山中植被的情况下获得最大利益燃起了雄心壮志。
1_17	涉及角色分歧	[('罗伦斯', '做')]	[]	所以她非常热心地向罗伦斯请教该种什么树，怎么种能才卖更好的价钱。松鼠型态下圆得像颗球的谭雅，是个跟外
1_18	涉及角色分歧	[('赫萝', '做')]	[('谭雅', '做')]	赫萝就跟她差多了，怎么教也记不住货币种类，头脑很聪明却容易厌烦，只有在使坏地轻咬罗伦斯打闹时表情最开
1_19	涉及角色分歧	[('艾尔莎', '做')]	[]	由于关系到主教区的财产，艾莉莎也难得在第三天夜里很晚才睡。等到谈完回房，沉默与黑暗让他觉得好累。上次
1_21	涉及角色分歧	[('谭雅', '做')]	[]	白天都在和前晚留下来过夜的谭雅研拟植林计划，不过她日落之后就返回她最爱的山上，艾莉莎也照常早早就寝了
1_25	涉及角色分歧	[]	[('罗伦斯', '做')]	少了赫萝很寂寞。
1_28	涉及角色分歧	[('赫萝', '做')]	[]	那么有可能是在德堡商行对卖山一事起了争执，不过最可能的还是在德堡商行总行受到热情款待，一不小心就待久
1_42	涉及角色分歧	[]	[('罗伦斯', '做')]	因为即使这样伺候她，追着赫萝尾巴似的一字字往下读之后，看见的都是罗伦斯不给咱买什么、不给咱做什么、不
1_46	涉及角色分歧	[('赫萝', '做')]	[]	德堡商行是掌管北方地区的大商行，控制着大部分物流。赫萝必定是一路上都在期待一盘接一盘的山珍海味，她送
1_49	说存在性分歧	[('罗伦斯', '说')]	[('罗伦斯', '做')]	“？”
1_59	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯都恐怕抱不住的大眼珠直瞪着他。
1_65	涉及角色分歧	[('罗伦斯', '做')]	[]	距离很近是无法否认，但没有做出任何值得她怀疑不忠的事。
1_66	涉及角色分歧	[('罗伦斯', '做')]	[]	何况罗伦斯也有话要说。
2_14	说/做/想角色分歧	[('罗伦斯', '做')]	[]	“怎么不是‘我回来啦’？”罗伦斯无奈干笑，赫萝威风地抬高下巴向前走。
2_15	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯目送大衣底下忽隐忽现的尾巴，直到她消失在宿舍里才抬起头准备关窗。
2_20	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	虽然赫萝也想把麻烦事全丢给罗伦斯做，但只有心情好时才会让他代为保养尾巴。整个仪式甚至要到餐后擦去嘴边
2_21	涉及角色分歧	[('罗伦斯', '做')]	[]	赫萝在朝阳下满意地笑，在罗伦斯脸上亲一下。
2_26	说话人分歧	[('罗伦斯', '说')]	[('艾尔莎', '说')]	“结果怎么样？”
2_27	说话人分歧	[('赫萝', '说')]	[('罗伦斯', '说')]	“应该是个不错的数字。”
2_32	涉及角色分歧	[('艾尔莎', '做')]	[]	赫萝打断罗伦斯，而艾莉莎也已经心里有数了。
2_50	涉及角色分歧	[('赫萝', '做')]	[]	她喝的酒恐怕跟说的话一样多吧。而希尔德提出的数字，看来也是诚实地加总了山本身与天使之门的价值。
2_55	说话人分歧	[('罗伦斯', '说')]	[('艾尔莎', '说')]	“我也觉得这个金额不错。木材价格现在只涨不跌，山的价值应该暂时不会变动。”
2_63	说话人分歧	[('艾尔莎', '说')]	[('罗伦斯', '说')]	“麻烦？为什么？”
2_67	涉及角色分歧	[('赫萝', '做')]	[]	艾莉莎眨眨眼睛，再看向罗伦斯。
2_79	涉及角色分歧	[]	[('赫萝', '做')]	他对不悦地皱着眉的赫萝说：
2_87	说话人分歧	[('艾尔莎', '说')]	[('罗伦斯', '说')]	“你说得没错，运送那么多现金是很辛苦的事，还很危险。所以希尔德先生就在这张纸上签名保证它的价值。我们
2_101	涉及角色分歧	[]	[('罗伦斯', '做')]	在长桌底下用力踩罗伦斯脚的赫萝怀疑地看过去。
2_113	涉及角色分歧	[('艾尔莎', '做')]	[]	艾莉莎非常明白自己的角色。
2_116	涉及角色分歧	[('艾尔莎', '做')]	[]	艾莉莎应是肯定他会同意，才在这时候提起这件事。
2_127	涉及角色分歧	[('艾尔莎', '做')]	[]	艾莉莎找罗伦斯谈这件事，不是只丢下一句“现在怎么办”而已。
2_131	涉及角色分歧	[('艾尔莎', '做')]	[]	艾莉莎很清楚教会慈悲的救济之手，在数量与力量上都很有限。
2_133	涉及角色分歧	[('艾尔莎', '做')]	[('赫萝', '做')]	长远来看，卖商行这个人情对居民肯定有好处，但若要讲求确实，就该直接用在居民身上。艾莉莎总是实际地考虑
2_134	涉及角色分歧	[('赫萝', '做')]	[]	赫萝曾受人类尊崇为神，也许是被迫面临过很多次这样的抉择吧。
2_155	说/做/想角色分歧	[('赫萝', '做')]	[]	听罗伦斯这样讲，赫萝一副感同身受地点着头说：“缪里那大笨驴就是这样。”罗伦斯保持笑容不戳破，继续讲解
2_167	涉及角色分歧	[]	[('赫萝', '做')]	罗伦斯简单应付发飙的赫萝，背起行囊。
2_191	说存在性分歧	[('罗伦斯', '做')]	[('罗伦斯', '说')]	你对这道理有没有印象呀？罗伦斯笑嘻嘻地开玩笑，赫萝摆脸色给他看。
2_203	涉及角色分歧	[('赫萝', '做')]	[]	嫌麻烦的她自己也是个滥好人，见到罗伦斯往麻烦事钻，她也无法袖手旁观。不过罗伦斯为帮助他人而行动，她也
2_204	涉及角色分歧	[]	[('赫萝', '做')]	大概就是这样吧。罗伦斯对板着脸的赫萝说：
3_2	涉及角色分歧	[('艾尔莎', '做'), ('赫萝', '做')]	[]	那大概不是因为讨厌她，就只是把货台视为地盘的意识太强了点罢了。而且艾莉莎对赫萝而言并不是不值一提的对
3_3	涉及角色分歧	[('罗伦斯', '做')]	[]	在一起久了，罗伦斯很容易忘记赫萝毕竟是狼。
3_4	涉及角色分歧	[('罗伦斯', '做')]	[]	不过赫萝也表现出被强烈地盘意识牵着走的感觉，罗伦斯不敢乱开玩笑。根据他长年来的经验，赫萝一定会真的生
3_8	涉及角色分歧	[('艾尔莎', '做')]	[]	这说法是瓦兰主教区的人告诉她的，而她似乎很喜欢这样的比喻。
3_10	涉及角色分歧	[('赫萝', '做')]	[]	想到一半，罗伦斯忽然发现赫萝不见了。也许是在货车上独自角力太累，午餐时她特别安静，说不定是在闹别扭。
3_11	涉及角色分歧	[]	[('罗伦斯', '做')]	就在他逡巡是否该去找人而打算站起时，赫萝回来了。一问之下，才知道她找了棵稍微远离道路的树，钉上给谭雅
3_12	说存在性分歧	[('艾尔莎', '做')]	[('艾尔莎', '说')]	艾莉莎说她有交代过看管大教堂的村民，而赫萝是这么回答的──
3_13	涉及角色分歧	[('赫萝', '做')]	[]	即使谭雅据守的山离这有段不小的距离，她也一定会注意到他们经过这座山。而且谭雅一直独自在山上等待从前认
