uid	kind	A_only	B_only	text
1_9	涉及角色分歧	[('赫萝', '做')]	[]	一块毛皮突然盖在了脸上。当然，不是什么防寒用的兔皮。
1_12	涉及角色分歧	[('罗伦斯', '做')]	[]	但是，平时让罗伦斯称赞不绝，喜爱不已的这条尾巴，如今也不过是通往梦乡的阻碍而已。
1_21	涉及角色分歧	[]	[('罗伦斯', '做')]	轻声说完后，她也钻进毛毯，抱紧罗伦斯的脊背。
2_0	涉及角色分歧	[('汉娜', '做'), ('瑟莉姆', '做')]	[]	对掌管后厨的汉娜，以及才来旅店不满一年，却将杂务到账簿一手包揽的赛莉姆嘱咐完各类事项后，罗伦斯离开了
2_2	涉及角色分歧	[('罗伦斯', '做')]	[]	这副模样看起来简直如同走街串巷的货郎一样，而快步走在前面的赫萝则一身轻装，正用拾来的树枝逗弄蜻蜓。
2_6	说/做/想角色分歧	[('罗伦斯', '做')]	[]	看她摆出这么一副纯真无邪的模样来装傻，罗伦斯也只好叹了口气，回答说“什么也没有”。
2_12	涉及角色分歧	[('赫萝', '做')]	[]	温泉旅店里要顾及客人的目光，所以赫萝总是局促地用三角头巾和裹腰掩盖住耳朵和尾巴。现在没了这些束缚，仅
2_13	涉及角色分歧	[('罗伦斯', '做')]	[]	而且，要说轻松，罗伦斯也是一样。
2_16	涉及角色分歧	[('罗伦斯', '做')]	[]	只不过，那种让人头疼的喧闹，罗伦斯其实很喜欢。
2_18	涉及角色分歧	[('罗伦斯', '做')]	[]	倘若是这样，每当罗伦斯挂念起缪莉，翻来覆去地读他们寄来的信时，赫萝也的确有理由责备他是个大傻瓜了。
2_19	涉及角色分歧	[('罗伦斯', '做')]	[]	毕竟，眼下赫萝之所以表现出一副莫名的愉快模样，大概正是为了填补自己心中的这个空隙。
2_22	说存在性分歧	[('赫萝', '做')]	[('赫萝', '说')]	“嘿咻。”
2_23	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	真不愧是赫萝，她对纽希拉周边的山区了如指掌，连野鼠的巢都记得。哪怕是一边玩一边走，在她的指引下，拿来
2_26	说话人分歧	[('罗伦斯', '说')]	[('赫萝', '说')]	“喏，喝水。”
3_4	涉及角色分歧	[('罗伦斯', '做')]	[]	作为人类，罗伦斯无法理解森林中野兽们的所思所想。但赫萝是狼的化身，她能与动物们心意相通，而罗伦斯又能
3_5	涉及角色分歧	[('罗伦斯', '做')]	[]	从赫萝脸上的愉悦笑容来看，眼前似乎是一只讲规矩的熊。
3_12	涉及角色分歧	[('赫萝', '做')]	[]	赫萝对山林的了解之深，是村中的樵夫猎人所无法比拟的。她打算发挥这些知识来收集各种各样的食物，但罗伦斯
3_21	涉及角色分歧	[('赫萝', '做')]	[]	赫萝能让硕大的熊对她服服帖帖，面对食物却像个小孩子。
3_31	涉及角色分歧	[('赫萝', '做')]	[]	在缪莉面前，赫萝总是格外地注重摆出一副母亲的模样，可一涉及食物的话题，两人争抢的模样反倒像对年纪相近
3_33	涉及角色分歧	[('罗伦斯', '做')]	[]	只要开了口，积攒在心里的话就怎么也挡不住。
3_42	涉及角色分歧	[('罗伦斯', '做')]	[]	再怎么明白赫萝说得没错，罗伦斯心中的烦恼还是无法消散。这时赫萝摸了摸熊的脑袋——熊则跟她是一样的表情
3_48	涉及角色分歧	[('罗伦斯', '做')]	[]	无论她说了多少任性的话，仅凭这一点，罗伦斯就愿意把那些全都一笔勾销。
3_55	说存在性分歧	[('赫萝', '做')]	[('赫萝', '说')]	“唔……”
3_59	涉及角色分歧	[('罗伦斯', '做')]	[]	最可怕的是火灾，但那样的话赫萝大概早就变回狼了。也不可能是盗贼引起的骚动，因为看店的汉娜和赛莉姆都不
3_60	涉及角色分歧	[('罗伦斯', '做')]	[]	再不然……。
