uid	kind	A_only	B_only	text
1_3	涉及角色分歧	[]	[('-', '做')]	这“狼与辛香料亭”的大厅里挤满了人。有穿着贵气的大商人，也有一看就觉得是修道士的初老男性，还有面带刀
1_4	涉及角色分歧	[]	[('-', '做')]	他们这么开心，不只是因为酒。
1_5	涉及角色分歧	[]	[('-', '做')]	今天聚在这里，是为了向这间旅馆道贺。
1_6	说话人分歧	[('鲁瓦德', '说')]	[('罗伦斯', '说')]	“那么，失礼了。”
1_7	涉及角色分歧	[]	[('-', '做')]	满大厅喝酒谈笑的人，目光聚集在旅馆老板罗伦斯身上。以旅行商人起家的他开设的旅馆今年届满十周年，谈吐举
1_24	涉及角色分歧	[]	[('-', '做')]	聚在大厅的宾客也纷纷道贺，罗伦斯一一答礼。这时──
1_28	涉及角色分歧	[]	[('罗伦斯', '做')]	罗伦斯平常都会在赫萝喝酒时要她自制，今天就不啰唆了。
1_29	涉及角色分歧	[]	[('赫萝', '做')]	还将赫萝连同她早早就斟满的葡萄酒杯，像公主一样抱起来。
2_2	涉及角色分歧	[]	[('-', '做')]	旅馆里的全是与他们志趣相投的老朋友，再怎么吵都不会介意。
2_3	涉及角色分歧	[]	[('-', '做')]	似乎有人已经搬出乐器，奏起活泼的曲调。
2_10	涉及角色分歧	[]	[('赫萝', '做')]	转过来的脸，和楼下狂欢的母亲赫萝一模一样。不同点就只有色泽奇妙，仿佛掺了银粉的灰发，和顽皮蛋的精力。
2_20	说存在性分歧	[('缪里', '说')]	[]	“……”
2_25	涉及角色分歧	[]	[('柯尔', '做'), ('缪里', '做')]	寇尔和缪里待在这个房间，是为了替即将跻身成人之列的缪里梳妆打扮，好让她在阔别十年的各方好友面前亮相。
2_31	说存在性分歧	[('缪里', '说')]	[]	“……”
2_44	涉及角色分歧	[('柯尔', '做')]	[]	借此机会灌输神之教诲的算盘没得打了。
2_54	涉及角色分歧	[]	[('-', '做')]	楼下也都是在聊这样的陈年往事吧。
2_60	说/做/想角色分歧	[]	[('柯尔', '做')]	“头两年……喔不，三年吧……记不太清楚了，都是在准备盖旅馆。”
2_67	说/做/想角色分歧	[]	[('柯尔', '做')]	“还需要在地上铺很多石头，然后指挥很多工匠……啊，想起来了。那时候真的每天都忙到头昏眼花。”
2_73	涉及角色分歧	[]	[('缪里', '做')]	或许是讲她出生以前的事，她很好奇自己什么时候登场。
2_79	涉及角色分歧	[('柯尔', '做')]	[]	她猛然回头，害寇尔为绑辫子而分成三股的头发从手中溜走。
2_80	涉及角色分歧	[('缪里', '做')]	[]	寇尔默默地把缪里转回前方，说道：
2_81	说/做/想角色分歧	[]	[('柯尔', '做')]	“真的啦。那是赫萝小姐很久以前伙伴的名字，在罗伦斯先生他们经历那场大冒险时，帮了他们很多的鲁华先生的
2_85	说/做/想角色分歧	[]	[('柯尔', '做')]	“你是在……那年冬天出生的。嗯，对……对对对……”
2_93	说/做/想角色分歧	[]	[('柯尔', '做')]	“……你刚出生的那几年，我大概永远都忘不掉吧。”
2_94	说/做/想角色分歧	[]	[('缪里', '做')]	“咦？嘿嘿嘿，是喔？”
2_101	说/做/想角色分歧	[]	[('缪里', '做')]	“可是我不管怎么想，都想不起那时候的事耶……”
2_103	涉及角色分歧	[]	[('缪里', '做')]	催寇尔陪她玩总会被拒绝，捣蛋又会挨骂，所以是觉得以前会陪她玩却不记得很可惜吧。
2_104	说/做/想角色分歧	[]	[('缪里', '做')]	“记得的只有……怎么说，有点怪怪的，都是困在陷阱里的感觉，会是我在作梦吗？”
2_115	说/做/想角色分歧	[]	[('柯尔', '做')]	“那不是坏心眼。啊啊，想起那时候的事，心脏就开始痛了……”
2_120	说存在性分歧	[('缪里', '说')]	[]	“……”
2_138	涉及角色分歧	[]	[('缪里', '做')]	可是她本人好像根本不在乎。
2_142	说存在性分歧	[('缪里', '说')]	[]	“……”
2_164	说/做/想角色分歧	[]	[('柯尔', '做')]	“我希望你能在愿意珍惜你一辈子的人陪伴下，幸福地过日子啊。”
2_177	说/做/想角色分歧	[]	[('柯尔', '做')]	“我是要当圣职人员的人……不过，也对啦。比起穿得像盗贼、用袖子擦鼻涕的女生，我是比较喜欢穿戴整齐、笑
2_191	涉及角色分歧	[]	[('缪里', '做')]	扎好头发，穿上高级服饰的她，真是美得无话可说。
2_200	涉及角色分歧	[]	[('柯尔', '做')]	两人正要出房门时，缪里开口。
2_203	说存在性分歧	[('柯尔', '说')]	[('柯尔', '做')]	“？”
2_209	涉及角色分歧	[]	[('-', '做')]	进了走廊，便能清楚听见楼下的喧噪，全都是为前旅行商人与冠上贤字的狼所打造的温泉旅馆，祝贺它值得纪念的
2_211	涉及角色分歧	[]	[('缪里', '做')]	他没注意到身旁缪里的笑容。
2_216	涉及角色分歧	[]	[('-', '做')]	下楼亮相，使得已经很吵闹的大厅更为鼎沸。在众人夸到快飘起来的缪里身旁，寇尔纯粹为她的成长感到喜悦。
2_217	涉及角色分歧	[('柯尔', '做')]	[]	所以在这之后，他继续当了好一阵子的木头。
2_218	涉及角色分歧	[]	[('缪里', '做')]	没注意到小狼心怀里那明确诞生的情感。以及那银狼的鬼脑筋和思虑之周全。
2_222	涉及角色分歧	[]	[('柯尔', '做')]	并对毫无戒心的寇尔露出与母亲赫萝一模一样的笑容。
2_225	说/做/想角色分歧	[]	[('柯尔', '做')]	“看到你长大这么多，我觉得很骄傲喔。”
