uid	buckets	involves(两臂一致)	verdict(ok/改:involves)	note	text
1_7	群戏	-:做:med	ok		当然，在这短短的瞬间里，在成长的麦子和那些忘记拔去的杂草对面，人们挥舞著锄头，或是对着天空祈愿丰收的时刻，一刻都没有停止过。
1_18	群戏	-:做:med;赫萝:做:med	ok		女孩们的手上拿着和她们身高差不多的大镰刀。啊，要是比较起来的话说不定和自己的尾巴差不多大了吧。不过要挥动如此巨大的镰刀，不论怎么看，她们的手臂都显得太过纤细了。
1_36	群戏	-:做:med	involves	叙述	被生活所束缚的人，以及确实被戴上枷锁的人，还有那些即使睡觉，也不能放开手中用来代替手杖的棒子的人，他们经常会在池中修养。
1_63	群戏	-:做:med	ok		突然，灯火变暗了，舞蹈者们的舞步变得虚幻起来了。而另一边，喝醉的男人们把酒杯高高举起，舔舐残留的麦酒滴，继续享受着快乐的时光。
1_69	群戏	赫萝:做:med;-:做:high	ok		已经被好几个孩子粗暴对待过了，这次就老老实实接受吧。仍然由得他们玩着鼻子，轻轻戳著，又是抚摸又是抓着毛。
1_76	群戏	-:做:high	ok		责备声左耳进右耳出，只是死死得看着我。此刻责备的大人看到小孩那副样子也放弃了，也许觉得在祭典中发火不太好吧。于是他们只有轻轻地叹了口气，粗暴地摸了摸孩子的头。
1_83	群戏	-:做:high	ok		觉得误会那孩子了，只好耸了耸肩膀，推著孩子回到了祭典的人群中。
1_91	群戏	-:做:med	involves	叙述	也有无法忍受逃出村中的人。
1_97	焦点低	赫萝:做:low	ok		这里把仪式一节一节细分，若说愉快的话确实很愉快。
1_114	焦点低	赫萝:做:low	involves	无明确心理动词	只是这些贡品，旁边的人估计不管什么时候都很难用什么东西代替瞎混过去吧。
