uid	kind	A_only	B_only	text
1_6	涉及角色分歧	[]	[('柯尔', '做'), ('罗伦斯', '做')]	秋意深浓的这一天，纽希拉的温泉旅馆“狼与辛香料亭”正为了准备填满冬季泉疗客的肚子而忙得不可开交。仅有
1_14	涉及角色分歧	[('柯尔', '做')]	[]	而周游列国修习神学的我，同样在这里一落脚就过了十余年。时光飞逝之快，实在教人感慨万千。
1_20	涉及角色分歧	[]	[('-', '做')]	狼与辛香料亭也已有几组客人入住，在露天浴池悠悠哉哉地泡上一整天。
1_25	涉及角色分歧	[('柯尔', '做')]	[]	怎么大白天就闹成这样？
1_27	涉及角色分歧	[('柯尔', '做')]	[]	浴场里到底发生什么事了？
1_34	涉及角色分歧	[('柯尔', '做')]	[]	闹成这样也太奇怪了。恐怕是其他温泉旅馆的客人也跑来了。
1_38	涉及角色分歧	[('柯尔', '做')]	[]	问题是，他为什么会把骡子牵进浴场？
1_41	说存在性分歧	[('柯尔', '说')]	[('柯尔', '做')]	“……唔、这……”
1_45	涉及角色分歧	[('柯尔', '做')]	[]	一阵坏预感猛袭而来。
1_50	涉及角色分歧	[]	[('缪里', '做')]	这里的客人地位颇高，随从也有全副武装的人。想到这里再四处看看，果然发现了几个魁梧男子表情非常担忧地望
1_59	说存在性分歧	[('-', '说')]	[('-', '做')]	“喔喔喔喔！”
1_62	涉及角色分歧	[]	[('-', '做')]	立刻丢下怀里的起司，和客人一起追缪里。盾牌在石板地上磨出的痕迹指向堆满枯叶的森林，然后是一整片下坡，
1_67	涉及角色分歧	[('柯尔', '做')]	[]	可是，她很快就不管我怎么瞪，一脸若无其事地让人们扛着走过我眼前。
1_72	涉及角色分歧	[('缪里', '做')]	[]	那天真的笑容，打从出生就没变过。
1_85	涉及角色分歧	[('柯尔', '做')]	[]	那对常客来说虽是常有的余兴节目，看在我眼里可是一点也笑不出来。别说一身泥土枯叶的人平时得先冲干净才准
1_100	涉及角色分歧	[('缪里', '做')]	[]	毫无反省的样子。
2_10	涉及角色分歧	[('柯尔', '做')]	[]	听我这么说，缪里也只是耸耸肩而已。
2_18	涉及角色分歧	[]	[('赫萝', '做')]	缪里和母亲同样晃动耳朵和尾巴，将夏天采了一大堆的越橘以蜂蜜酿成的果酱抹在有种苦味的黑麦面包上。她暂时
2_26	涉及角色分歧	[('缪里', '做')]	[]	她俨然是君临这个家的赫萝缩小版。
3_0	涉及角色分歧	[]	[('缪里', '做')]	等我点起烛火，翻开圣经读了几句，门就敲响了。
3_4	涉及角色分歧	[]	[('柯尔', '做')]	缪里话也不答地快步进房，放手让被子摔在床上。这时节夜里冷，我房里又没暖炉那种奢侈品，能理解为何带被子
3_38	涉及角色分歧	[('缪里', '做')]	[]	老是说一句顶一句。
3_45	涉及角色分歧	[('柯尔', '做')]	[]	干了拿盾当雪橇滑过浴池这种荒唐事，还说没什么不得了？真是不敢领教。
3_46	说话人分歧	[('缪里', '说')]	[('柯尔', '说')]	“那要怎样才叫不得了啊？”
3_61	涉及角色分歧	[('缪里', '做')]	[]	一这么想，心里就冒出一团莫名的热。缪里的唇早已退开，我却仍无法呼吸。心跳声猛烈得好清楚，但血液仿佛流
3_73	涉及角色分歧	[('柯尔', '做')]	[]	她被我喊得闭眼缩头，但还是笑呵呵的。
3_78	涉及角色分歧	[]	[('缪里', '做')]	可是，我不知道该对这个罪孽深重的可怕少女说些什么。更糟的是，与缪里对上眼那瞬间胸口涌出的感情让我心里
3_100	涉及角色分歧	[('缪里', '做')]	[]	接下来好几天，缪里稍微安分了点。
