uid	kind	A_only	B_only	text
1_3	涉及角色分歧	[]	[('-', '做')]	这“狼与辛香料亭”的大厅里挤满了人。有穿着贵气的大商人，也有一看就觉得是修道士的初老男性，还有面带刀
1_4	涉及角色分歧	[]	[('-', '做')]	他们这么开心，不只是因为酒。
1_5	涉及角色分歧	[]	[('-', '做')]	今天聚在这里，是为了向这间旅馆道贺。
1_7	涉及角色分歧	[('罗伦斯', '做')]	[('-', '做')]	满大厅喝酒谈笑的人，目光聚集在旅馆老板罗伦斯身上。以旅行商人起家的他开设的旅馆今年届满十周年，谈吐举
1_10	涉及角色分歧	[('罗伦斯', '做')]	[]	这么一个对上神祇也要贯彻原则的人，来到壁炉前的罗伦斯身边单膝下跪，双手呈上。
1_15	涉及角色分歧	[('罗伦斯', '做')]	[]	这是罗伦斯特地请人铸的金币，价值并不高过其本身的材质。
1_24	涉及角色分歧	[]	[('-', '做')]	聚在大厅的宾客也纷纷道贺，罗伦斯一一答礼。这时──
1_27	涉及角色分歧	[('赫萝', '做')]	[]	她是具有兽耳兽尾，高龄数百岁，能宿于麦中的贤狼，也是与罗伦斯携手建立这座温泉旅馆的妻子赫萝。
2_2	涉及角色分歧	[]	[('-', '做')]	旅馆里的全是与他们志趣相投的老朋友，再怎么吵都不会介意。
2_3	涉及角色分歧	[]	[('-', '做')]	似乎有人已经搬出乐器，奏起活泼的曲调。
2_10	涉及角色分歧	[]	[('赫萝', '做')]	转过来的脸，和楼下狂欢的母亲赫萝一模一样。不同点就只有色泽奇妙，仿佛掺了银粉的灰发，和顽皮蛋的精力。
2_17	涉及角色分歧	[('柯尔', '做'), ('缪里', '做')]	[]	她是罗伦斯和赫萝的独生女。始终在这里协助老板夫妻的寇尔，从缪里出生就在照顾她，像个年纪差距很大的哥哥
2_20	涉及角色分歧	[('缪里', '做')]	[]	“……”
2_31	涉及角色分歧	[('缪里', '做')]	[]	“……”
2_33	涉及角色分歧	[('缪里', '做'), ('赫萝', '做')]	[]	缪里听说今天的事之后，原本挣扎得像是被抓进厨房的鸡，被母亲赫萝训过才总算听话。
2_44	涉及角色分歧	[('柯尔', '做')]	[]	借此机会灌输神之教诲的算盘没得打了。
2_45	涉及角色分歧	[('柯尔', '做')]	[]	要是再继续扫缪里的兴，宝贵的亮相机会就要泡汤了。
2_54	涉及角色分歧	[('柯尔', '做')]	[('-', '做')]	楼下也都是在聊这样的陈年往事吧。
2_60	说/做/想角色分歧	[]	[('柯尔', '做')]	“头两年……喔不，三年吧……记不太清楚了，都是在准备盖旅馆。”
2_65	涉及角色分歧	[('柯尔', '做')]	[]	不带恶意的话语，反而伤人。
2_67	说/做/想角色分歧	[]	[('柯尔', '做')]	“还需要在地上铺很多石头，然后指挥很多工匠……啊，想起来了。那时候真的每天都忙到头昏眼花。”
2_79	涉及角色分歧	[('柯尔', '做')]	[]	她猛然回头，害寇尔为绑辫子而分成三股的头发从手中溜走。
2_81	说/做/想角色分歧	[]	[('柯尔', '做')]	“真的啦。那是赫萝小姐很久以前伙伴的名字，在罗伦斯先生他们经历那场大冒险时，帮了他们很多的鲁华先生的
2_82	说存在性分歧	[('缪里', '说')]	[('缪里', '做')]	“哼～嘿……嘿嘿嘿。”
2_85	说/做/想角色分歧	[]	[('柯尔', '做')]	“你是在……那年冬天出生的。嗯，对……对对对……”
2_93	说/做/想角色分歧	[]	[('柯尔', '做')]	“……你刚出生的那几年，我大概永远都忘不掉吧。”
2_94	说/做/想角色分歧	[]	[('缪里', '做')]	“咦？嘿嘿嘿，是喔？”
2_97	涉及角色分歧	[('柯尔', '做')]	[]	但“热闹”实在太委婉了，若求正确，简直像是一把火。
2_101	说/做/想角色分歧	[]	[('缪里', '做')]	“可是我不管怎么想，都想不起那时候的事耶……”
2_103	涉及角色分歧	[('柯尔', '做')]	[('缪里', '做')]	催寇尔陪她玩总会被拒绝，捣蛋又会挨骂，所以是觉得以前会陪她玩却不记得很可惜吧。
2_104	说/做/想角色分歧	[]	[('缪里', '做')]	“记得的只有……怎么说，有点怪怪的，都是困在陷阱里的感觉，会是我在作梦吗？”
2_105	涉及角色分歧	[('柯尔', '做')]	[]	缪里歪头的模样真是可爱。不知是不是现在穿着漂亮衣服又梳妆打扮过，可说是无话可说的可爱。
2_106	涉及角色分歧	[('柯尔', '做')]	[]	而且她很苗条，脸蛋又跟赫萝一样美。
2_115	说/做/想角色分歧	[]	[('柯尔', '做')]	“那不是坏心眼。啊啊，想起那时候的事，心脏就开始痛了……”
2_116	涉及角色分歧	[('柯尔', '做')]	[]	只会哭着讨奶吃的时期，几乎是赫萝在带，寇尔只会在她或罗伦斯挪不出手时帮忙。襁褓中的缪里，真是可爱到不
2_117	涉及角色分歧	[('柯尔', '做')]	[]	要说哪里特别累人嘛，就只有还是婴儿的她不会隐藏继承自赫萝的兽耳兽尾，需要避人耳目而已。
2_120	涉及角色分歧	[('缪里', '做')]	[]	“……”
2_126	涉及角色分歧	[('柯尔', '做')]	[]	当时的缪里大概是不喜欢嘴里空空的，很爱乱啃东西，尾巴总是有一大片黏糊糊的口水。
2_136	涉及角色分歧	[('柯尔', '做')]	[]	这费工的编法，是寇尔向往来旅馆的舞娘学的。
2_137	涉及角色分歧	[('柯尔', '做')]	[]	扎好以后，一定会惊艳全场。
2_138	涉及角色分歧	[('柯尔', '做')]	[('缪里', '做')]	可是她本人好像根本不在乎。
2_142	涉及角色分歧	[('缪里', '做')]	[]	“……”
2_149	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	疼爱独生女的罗伦斯偶尔会说这种话，被赫萝捏屁股。
2_164	说/做/想角色分歧	[]	[('柯尔', '做')]	“我希望你能在愿意珍惜你一辈子的人陪伴下，幸福地过日子啊。”
2_168	涉及角色分歧	[('柯尔', '做')]	[]	缪里的反应更不满了。这个喜欢衔着肉干在山里跑来跑去的女孩，说不定无法了解这种事。
2_169	涉及角色分歧	[('柯尔', '做')]	[]	可是，这是人生大事。
2_174	涉及角色分歧	[('柯尔', '做')]	[]	或许是头发扎完的关系，比平常成熟一点。
2_177	说/做/想角色分歧	[]	[('柯尔', '做')]	“我是要当圣职人员的人……不过，也对啦。比起穿得像盗贼、用袖子擦鼻涕的女生，我是比较喜欢穿戴整齐、笑
2_180	涉及角色分歧	[('柯尔', '做')]	[]	她是终于懂了吗？
2_191	涉及角色分歧	[('柯尔', '做')]	[('缪里', '做')]	扎好头发，穿上高级服饰的她，真是美得无话可说。
2_200	涉及角色分歧	[]	[('柯尔', '做')]	两人正要出房门时，缪里开口。
