uid	kind	A_only	B_only	text
1_0	涉及角色分歧	[]	[('-', '做')]	大概在伙伴从山路上滑落时，神的试炼就已经开始了。所幸当时情况并不严重。但那时正逢连绵阴雨，道路各处都
1_1	涉及角色分歧	[]	[('-', '做')]	从邻村雇来的马夫起初还是一副威风模样，结果从听到月夜里的狼嚎声开始，神情便有些不对劲了。终于有一天中
1_2	涉及角色分歧	[]	[('-', '做')]	我们被丢弃在了这不时能听到狼嚎声的深山里。
1_3	涉及角色分歧	[('格兰·萨尔加多', '做')]	[('-', '做')]	幸运的是，方向没有迷失，还是可以继续前进。我们吟诵着神的名号，凭借心中信仰走在这一片泥泞中。
1_4	涉及角色分歧	[('格兰·萨尔加多', '做')]	[('-', '做')]	但是当食料开始见底时，苍郁树林的背后还是不见边际。天又一直下雨，我们好几次在大树和悬崖下扎起帐篷露营
1_6	涉及角色分歧	[]	[('-', '做')]	大概是因为帐篷下早已变作了蘑菇的苗床，咳嗽的人很多。抹过油的皮革外套也吸水变软，处处生出了霉斑。或许
1_8	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	何况最后的调查地是那个有名的温泉乡纽希拉，这也不错。
1_12	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	我们受教廷的命令，每隔十多年便来此查访。
1_14	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	德高望重的大主教面露痴态，紧追着舞娘不放的模样也并不少见。一早便开始酗酒，午间继续，晚间继续。这些人
1_15	涉及角色分歧	[('格兰·萨尔加多', '做')]	[('-', '做')]	来访这片土地是深秋时节，在此逗留了一整个冬天。同志们分散在村里的各个温泉旅店中，在温泉池与食堂中寻找
1_16	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	因为我们是异端审问官。
1_20	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	在事先调查中，我们也听到了店主用魔术挖出温泉，欺骗顾客之类的传言。这些风评往往会随着每个新来者的成功
1_22	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	因为那家旅店一见之下普普通通，但普普通通的店家又如何能那样兴盛？实在令人费解。
1_24	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	店主用魔法挖出了温泉，如此谣言或许真的是空穴来风。
1_25	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	而且，来店的客源也很奇怪。
1_28	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	一介旅行商人怎能拥有如此关系？
1_29	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	莫非是使用了蛊惑人心的魔法？ 抑或，是某个大国潜入此处的间谍？ 无论怎样，倘若他对神心怀敌意，我就必
1_31	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	那家旅店，究竟凭着什么特别之处聚集了这么多的顾客？
1_33	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	毕竟有的是思考的时间。
1_35	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	那家名叫‘狼与香辛料’的旅店。
2_5	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	车马店再往前，是一幢两扇门大开，工坊模样的屋子。这是村里的中介所。之所以门户大开，据说是为了在下雪的
2_9	涉及角色分歧	[]	[('-', '做')]	我正好奇那是用来做什么的，只见村民模样的人点检完货物后，从火中抽出几根铁棒，烙在了不同的包裹上。
2_10	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	看来是为了标记运送地址，使它们不致混淆。
2_13	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	给货物上烙印的确是有道理的。
2_14	涉及角色分歧	[]	[('-', '做')]	我听到有人大声叫嚷起来，似乎即便如此还是发生了什么纠纷争执。
2_15	涉及角色分歧	[]	[('-', '做')]	那人没有穿着旅装，所以大概是当地人。他在堆起来的木箱前无奈地抓着脑袋。
2_17	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	离开广场，嘈杂声依旧没有减弱几分。
2_21	涉及角色分歧	[]	[('-', '做')]	呆站在道路一旁的，大约是跟着哪里的大主教或修道院长初次来到纽希拉的新人僧侣们。
2_22	涉及角色分歧	[]	[('-', '做')]	他们的僧服模样各异，因此互相应该并不认识。但僧服大概是这混沌之中，他们唯一的共同点，因此便让他们聚集
2_23	涉及角色分歧	[]	[('-', '做')]	走过他们面前时，正好有位几乎半裸，面容娇媚的舞娘冲他们搭话。僧侣们顿时各个瞪圆了眼睛。我祈祷着他们能
2_24	涉及角色分歧	[('格兰·萨尔加多', '做')]	[]	越往村里走，四下的人就越少，高大的建筑物就越多。有些房屋门口飘扬着显眼的纹章旗，大概是某位贵族包下了
