uid	kind	A_only	B_only	text
1_10	涉及角色分歧	[('阿莉艾斯', '做')]	[]	如果靠近看的话，会发现她的衣服显得很脏；但在远处看的话，看起来就像是只羊一样。
1_12	涉及角色分歧	[('阿莉艾斯', '做')]	[]	虽然她说不知道自己的年龄，但是让库拉斯感到生气的是，阿莉艾斯的身高要比库拉斯高那么一点点。
1_18	涉及角色分歧	[('库拉斯', '做')]	[]	其中一个就是虽然不管怎么拜托她，她也绝不会答应；但只要这样约定了，她是无论如何都会遵守约定的。
1_23	涉及角色分歧	[('阿莉艾斯', '做')]	[]	深戴着头巾，如果不是从很近的地方，或是从下面看的话，根本看不清她的容貌。
1_29	涉及角色分歧	[('阿莉艾斯', '做')]	[]	又一阵微风吹来，从头巾下露出的一点点漂亮的金发摇晃了起来。
1_36	涉及角色分歧	[]	[('库拉斯', '做')]	将阿莉艾斯藏在袖子中的手拿了出来，指尖已经被泥土给弄脏了。连指甲缝里都沾满了泥土，真是糟蹋了难得的漂
2_1	涉及角色分歧	[('阿莉艾斯', '做')]	[]	因为没有完成约定而被阿莉艾斯说教后，开始了午饭。
2_2	涉及角色分歧	[('阿莉艾斯', '做')]	[]	因为阿莉艾斯强烈反对吃早饭，所以午饭必须得多吃些才行。
2_3	涉及角色分歧	[('库拉斯', '做')]	[]	话虽然那样说，背在库拉斯肩上的麻袋里，装的不过是用像是马吃的燕麦粉烤成的比脸还大的又硬又平的面包七条
2_8	涉及角色分歧	[('库拉斯', '做')]	[]	将贵重的食物分给什么食物都不带而开始旅行的阿莉艾斯的人可是自己呀，该感谢的不是神而是自己才对吧。但是
2_12	说存在性分歧	[('阿莉艾斯', '做')]	[('阿莉艾斯', '说')]	“啊……”
2_15	涉及角色分歧	[('阿莉艾斯', '做')]	[]	之所以从那样的思绪中被拉回现实，是因为察觉到了阿莉艾斯投来的带有疑问的视线。
2_20	涉及角色分歧	[('阿莉艾斯', '做')]	[]	因为咬得过于用力，库拉斯一边用手指刮除沾在牙齿上的燕麦面包，一边在心里想着“露出就像是听到重大秘密似
2_21	说存在性分歧	[('阿莉艾斯', '说')]	[('阿莉艾斯', '做')]	阿莉艾斯在初次见到小鸟的时候，说出了“蜘蛛在天花板上爬着”这种话。
2_23	说存在性分歧	[('库拉斯', '说')]	[]	库拉斯虽然觉得很吃惊，但也觉得作为男人被当成笨蛋也很丢脸。库拉斯告诉阿莉艾斯“所谓的天空是用高的难以
2_26	涉及角色分歧	[('阿莉艾斯', '做')]	[]	对于阿莉艾斯来说，看到从地面长出来的花朵，发出“没有花瓶但花为什么没有枯萎”这种程度的疑问，已经算是
2_27	涉及角色分歧	[('阿莉艾斯', '做')]	[]	阿莉艾斯似乎是住在建造在库拉斯，作为佣人所在的那间屋邸旁边，用高大的石墙所围起来的建筑物里的。
2_28	说存在性分歧	[('阿莉艾斯', '说')]	[('阿莉艾斯', '做')]	听阿莉艾斯说：从记事起就没有离开过那栋建筑物，只有读书是为数不多的乐趣之一。
2_29	涉及角色分歧	[('库拉斯', '做')]	[]	库拉斯偶尔也知道那栋建筑有人在出入。
2_33	说存在性分歧	[('阿莉艾斯', '说')]	[('阿莉艾斯', '做')]	之所以知道了那些偶尔能听到的歌声是歌颂神的特别歌曲，还是因为不久前阿莉艾斯亲口说出来的。
2_42	涉及角色分歧	[('库拉斯', '做'), ('阿莉艾斯', '做')]	[]	那是为了追上在通往海边的道路上像是被什么引导着似的、步履蹒跚前进着的奇怪少女。
2_48	涉及角色分歧	[('阿莉艾斯', '做')]	[]	而且在没能遵守约定的时候，看着露出有些生气和吃惊的样子说教的阿莉艾斯的脸，说实话也并不觉得讨厌。
3_1	涉及角色分歧	[('库拉斯', '做')]	[]	但是也有紧张的时候，那就是在夜晚。
3_5	涉及角色分歧	[('库拉斯', '做'), ('阿莉艾斯', '做')]	[]	现在两人躺着的地方是最后到达的山丘上。
4_1	涉及角色分歧	[('库拉斯', '做')]	[]	但是，对于住惯了光是有屋顶的地方，但是和每天都睡在外面没什么区别的库拉斯来说，并不觉得有多辛苦。但是
4_2	涉及角色分歧	[('阿莉艾斯', '做')]	[]	也就是说，用自己的体温温暖别人的身体。
4_9	涉及角色分歧	[('库拉斯', '做')]	[('阿莉艾斯', '做')]	虽然在一个劲地担心别人，但阿莉艾斯自己也一定很冷。
4_12	涉及角色分歧	[('库拉斯', '做')]	[]	虽然看不见阿莉艾斯的脸，但库拉斯知道阿莉艾斯稍微笑了一下。
4_16	说存在性分歧	[('阿莉艾斯', '说')]	[('阿莉艾斯', '做')]	那是因为，看到了至今为止唯一一次擦肩而过的马车的马，当时阿莉艾斯脸色煞白地这样说道：“那就是被称为男
4_20	涉及角色分歧	[]	[('阿莉艾斯', '做')]	在听到阿莉艾斯如兔子般的呼吸声传来之后，一边祈祷别被人看见，一边稍微将头靠向了阿莉艾斯那柔软的胸部。
5_10	涉及角色分歧	[('库拉斯', '做')]	[]	而且即使到了早晨，也没有随意使唤自己的人，也没有怎么做也做不完的工作。对于睡觉来说，没有比这个更让人
5_17	涉及角色分歧	[('库拉斯', '做')]	[]	大概是阿莉艾斯心脏跳动的声音吧。
5_23	涉及角色分歧	[('-', '做')]	[]	“嗷……”
5_29	涉及角色分歧	[('库拉斯', '做')]	[]	但是，并没有看见狼的身影。
5_32	涉及角色分歧	[]	[('阿莉艾斯', '做')]	一边摇晃着阿莉艾斯的肩膀，一边环视四周，依旧没有看到狼的身影。
5_34	涉及角色分歧	[('库拉斯', '做')]	[]	在饲养家畜的小屋里睡觉的时候，即使是不愿意也明白，只有它们是特别的。
5_37	涉及角色分歧	[('库拉斯', '做')]	[]	阿莉艾斯终于醒了过来，可是还是一脸迷糊的样子。相反地，看起来让她继续睡的话，狼反而会放过我们似的。
5_58	涉及角色分歧	[]	[('阿莉艾斯', '做')]	库拉斯将阿莉艾斯拉到自己身后。虽然害怕得快要倒下了，但他还是将粗粗的拐杖当作长枪似地摆出了架势。
5_63	说存在性分歧	[('库拉斯', '做')]	[('库拉斯', '说')]	“……咦？”
5_68	涉及角色分歧	[('库拉斯', '做')]	[]	虽然是在随时都能扑向猎物的情况下，但现在看起来与其是说在狩猎猎物，还不如说敌人就在眼前。
5_73	涉及角色分歧	[('库拉斯', '做')]	[]	危机就这样简单地解除了，连自己得救了的实感也没有。
5_82	涉及角色分歧	[('库拉斯', '做')]	[]	说完后打了个可爱的喷嚏。看来阿莉艾斯并不知道狼。那么，之所以她会微微地颤抖，那只是因为单纯地觉得冷吧
5_95	涉及角色分歧	[('库拉斯', '做')]	[]	阿莉艾斯一边那样说着，一边紧紧地抱住自己。不管怎么说，害怕的是阿莉艾斯吧。
5_99	涉及角色分歧	[('库拉斯', '做')]	[]	虽然刚刚才逃过一命，但那香味也足够使人忘记刚才恐惧所留下的余味了。
6_4	说存在性分歧	[('库拉斯', '做'), ('阿莉艾斯', '说')]	[('阿莉艾斯', '做')]	另外还担心的事，就是阿莉艾斯的脸色稍微有些差，以及阿莉艾斯已经在开始说“脚疼了”。
6_13	涉及角色分歧	[('库拉斯', '做')]	[]	但是映入眼帘的依然是草地和小树林以及数不尽的山丘。
6_14	涉及角色分歧	[('库拉斯', '做')]	[]	往身后看去，那里只有已经对花和昆虫表现不出兴趣、取而代之的是辛苦地走着的阿莉艾斯。在快要下山丘的地方
6_18	涉及角色分歧	[('库拉斯', '做')]	[]	少量的水和还不知道在那里的城市。连在道路的尽头真的是否存在大海也不知道，还有预想以外大得过分的这个世
6_24	涉及角色分歧	[('库拉斯', '做')]	[]	只有一条路，应该不会迷路的。
6_26	涉及角色分歧	[('阿莉艾斯', '做')]	[('库拉斯', '做')]	“？”
6_30	涉及角色分歧	[]	[('库拉斯', '做')]	一看到阿莉艾斯后背隆了起来，呕吐物随即四散开来。
6_35	涉及角色分歧	[]	[('阿莉艾斯', '做')]	库拉斯跑到阿莉艾斯的身边，将她抱了起来，取下了头巾，不断呼唤着她的名字。
6_40	涉及角色分歧	[]	[('阿莉艾斯', '做')]	库拉斯快要哭起来似地摇晃着阿莉艾斯纤细的肩，敲打着她的脸颊。即使是那样，阿莉艾斯也丝毫没有反应。
6_52	涉及角色分歧	[]	[('阿莉艾斯', '做')]	即使是那样，库拉斯还是一边拼命地叫着那个名字，一边摇晃着阿莉艾斯毫无抵抗的肩膀。
6_62	涉及角色分歧	[('库拉斯', '做')]	[]	但是因为泪水模糊了自己的眼睛，看不清前面。
6_69	涉及角色分歧	[('赫萝', '做')]	[]	库拉斯转过了身。在逆光中，毫无疑问地有个人站在那里。
6_71	涉及角色分歧	[('赫萝', '做')]	[]	和语气不符的清澈声音。对方站在逆光中，坐在这边的库拉斯连对方的长相和身高也看不清。
7_10	说话人分歧	[('赫萝', '说')]	[('库拉斯', '说')]	“……嗯？”
7_46	涉及角色分歧	[('赫萝', '做')]	[]	站在眼前的女人将披风和羽毛腰带卷在身上，穿着像某处的贵族似地镶着皮草的裤子，长着亚麻色头发的头上好像
7_56	涉及角色分歧	[('赫萝', '做')]	[('库拉斯', '做')]	就像是被女人穿刺似的视线所扎上。
7_58	涉及角色分歧	[('赫萝', '做')]	[]	一阵微风吹来，披风的下摆和尾巴的前端都晃动了起来。
7_62	涉及角色分歧	[('赫萝', '做')]	[]	听着女子无聊般地那样说道，库拉斯惊讶得嘴巴一张一合的，好一会儿才吞了口唾液缓过气来。
7_63	涉及角色分歧	[('库拉斯', '做')]	[]	虽然听过很多次关于偶尔降临人间，或赐于人们幸运，或偶尔做些恶作剧，似人又非人的生物的故事。
7_71	涉及角色分歧	[('库拉斯', '做')]	[]	但是，那张脸毫无疑问非常漂亮。
7_73	涉及角色分歧	[('库拉斯', '做')]	[]	听见库拉斯模仿着大人的用词那样询问着，女人再一次不高兴地吊起了一边的眉毛，说道：
