uid	kind	A_only	B_only	text
1_4	涉及角色分歧	[('罗伦斯', '做')]	[]	其中最麻烦的一件工作，今年也终于来到了罗伦斯眼前。
1_10	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	当然罗伦斯并没有背着神作出什么龌龊之举。那是他的妻子赫萝。
1_12	涉及角色分歧	[('赫萝', '做')]	[]	——是她头上的三角形兽耳，以及腰间毛茸茸的大尾巴。赫萝自己曾被称作丰收之神，并受到人的崇拜，而她的真
1_15	涉及角色分歧	[('赫萝', '做')]	[]	毯子下全是茶色的毛。当然，与赫萝尾巴的颜色是一样的。
2_5	涉及角色分歧	[('大鼻子木匠', '做')]	[]	这名男子看起来就像是个打扮成商人的樵夫，实际上他也确实是这样过活的——他是个经验丰富的木匠。
2_7	涉及角色分歧	[('大鼻子木匠', '做')]	[]	桌上的麦酒和猪肉香肠旁边，还摆着大约三十个做工精良的梳子。木匠虽然也会为来到这个村里的舞娘们制作梳子
2_11	涉及角色分歧	[('罗伦斯', '做')]	[]	生活在城镇里，靠勤恳工作养活一家人的熟练工匠，工作一日可以挣得一枚半，至多两枚这样的银币。因此罗伦斯
3_10	涉及角色分歧	[('罗伦斯', '做')]	[]	相对地，有一部分钱就要交给木匠公会，还要花在运输费上，若是维持原价，梳子的品质就要下降。
4_0	涉及角色分歧	[('赫萝', '做')]	[]	时下店里已经有了客人入住，因此每到换毛的季节，赫萝大抵都会躲在卧室里。原因之一是换下的毛散落在各处，
4_20	说话人分歧	[('赫萝', '说')]	[('罗伦斯', '说')]	“不，尾巴没少啊。”
4_21	说话人分歧	[('罗伦斯', '说')]	[('赫萝', '说')]	“嗯？”
4_25	涉及角色分歧	[('罗伦斯', '做')]	[]	为雇工创造便于工作的环境，也是店主的任务之一。
4_28	涉及角色分歧	[]	[('赫萝', '做')]	她的举动起先让罗伦斯愣了一下，然后才回过神来。
4_38	涉及角色分歧	[('罗伦斯', '做')]	[]	话是这么说没错，可就算赫萝再怎么费梳子，三十把也太多了。
4_45	涉及角色分歧	[('罗伦斯', '做')]	[]	明明是每年都要做的事情，她却总是不肯自己主动说出来。
5_2	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	买了新的梳子，最初的第一梳总是由罗伦斯负责的，之后则是赫萝开口拜托，他才会为她梳理尾巴。
5_3	涉及角色分歧	[('罗伦斯', '做')]	[]	而今年的频率则从一开始就多了起来。工作告一段落，吃完午饭回到卧室里，今天赫萝也像是瘫倒的饿殍般趴在罗
5_7	说/做/想角色分歧	[]	[('赫萝', '做')]	罗伦斯总想着若是能用它们做成几个坐垫该有多好，但赫萝却以“只能咱坐在汝身上，不准反过来。”为由，断然
5_8	涉及角色分歧	[('罗伦斯', '做')]	[]	先不论是谁坐在谁身上，以商人的个性，这些毛闲置着真的太可惜了。赫萝若是羊的话，罗伦斯大概也不会把剪下
5_28	涉及角色分歧	[('罗伦斯', '做')]	[]	正因为如此，必须要从现在开始工作，做好准备才行。
5_32	涉及角色分歧	[('罗伦斯', '做')]	[]	那个人偶的做工精致极了，以至于连舞娘们都对它展现出了相当的关心。罗伦斯曾冒出过凭借生产这种东西赚钱的
5_40	涉及角色分歧	[('罗伦斯', '做')]	[]	这个话题再说下去，她可能真的要生气了。
5_45	涉及角色分歧	[('罗伦斯', '做')]	[]	深山里的村子纽希拉，对狼出没的传言更是格外敏感。温泉浴池里要是飘起了狼身上落下的毛，那么不止自己的店
5_47	涉及角色分歧	[('罗伦斯', '做')]	[]	结果只能用食物来进行怀柔了，赫萝的耳朵果然动了动。
