uid	kind	A_only	B_only	text
1_6	涉及角色分歧	[('罗伦斯', '做')]	[]	即使对于时间就是金钱的商人来说，在这种天气下也会停下脚步，将马车驶下道路，选择一片没有被牛羊侵犯过的
1_8	涉及角色分歧	[('罗伦斯', '做')]	[]	边眺望着天空边偶尔喝口葡萄酒。再咬一口黑麦面包。
1_9	涉及角色分歧	[('罗伦斯', '做')]	[]	但没过多久就觉得连吃面包也是种麻烦，懒散的饺著面包进入了似睡而睡的状态。
1_24	涉及角色分歧	[]	[('罗伦斯', '做')]	在货台上闲来无事的旅行伙伴赫萝似乎是因为察觉到了罗伦斯坐在赶车台上东张西望而开口这样问道。
1_40	涉及角色分歧	[]	[('赫萝', '做')]	听起来很无趣的口吻。
1_43	涉及角色分歧	[('赫萝', '做')]	[]	赫萝的头上长有一般人无法想象的漂亮的狼耳，在其腰间也生长的有柔软蓬松的尾巴。
1_55	涉及角色分歧	[]	[('赫萝', '做')]	被赫萝这样一看罗伦斯反而觉得精神了起来。
1_58	涉及角色分歧	[('罗伦斯', '做')]	[]	相反对罗伦斯来说光是晒晒太阳就能让赫萝高兴的话付出的代价简直太便宜了。
1_68	涉及角色分歧	[]	[('赫萝', '做')]	就像是赫萝在想象罗伦斯所说的草原的样子似的，这次轮到罗伦斯开始想象赫萝所说的那幅场景了。
1_82	涉及角色分歧	[('赫萝', '做')]	[]	赫萝手中接过葡萄酒。
1_92	涉及角色分歧	[('罗伦斯', '做')]	[]	这并不条视野很好的道路，不知道什么时候车轮会被沼泽或树根之类的缠住所以罗伦斯并
1_93	涉及角色分歧	[]	[('罗伦斯', '做')]	没有回头看，但即使是这样从赫萝的语调来看她似乎已经有了几分醉意。
1_97	涉及角色分歧	[]	[('罗伦斯', '做')]	罗伦斯在接着赫萝的话说完后，赫萝发出“唔”的一声满足的点了点头。
1_100	涉及角色分歧	[]	[('罗伦斯', '做')]	因为罗伦斯一年四季都在不断的旅行行商，所以很清楚不同季节森林的优缺点。
1_106	涉及角色分歧	[]	[('赫萝', '做')]	因为离草原似乎还很远，所以罗伦斯对兴高采烈的想要午睡的旅行的伙伴这样抗议道︰
1_111	涉及角色分歧	[('罗伦斯', '做')]	[]	所以，如果赫萝在后面的货台上悠闲的午睡的话，对于不得不单独一人紧握缰绳的罗伦斯来说可一点也不有趣。
1_112	涉及角色分歧	[]	[('罗伦斯', '做')]	所以罗伦斯才会这样说，聪明的赫萝似乎察觉到了罗伦斯话里的意思。
1_137	涉及角色分歧	[]	[('罗伦斯', '做')]	这时的赫萝所露出的微笑足以抵消掉罗伦斯的叹息。
1_148	涉及角色分歧	[('罗伦斯', '做')]	[]	这样的话，或许在迷路之前回去要好些。
1_149	涉及角色分歧	[]	[('赫萝', '做')]	罗伦斯正在这样考虑著的时候，因为突然感觉到了有道似乎是要刺破自己脖子的目光而回头向后看去。
1_157	涉及角色分歧	[]	[('罗伦斯', '做')]	尔后，当罗论斯提出想要再听一次时，赫萝的表情一瞬间凝固了。
1_161	涉及角色分歧	[]	[('赫萝', '做')]	赫萝刚一说完，车轮就碾到了树根“ 啷”的一声摇晃了起来。
1_165	涉及角色分歧	[]	[('罗伦斯', '做')]	【……】
1_171	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	【嗯】
