source	sents	narr_我	pov	top_names	focalizer_guess	focalizer	note
两匹狼的婚礼	1064	346	第一人称?	缪里:192 赫萝:37 罗伦斯:6	缪里	柯尔	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)"
后日谈	448	138	第一人称?	艾普:58 狄安娜:48 赫萝:5	艾普	艾尼克	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)"
嫩绿色的小径	173	13	第三人称	赫萝:58 罗伦斯:54	赫萝	赫萝	两视角接近(赫萝:58 罗伦斯:54): 确认主视角
少年、少女与白花	2109	15	第三人称	赫萝:422	赫萝	库拉斯	
旅行商人与黯色的骑士	530	1	第三人称	罗伦斯:185 赫萝:67	罗伦斯	罗伦斯	
旅途余白	585	5	第三人称	罗伦斯:153 赫萝:112 缪里:22	罗伦斯	罗伦斯	
牧羊人与黑骑士	1480	680	第一人称?	赫萝:15 罗伦斯:2	赫萝	艾尼克	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)"
狼与一身泥的送行狼	1522	5	第三人称	罗伦斯:320 赫萝:300 缪里:16	罗伦斯	罗伦斯	两视角接近(罗伦斯:320 赫萝:300 缪里:16): 确认主视角
狼与另一个生日	262	0	第三人称	缪里:68 罗伦斯:17 赫萝:17	缪里	柯尔	[Phase1校正 缪里→柯尔]
狼与宝石之海	1058	2	第三人称	罗伦斯:237 赫萝:184 艾尔莎:77	罗伦斯	罗伦斯	
狼与将晓之色	79	0	第三人称	罗伦斯:36 艾尔莎:23 赫萝:14	罗伦斯	罗伦斯	
狼与尾巴的圆舞	1068	8	第三人称	罗伦斯:283 赫萝:237 希尔德:9	罗伦斯	罗伦斯	
狼与彩虹色的音乐	48	14	第三人称			乐师(我)	★别名没覆盖此篇角色(异类短篇): 补 aliases 或本轮 drop [Phase1校正 艾尼克→乐师(我)]
狼与收获之秋	519	3	第三人称	罗伦斯:178 赫萝:151 艾尔莎:9	罗伦斯	罗伦斯	
狼与旅行之卵	1074	2	第三人称	罗伦斯:245 赫萝:244 缪里:19	罗伦斯	罗伦斯	两视角接近(罗伦斯:245 赫萝:244 缪里:19): 确认主视角
狼与昔日猎犬的叹息	967	2	第三人称	艾尔莎:248 赫萝:231 罗伦斯:151	艾尔莎	艾尔莎	两视角接近(艾尔莎:248 赫萝:231 罗伦斯:151): 确认主视角
狼与星空下的远吠	1445	12	第三人称	赫萝:301	赫萝	赫萝	
狼与春天落下的东西	409	1	第三人称	赫萝:115 罗伦斯:100 鲁瓦德:48	赫萝	罗伦斯	两视角接近(赫萝:115 罗伦斯:100 鲁瓦德:48): 确认主视角
狼与森林色彩	503	2	第三人称	赫萝:115 罗伦斯:90 缪里:3	赫萝	罗伦斯	
狼与橡实面包	1368	52	第三人称	赫萝:347 罗伦斯:321 希尔德:4	赫萝	罗伦斯	两视角接近(赫萝:347 罗伦斯:321 希尔德:4): 确认主视角 [Phase1校正 赫萝→罗伦斯]
狼与泉烟彼方	592	4	第三人称	赫萝:126 罗伦斯:85 缪里:1	赫萝	瑟莉姆	[Phase1校正 赫萝→瑟莉姆]
狼与灰色的笑颜	474	215	第一人称?	赫萝:152 罗伦斯:120 柯尔:1	赫萝	柯尔	"★第一人称: 叙述者≠高频名, 视角是'我'(请填其角色名)"
