uid	kind	A_only	B_only	text
1_2	涉及角色分歧	[('柯尔', '做'), ('汉娜', '做'), ('罗伦斯', '做'), ('赫萝', '做')]	[]	我所服务的温泉旅馆“狼与辛香料亭”也不例外。今天没有客人，老板罗伦斯又出门参加村民会议，老板娘赫萝也
1_10	涉及角色分歧	[('柯尔', '做')]	[]	依稀听见这样的声音。
1_13	涉及角色分歧	[('柯尔', '做')]	[]	看来是去河边玩的缪里回来了。她是“狼与辛香料亭”老板夫妇的独生女，总是叫我大哥哥，和我亲得很。年方十
1_16	涉及角色分歧	[('柯尔', '做')]	[]	这么喊之后，啪哒啪哒的脚步声随即接近，缪里跑进浴场里来。
1_19	涉及角色分歧	[('缪里', '做'), ('赫萝', '做')]	[]	她的长相简直和母亲是一个模子印出来，眼睛颜色也一样，可是笑法却完全不同。赫萝的笑柔得像是用蜂蜜慢熬出
1_20	涉及角色分歧	[('缪里', '做')]	[]	闪耀着炫目光芒，但有时热得让人受不了。
1_23	涉及角色分歧	[('缪里', '做')]	[]	这家伙从小到大都是这么好动，身上大伤小伤不断，无邪的笑容充满让人看了也会发笑的魅力，经常让人感到她年
1_31	涉及角色分歧	[('柯尔', '做')]	[]	“……”
1_32	涉及角色分歧	[('柯尔', '做'), ('缪里', '做')]	[]	水花迎头浇来，淋得我浏海挂起水帘。另一头，缪里正在水里吐著泡泡。一般而言，十二、三岁少女的理想形象几
1_34	涉及角色分歧	[('柯尔', '做')]	[]	有东西在温泉里扭来扭去。
1_35	说存在性分歧	[('缪里', '说')]	[('缪里', '做')]	“噗哇！”
1_45	涉及角色分歧	[('缪里', '做')]	[]	看来池里乱窜的东西都是缪里从河里抓回来的战利品，稍远处还有鳟鱼受不了水温般频频跳出水面。
2_2	说话人分歧	[('柯尔', '说')]	[('赫萝', '说')]	“很不好笑好不好，幸亏现在没人来作泉疗。”
2_6	涉及角色分歧	[('柯尔', '做')]	[]	不拿来炖鱼汤，是因为再煮下去有点过意不去。
2_12	涉及角色分歧	[('柯尔', '做')]	[]	头上的三角大耳朵跟着抽动几下。即使赫萝已有数百年岁，现在又是温泉旅馆的老板娘，但说句僭越的话，她的耳
