uid	kind	A_only	B_only	text
1_1	涉及角色分歧	[]	[('罗伦斯', '想')]	若天上能有一片云，就会有无限的想像空间，但今天天空偏偏蓝得像海底。
1_2	说/做/想角色分歧	[]	[('罗伦斯', '想')]	到头来不知该做何表情，只能盯着自己的脚尖看。
1_5	涉及角色分歧	[]	[('-', '做')]	领路的祭司表情肃穆地行礼，其身后有两名男子各抱举一个人高的长杆，杆子顶端各有一面看似相当笨重的铁制徽
1_7	涉及角色分歧	[]	[('-', '做')]	祭司庄严地吟出祷词，一行人静静起步。沿路的针叶树底下，走出一张张困惑的脸孔。
1_8	涉及角色分歧	[]	[('-', '做'), ('罗伦斯', '做')]	有人穿戴隆重，有人刚丢下手边工作跑来。他们像鹿在林中撞见人类般不知所措，直到祭司促请才靠近棺木，接连
1_9	说/做/想角色分歧	[]	[('罗伦斯', '做')]	不，就当是那样也无所谓。会改变念头，是由于在街角拐弯时不经意瞥见来路的缘故。
1_10	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	彼端有一栋建筑。……真正守护那里的人仍无非是这两人自己，是值得骄傲的一件事。
1_11	涉及角色分歧	[]	[('-', '做'), ('罗伦斯', '想')]	棺木前高举徽记的男子们宛若听见了他的胸怀，将吊杆举得更高了。受冬日阳光照耀而沉光闪闪的徽记，原来是一
1_14	涉及角色分歧	[]	[('-', '做'), ('罗伦斯', '做')]	由于地处深山偏乡，教堂是临时用仓库改装而成的。众人随门前祭司的宣告恭敬低头，祭司也跟着颔首，男子们将
2_4	涉及角色分歧	[('赫萝', '做')]	[('汉娜', '做')]	两人从天还没亮就开始忙，直到下午偏晚才能坐下来好好喘口气。
2_6	说存在性分歧	[]	[('-', '说')]	温泉旅馆“狼与辛香料亭”的老板罗伦斯脖子扭得喀喀响。辛劳的来源，可说是到处都是。
2_9	涉及角色分歧	[]	[('汉娜', '做')]	忙着忙着，厨房烟囱冒起炊烟，宣告另一场战斗的开始──准备早餐。……
2_17	说/做/想角色分歧	[]	[('罗伦斯', '想')]	罗伦斯在静悄悄的餐厅角落坐下喘息时，汉娜走了进来。……忍不住吞吞口水。
2_19	说/做/想角色分歧	[]	[('罗伦斯', '想')]	但他总归是旅馆主人，用餐前可不能忘了应有的礼节。汉娜不知懂不懂罗伦斯的用心，摆好餐具就替他斟了一杯葡
2_21	说/做/想角色分歧	[]	[('罗伦斯', '想')]	为和著葡萄酒吞下重咸食物的奢侈行为感到痛快之余，罗伦斯切一块熏肉嚼了起来。
2_22	说存在性分歧	[]	[('-', '说')]	对于“先生”这称呼，他也相当习惯了。
2_29	说/做/想角色分歧	[]	[('罗伦斯', '想')]	汉娜抱着胸，一手托腮遥望远方的样子，惹来罗伦斯一阵苦笑。……对那种话实在有点不敢领教。
2_31	说话人分歧	[('罗伦斯', '说')]	[('汉娜', '说')]	“先别说这个了，太太还在休息吗？”
2_36	说/做/想角色分歧	[]	[('汉娜', '做')]	汉娜轻笑一声，留下“我去准备晚餐材料了”就返回厨房。
2_40	涉及角色分歧	[]	[('罗伦斯', '想')]	即使这么说了，床上的隆起仍一声不吭。缩成这么小，是表示她连下床关个窗都嫌麻烦的意思吧。
2_41	说/做/想角色分歧	[]	[('罗伦斯', '想')]	罗伦斯头疼地叹息，然而将葡萄酒放在摆了羽毛笔和纸卷的桌上也没反应，让他有点担心。
2_43	说存在性分歧	[]	[('-', '说'), ('罗伦斯', '想')]	她仍没有动静。于是罗伦斯走到床边，轻轻掀起毛毯查看，底下出现一张年纪十来岁的少女睡脸。……或许“令人
2_56	涉及角色分歧	[]	[('罗伦斯', '想')]	然而，赫萝此话并不假。
2_58	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯弯下腰，脸凑近赫萝。
2_62	说/做/想角色分歧	[]	[('罗伦斯', '想')]	实在太幸福了。罗伦斯感慨一笑，赫萝也跟着笑了。
2_75	涉及角色分歧	[('赫萝', '做')]	[]	毕恭毕敬地扶著纤瘦的背，带公主出寝室后，罗伦斯这么问。
2_83	涉及角色分歧	[('赫萝', '做')]	[('罗伦斯', '想')]	即使为满满的言下之意感到背脊发凉，罗伦斯仍承诺些什么似的轻拥赫萝。
2_91	说/做/想角色分歧	[]	[('罗伦斯', '想')]	经营温泉旅馆与当个什么都能自己打理的旅行商人不同，辛苦得多了；然而只要身边有这样的助手，再多的苦都会
2_93	涉及角色分歧	[]	[('罗伦斯', '做'), ('罗伦斯', '想')]	汉娜似乎是听见了脚步声，两人一进餐厅就替赫萝送饭过来。……一早就吃这么多肉还是令人吃不消。
2_102	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	十几年前，邂逅赫萝而在旅途中到处受无妄之灾牵连时，他们认识了一位名叫寇尔的少年。当时他是修习神学的流
2_104	涉及角色分歧	[]	[('柯尔', '做')]	同时，罗伦斯仍对于自己让曾经有志投身圣职的寇尔长期待在温泉旅馆工作有着不小愧疚。即使那是经过一番辗转
2_105	涉及角色分歧	[]	[('柯尔', '做'), ('罗伦斯', '做')]	而某天，这个寇尔听了旅馆客人说的传闻后怎么也按捺不住，终于下定决心请求罗伦斯让他下山，罗伦斯当然是没
2_112	说/做/想角色分歧	[]	[('罗伦斯', '想')]	罗伦斯急忙伸手捡拾锡杯和酒桶，以掩饰心中如葡萄酒般漫流的惊愕，然而覆水难收。汉娜已听见声响，抓条抹布
2_121	说/做/想角色分歧	[('罗伦斯', '想')]	[('罗伦斯', '做')]	没错。这阵子罗伦斯为温泉旅馆的事忙到不可开交……而完全出乎意料的另一人，则是罗伦斯与赫萝的独生女缪里
2_122	涉及角色分歧	[('赫萝', '想')]	[('柯尔', '做'), ('缪里', '做')]	两人怎么也想不到，自己的宝贝独生女居然会跟着踏上旅途的寇尔弃旅馆而去。
2_123	涉及角色分歧	[]	[('罗伦斯', '想')]	若问理由，当然是好几个大大小小不同的理由交缠而成……谁喜欢谁这种事简直是摊在阳光底下。
2_125	说存在性分歧	[]	[('-', '说')]	尽管如此，罗伦斯仍尽可能地理性反驳，结果不只是赫萝，连汉娜都笑出来了。那是两名女性互相确认“男人到几
2_132	说/做/想角色分歧	[('罗伦斯', '做')]	[('罗伦斯', '想')]	可是，罗伦斯就是忍不住想反驳，逗得赫萝和汉娜咯咯笑得更大声，让他好想找其他旅馆老板一起喝酒。
2_138	涉及角色分歧	[('罗伦斯', '做')]	[]	听罗伦斯这么问，赫萝以餐刀尖画着圆，卷来脑中思绪般解释：
2_142	涉及角色分歧	[]	[('罗伦斯', '想')]	人临死前会对祭司说出藏在心中的话，希望他转达给神。……所以赫萝的想法也不算错吧。
2_149	说/做/想角色分歧	[('罗伦斯', '做')]	[('罗伦斯', '想')]	罗伦斯抵死抗拒紧逼而来的现实，赫萝却悠哉地品尝葡萄酒。能这么气定神闲，不知是源自于与罗伦斯的年龄差距
2_150	涉及角色分歧	[]	[('柯尔', '做'), ('缪里', '做'), ('罗伦斯', '想')]	发现他们那个总是想到山村外开开眼界的女儿，在寇尔说要增广见闻而准备下山之际躲进行李而成功跷家时也是如
2_151	说/做/想角色分歧	[]	[('罗伦斯', '想')]	旅行可不是郊游野餐，随时可能遭遇危险。担忧独生女安危的罗伦斯就连写信要她立刻回家都等不及，跳上雪橇就
2_152	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	船到桥头自然直啦。她笑着说。
2_153	涉及角色分歧	[]	[('赫萝', '做')]	有句谚语是这么说的──爱自己的孩子，就让他去旅行。见到赫萝那样子，让罗伦斯也不禁觉得自己或许真的该那
