uid	kind	A_only	B_only	text
1_3	说话人分歧	[('罗伦斯', '说')]	[('-', '说')]	“卢米欧尼金币？有二十……十九枚没错吧。德堡银币，七十三枚。迪普铜币有一堆、两堆……总共六百枚没错吧
1_5	说话人分歧	[('罗伦斯', '说')]	[('-', '说')]	“那么，阿雷兹先生的份都在这里了没错吧？”
1_11	涉及角色分歧	[('罗伦斯', '做')]	[]	按照惯例，每家旅馆老板都得轮流做这项工作，而今年棒子终于交到狼与辛香料亭的主人罗伦斯手上。在纽希拉开
1_23	涉及角色分歧	[('-', '做')]	[]	当罗伦斯这么想着起身时，逗留在集会所门口聊天的旅馆老板们吵闹起来。
1_27	涉及角色分歧	[('赫萝', '做')]	[]	半掩的门后传来如此对话，一道人影探射进来。
1_30	涉及角色分歧	[('罗伦斯', '做')]	[]	光是听见这声音，整天下来的疲劳就全飞了吧。从门缝间探出头来的，是个外套一路盖到脚踝，头袋兜帽的娇小少
1_33	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	一如往昔的嘲讽，搔得耳朵痒呼呼的。面前这个人，并不是眼中所见的小丫头。尽管外表看起来是个十来岁的女孩
1_34	涉及角色分歧	[('赫萝', '做')]	[]	同时也是罗伦斯最骄傲的妻子──赫萝。
1_36	涉及角色分歧	[('罗伦斯', '做')]	[]	若是前一阵子，来接人的应该会是长相和赫萝一个样的独生女缪里吧。可是她不晓得遗传到谁，偷跑出去旅行了。
1_39	涉及角色分歧	[('赫萝', '做')]	[]	再说，赫萝才是真正寂寞的人吧。冬天结束后温泉旅馆就没生意了，长年分担劳务的寇尔寄旅他乡，独生女缪里也
1_50	涉及角色分歧	[('赫萝', '做')]	[]	赫萝在麦田里住了数百年，守望一座名叫帕斯罗的村落。村里自然会有外人迁入，赫萝很明白他们为了融入当地需
1_53	涉及角色分歧	[('罗伦斯', '做')]	[]	即使一脸疲惫又做作得可以，还是要往脸上贴个金。赫萝嗤嗤而笑，伸手要扶罗伦斯。
1_56	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯牵起赫萝的小手站起来。
1_65	涉及角色分歧	[('罗伦斯', '做')]	[]	然而，这两个人却结伴出游了。原本只有寇尔一个上路，结果淘气的缪里似乎是躲进行李中偷跟过去了。赫萝常笑
1_67	涉及角色分歧	[('赫萝', '做')]	[]	这句话有很多意思，而赫萝很善良地往好的方面解释。
1_86	涉及角色分歧	[('罗伦斯', '做')]	[]	只要能见到这样的笑容，她爱怎么说都无所谓。
1_98	涉及角色分歧	[('罗伦斯', '做')]	[]	在纽希拉建温泉旅馆那当时，还不太相信自己居然会定居下来，再也不去旅行。过去的人生，全是村过一村、镇过
1_99	涉及角色分歧	[('罗伦斯', '做')]	[]	但是，这也换来了堪称环游过全世界的见识──曾几何时，有如此自负的自己不知上哪去了，对山下的事也变得疏
1_109	涉及角色分歧	[('罗伦斯', '做')]	[]	若是从前，早就迫不及待地想跳上船了吧。
1_112	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯是在经过几天忙碌，即将前往斯威奈尔时才发现的。
1_113	涉及角色分歧	[('赫萝', '做')]	[]	在一个阳光刺眼的大晴天，罗伦斯检查要带去镇上的行李，并与各家旅馆老板确认采购清单内容等物，最后将马系
1_116	涉及角色分歧	[('罗伦斯', '做')]	[]	语气变得有点恭敬，是因为坐在驾座上的赫萝表情很恐怖。
1_120	涉及角色分歧	[('罗伦斯', '做')]	[]	“……”
1_125	涉及角色分歧	[('罗伦斯', '做')]	[]	应该单纯只是发现独守旅馆比想像中寂寞太多，忍不住跟来了吧。
1_129	涉及角色分歧	[('罗伦斯', '做')]	[]	既然她都嘟著嘴这么说了，就当作是这样吧。
1_131	说话人分歧	[('赫萝', '说')]	[('罗伦斯', '说')]	“要帮我暖好位子喔。”
2_1	涉及角色分歧	[('罗伦斯', '做')]	[]	驾车下山的途中，每每望向林子后的溪流，都看得到木材在河上漂。听泡温泉的樵夫说，这几年木材供不应求，大
2_7	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	既然她这么乖巧地坐在旁边作女红，岂有故意破坏她兴致的道理。
2_8	涉及角色分歧	[('罗伦斯', '做')]	[]	更别说这个世界上，已经没有任何更珍贵的宝物值得他天涯海角地寻觅了。
2_10	涉及角色分歧	[('罗伦斯', '做')]	[]	以好久没掌过缰绳，马驾得不太流畅而言，赫萝给的分数似乎太高了点。或许是因为天气好，心情也跟着好的关系
2_20	涉及角色分歧	[('罗伦斯', '做')]	[]	见到他商人式的微笑，赫劳拉下脸缩起下颚瞪视过来。
2_46	涉及角色分歧	[('罗伦斯', '做')]	[]	有必要确认消息的真伪。
2_51	涉及角色分歧	[('罗伦斯', '做')]	[]	担下在这时期送货币到镇上的任务，获得正式成为村中一员的认同让罗伦斯非常高兴，一不小心就太过自负。听见
2_54	涉及角色分歧	[('罗伦斯', '做')]	[]	见到罗伦斯这模样，赫萝再度叹息，手一伸就捏住他的胡须。
2_60	涉及角色分歧	[('罗伦斯', '做')]	[]	在他眼前的，到底是高龄数百岁的贤狼。
2_65	涉及角色分歧	[('罗伦斯', '做')]	[]	“……”
2_71	涉及角色分歧	[('罗伦斯', '做')]	[]	有赫萝撑腰，比任何人都可靠。
3_11	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯已经好几年没来过斯威奈尔，这个急遽发展的镇模样和以前大不相同。成了这地区的商业重镇，腹地也逐渐
3_31	涉及角色分歧	[('罗伦斯', '做')]	[]	他应该就是会长吧。听老兑换商一喊，面目狰狞的兑换商们纷纷不甘不愿地返回原位，取而代之的是脚步飘忽的打
3_36	涉及角色分歧	[]	[('-', '做')]	罗伦斯在童仆带领下将运货马车牵进中庭，为久未踏上的铺石地坚实触感松一口气。通道右侧与刚才闹哄哄的公会
3_37	说存在性分歧	[('-', '做')]	[('-', '说')]	不一会儿，通往大厅的门打开了，先前大声叱喝的老兑换商带着随从走了出来。童仆称他“会长”，所以他果然是
3_43	涉及角色分歧	[('罗伦斯', '做')]	[]	为了彼此和气，“我当然是故意挑这时候来的”这种话就不必说了。
3_47	涉及角色分歧	[('罗伦斯', '做')]	[]	会长拍了拍罗伦斯的肩膀，那只手粗壮得似乎能轻易折弯较薄的货币。长年来运筹货币的指尖，想必是装满了老练
4_11	说话人分歧	[('赫萝', '说')]	[('罗伦斯', '说')]	“想抓兔子就得趴到地上，把手伸进兔子洞才抓得到呢。”
4_12	涉及角色分歧	[('罗伦斯', '做')]	[]	她很想去逛那些挤满人的摊子，可是又怕弄得一身泥吧。
4_13	涉及角色分歧	[('赫萝', '做')]	[]	那条美丽的尾巴经过她每天细心梳整、理毛，油光闪亮。
4_19	涉及角色分歧	[('赫萝', '做')]	[]	而如今，她就连戏妆都掉得一干二净。
4_23	涉及角色分歧	[('罗伦斯', '做')]	[]	想当初，还会担心和赫萝相处久了会对那样的关系感到厌烦，结果随着年纪增长，对花招百出的赫萝却好像愈来愈
4_28	涉及角色分歧	[('罗伦斯', '做')]	[]	见到赫萝兴高采烈的侧脸，总让人觉得再辛苦都无所谓。
4_31	涉及角色分歧	[('罗伦斯', '做')]	[]	“……”
4_33	涉及角色分歧	[]	[('赫萝', '做')]	罗伦斯就这么像条训练有素的狗，望向赫萝所指的摊贩乖乖听她点菜。
5_7	涉及角色分歧	[('罗伦斯', '做')]	[]	而接受主人的邀请也是礼貌。不过要人家买赫萝想吃的东西未免太厚脸皮，就没说了。会长看起来年纪颇大，口味
5_12	涉及角色分歧	[('赫萝', '做')]	[]	会长的嗓门实在有够大，或许是整天得在那种工作场所吆喝练出来的，不过他本来就是个精力充沛的人吧。像现在
5_22	涉及角色分歧	[('罗伦斯', '做')]	[]	像这样一身肥肉的白胡子兑换商，应该见过一眼就忘不掉才对啊。只见会长啃下一块骨边肉，配口啤酒笑道：
5_40	涉及角色分歧	[('罗伦斯', '做')]	[]	以前或许会想扔颗石子激点涟漪看看，现在却会笑自己当时血气方刚。
5_44	说话人分歧	[('兑换商公会会长', '说')]	[('罗伦斯', '说')]	“看来现在这个对的地方，就是纽希拉了。”
5_45	涉及角色分歧	[('罗伦斯', '做')]	[]	会长与纽希拉有长年交情，应该知道在这时候送村里的货币和货品来，背后有些什么含意吧。
5_54	涉及角色分歧	[('罗伦斯', '做')]	[]	那表情变得有点奸邪，应该纯粹是多心吧。
5_60	说存在性分歧	[]	[('兑换商公会会长', '说')]	会长切下一颗，用刀问“要不要来一点”，而罗伦斯婉谢了。
5_64	涉及角色分歧	[('罗伦斯', '做')]	[]	会长往蒜仁撒撒盐就丢进嘴里。在这么气派的公会大楼里作一行领袖却毫不装模作样，在罗伦斯眼里感觉十分爽快
5_66	涉及角色分歧	[('罗伦斯', '做')]	[]	或许真是那样。真正的信念就是那么回事。
5_77	涉及角色分歧	[('罗伦斯', '做')]	[]	若真是这样就太好了。就连在温泉乡纽希拉，想挖出新温泉都很难。罗伦斯能在好地点都被挖光的情况下开门立业
5_89	涉及角色分歧	[('罗伦斯', '做')]	[]	先不论是非对错，真是作梦也没想到他们这么有计划。
5_95	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯已经好多年没谈过如此露骨的利害关系了。
5_98	涉及角色分歧	[('罗伦斯', '做')]	[]	这么一来，不要跟兑换商联手，直接找木材行或肉店公会和那群新来的打对台岂不是更有效？又说不定，这一切只
5_103	涉及角色分歧	[('兑换商公会会长', '做')]	[]	泛红的脸颊不知是因为兴奋还是酒意。
5_113	涉及角色分歧	[('罗伦斯', '做')]	[]	可是，这实在太唐突了。
5_122	涉及角色分歧	[('罗伦斯', '做')]	[]	他或许是认为，让镇里的人来做容易败露，但若换成山里的人就能隐身于山林之中了。挖温泉与挖矿相近，是意外
5_123	涉及角色分歧	[('罗伦斯', '做')]	[]	自己是被带有浓浓硫磺味的泉烟所蒙蔽，没看清外面的世界。
5_131	涉及角色分歧	[('罗伦斯', '做')]	[]	今年还派了一个这么年轻的过来。这句会长见到罗伦斯时的欢喜之词，如今黑压压地重现脑海。猎物──这个用词
5_136	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯的确是听说过有人会干那种事，例如专门跟着战争跑。据说他们会跟着士兵杀进城里，要是发现有人想守住
5_139	涉及角色分歧	[('罗伦斯', '做')]	[]	纽希拉那些温泉旅馆老板，都知道自己长期合作的兑换商手上满布血腥吗？
