uid	kind	A_only	B_only	text
1_5	涉及角色分歧	[('柯尔', '做')]	[]	必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。
1_6	说存在性分歧	[('柯尔', '说')]	[]	我名叫托特．寇尔。
1_7	涉及角色分歧	[('柯尔', '做')]	[]	走在神的道路上的羔羊，但是……
1_8	涉及角色分歧	[('缪里', '做')]	[('柯尔', '做')]	“唔唔……”
1_12	涉及角色分歧	[('柯尔', '做')]	[]	就某方面而言，那说不定真是想迷惑神的羔羊的恶魔。因为趴在我胸口酣睡的，是一个年轻少女。
1_13	涉及角色分歧	[('柯尔', '做')]	[]	虽然她体格纤瘦脚又长，愉快时的步伐轻盈得像颗蓬松毛球，然而压在身上时再不情愿也会感到她的成长。如果她
1_15	涉及角色分歧	[('柯尔', '做'), ('罗伦斯', '做'), ('赫萝', '做')]	[]	缪里是我大恩人罗伦斯和贤狼赫萝的独生女，我从她出生就在照顾，跟妹妹没两样。这个野丫头经常嚷嚷着想离开
1_17	涉及角色分歧	[('缪里', '做')]	[]	那纯真的睡相令我不禁微笑之后，我注意到鼻子很痒。
1_18	涉及角色分歧	[('柯尔', '做')]	[]	缪里的头盖在被子下，头顶自然在我鼻头前。她很为那头长发自豪，一天也不会忘记保养，有种与香油不同的甜香
1_19	涉及角色分歧	[('柯尔', '做')]	[]	可是鼻子痒与香气无关，也不是受到飘逸发丝的搔弄。
1_20	涉及角色分歧	[('缪里', '做')]	[]	而是因为她头上那对三角形大狼耳。
1_25	涉及角色分歧	[('柯尔', '做'), ('缪里', '做')]	[]	更正，发亮的是尾巴抖出来，到处乱飘的毛才对。
1_27	涉及角色分歧	[('缪里', '做')]	[]	我将半抬的头放回枕头上，无力地望着天花板。缪里掉的毛在朝阳中飞舞，那掺灰的银色使它更像雪片。说美是很
1_34	涉及角色分歧	[('柯尔', '做'), ('缪里', '做')]	[]	缪里是继承了狼血的女孩。今年的换毛期好像又到了，但这里不是她纽希拉的家。我们在旅行当中，这天借住的是
1_35	涉及角色分歧	[('柯尔', '做')]	[]	绝对不能让人知道缪里是狼。
