uid	scene	sent	type	bucket	context	text	guess_speaker	guess_conf	gold_speaker	target	checked	note
1-0	1	0	action	物理	►罗伦斯还是未生出胡髭的少年时，跟着一位到访村里的旅行商人踏上了旅途。 ‖ 人们都说他的师傅是个奇怪的人。既不是直接教给罗伦斯行商的门路和技巧，也决计算不上亲切的监护者，但罗伦斯也并没有受到城镇商会的小学徒们所说的那种虐待。 ‖ 如今再回想起来，罗伦斯时常会好奇，野猫凭着一时的心血来潮养育了一只小狗的情况是否和他有些类似。再说，真要数落师傅的奇怪之处，说那是旅途生活中形成的，某种独特的人生观恐怕还更为恰当。	罗伦斯还是未生出胡髭的少年时，跟着一位到访村里的旅行商人踏上了旅途。	罗伦斯	0.55	罗伦斯			
1-1	1	1	action	物理	罗伦斯还是未生出胡髭的少年时，跟着一位到访村里的旅行商人踏上了旅途。 ‖ ►人们都说他的师傅是个奇怪的人。既不是直接教给罗伦斯行商的门路和技巧，也决计算不上亲切的监护者，但罗伦斯也并没有受到城镇商会的小学徒们所说的那种虐待。 ‖ 如今再回想起来，罗伦斯时常会好奇，野猫凭着一时的心血来潮养育了一只小狗的情况是否和他有些类似。再说，真要数落师傅的奇怪之处，说那是旅途生活中形成的，某种独特的人生观恐怕还更为恰当。 ‖ 如今罗伦斯的年纪已经与当时的师傅相去不远，时隔许久后他又踏上了旅途，望着偶然途经的城镇撒罗尼亚的秋日节庆，这些思绪忽然闪现在脑海中。	人们都说他的师傅是个奇怪的人。既不是直接教给罗伦斯行商的门路和技巧，也决计算不上亲切的监护者，但罗伦斯也并没有受到城镇商会的小学徒们所说的那种虐待。	罗伦斯	0.55	罗伦斯			
1-2	1	2	action	心理	罗伦斯还是未生出胡髭的少年时，跟着一位到访村里的旅行商人踏上了旅途。 ‖ 人们都说他的师傅是个奇怪的人。既不是直接教给罗伦斯行商的门路和技巧，也决计算不上亲切的监护者，但罗伦斯也并没有受到城镇商会的小学徒们所说的那种虐待。 ‖ ►如今再回想起来，罗伦斯时常会好奇，野猫凭着一时的心血来潮养育了一只小狗的情况是否和他有些类似。再说，真要数落师傅的奇怪之处，说那是旅途生活中形成的，某种独特的人生观恐怕还更为恰当。 ‖ 如今罗伦斯的年纪已经与当时的师傅相去不远，时隔许久后他又踏上了旅途，望着偶然途经的城镇撒罗尼亚的秋日节庆，这些思绪忽然闪现在脑海中。 ‖ 窗子框出的广场风景里可以看到人们建起了巨大的舞台，教会和城镇里有头面的人物站在上面像模像样地操办着仪式，冬日来临前最后的狂欢正在上演。	如今再回想起来，罗伦斯时常会好奇，野猫凭着一时的心血来潮养育了一只小狗的情况是否和他有些类似。再说，真要数落师傅的奇怪之处，说那是旅途生活中形成的，某种独特的人生观恐怕还更为恰当。	罗伦斯	0.55	罗伦斯			
1-3	1	3	action	心理	罗伦斯还是未生出胡髭的少年时，跟着一位到访村里的旅行商人踏上了旅途。 ‖ 人们都说他的师傅是个奇怪的人。既不是直接教给罗伦斯行商的门路和技巧，也决计算不上亲切的监护者，但罗伦斯也并没有受到城镇商会的小学徒们所说的那种虐待。 ‖ 如今再回想起来，罗伦斯时常会好奇，野猫凭着一时的心血来潮养育了一只小狗的情况是否和他有些类似。再说，真要数落师傅的奇怪之处，说那是旅途生活中形成的，某种独特的人生观恐怕还更为恰当。 ‖ ►如今罗伦斯的年纪已经与当时的师傅相去不远，时隔许久后他又踏上了旅途，望着偶然途经的城镇撒罗尼亚的秋日节庆，这些思绪忽然闪现在脑海中。 ‖ 窗子框出的广场风景里可以看到人们建起了巨大的舞台，教会和城镇里有头面的人物站在上面像模像样地操办着仪式，冬日来临前最后的狂欢正在上演。 ‖ 撒罗尼亚的秋日节庆上没有什么能当成主轴的宗教仪式，最热闹的一环似乎是人们使用当地的麦子做成蒸馏酒，然后豪饮比试一番。各式各样的参与者都报上名来想要在这活动里试一试身手，在港口装卸货物，长得五大三粗的男人们自不必说，教会里也有夸耀饮酒海量的年轻圣职者们跃跃欲试，气氛可谓自由极了。	如今罗伦斯的年纪已经与当时的师傅相去不远，时隔许久后他又踏上了旅途，望着偶然途经的城镇撒罗尼亚的秋日节庆，这些思绪忽然闪现在脑海中。	罗伦斯	0.55	罗伦斯			
1-6	1	6	action	物理	如今罗伦斯的年纪已经与当时的师傅相去不远，时隔许久后他又踏上了旅途，望着偶然途经的城镇撒罗尼亚的秋日节庆，这些思绪忽然闪现在脑海中。 ‖ 窗子框出的广场风景里可以看到人们建起了巨大的舞台，教会和城镇里有头面的人物站在上面像模像样地操办着仪式，冬日来临前最后的狂欢正在上演。 ‖ 撒罗尼亚的秋日节庆上没有什么能当成主轴的宗教仪式，最热闹的一环似乎是人们使用当地的麦子做成蒸馏酒，然后豪饮比试一番。各式各样的参与者都报上名来想要在这活动里试一试身手，在港口装卸货物，长得五大三粗的男人们自不必说，教会里也有夸耀饮酒海量的年轻圣职者们跃跃欲试，气氛可谓自由极了。 ‖ ►罗伦斯俯视着广场的模样，然后不禁苦笑起来——他看到了一位身材娇小的少女。 ‖ 今天她鲜少地把那混进麦田恐怕就要立马消失无踪的亚麻色发丝编成了三股辫。她个子不高，再加上身形小巧，很容易让人以为是什么深闺的千金小姐，然而举止仪态中却流露出莫名的魄力。 ‖ “狼来了。”	罗伦斯俯视着广场的模样，然后不禁苦笑起来——他看到了一位身材娇小的少女。	罗伦斯	0.55	罗伦斯			
1-7	1	7	action	物理	窗子框出的广场风景里可以看到人们建起了巨大的舞台，教会和城镇里有头面的人物站在上面像模像样地操办着仪式，冬日来临前最后的狂欢正在上演。 ‖ 撒罗尼亚的秋日节庆上没有什么能当成主轴的宗教仪式，最热闹的一环似乎是人们使用当地的麦子做成蒸馏酒，然后豪饮比试一番。各式各样的参与者都报上名来想要在这活动里试一试身手，在港口装卸货物，长得五大三粗的男人们自不必说，教会里也有夸耀饮酒海量的年轻圣职者们跃跃欲试，气氛可谓自由极了。 ‖ 罗伦斯俯视着广场的模样，然后不禁苦笑起来——他看到了一位身材娇小的少女。 ‖ ►今天她鲜少地把那混进麦田恐怕就要立马消失无踪的亚麻色发丝编成了三股辫。她个子不高，再加上身形小巧，很容易让人以为是什么深闺的千金小姐，然而举止仪态中却流露出莫名的魄力。 ‖ “狼来了。” ‖ 罗伦斯坐在窗边，无声地自言自语，然后发出笑声。	今天她鲜少地把那混进麦田恐怕就要立马消失无踪的亚麻色发丝编成了三股辫。她个子不高，再加上身形小巧，很容易让人以为是什么深闺的千金小姐，然而举止仪态中却流露出莫名的魄力。		0.30				
1-8	1	8	dialogue	explicit	撒罗尼亚的秋日节庆上没有什么能当成主轴的宗教仪式，最热闹的一环似乎是人们使用当地的麦子做成蒸馏酒，然后豪饮比试一番。各式各样的参与者都报上名来想要在这活动里试一试身手，在港口装卸货物，长得五大三粗的男人们自不必说，教会里也有夸耀饮酒海量的年轻圣职者们跃跃欲试，气氛可谓自由极了。 ‖ 罗伦斯俯视着广场的模样，然后不禁苦笑起来——他看到了一位身材娇小的少女。 ‖ 今天她鲜少地把那混进麦田恐怕就要立马消失无踪的亚麻色发丝编成了三股辫。她个子不高，再加上身形小巧，很容易让人以为是什么深闺的千金小姐，然而举止仪态中却流露出莫名的魄力。 ‖ ►“狼来了。” ‖ 罗伦斯坐在窗边，无声地自言自语，然后发出笑声。 ‖ 广场周围摆出了招待人们的饮食，不仅有酒，还有刚烤好的面包和灌肠之类，诚然是一副节日狂欢的模样。罗伦斯看着赫萝在人群正中心满意足地饮酒，自己心里盘算起今后的旅途计划来。	狼来了。	赫萝	0.80	罗伦斯		y	
1-9	1	9	action	物理	罗伦斯俯视着广场的模样，然后不禁苦笑起来——他看到了一位身材娇小的少女。 ‖ 今天她鲜少地把那混进麦田恐怕就要立马消失无踪的亚麻色发丝编成了三股辫。她个子不高，再加上身形小巧，很容易让人以为是什么深闺的千金小姐，然而举止仪态中却流露出莫名的魄力。 ‖ “狼来了。” ‖ ►罗伦斯坐在窗边，无声地自言自语，然后发出笑声。 ‖ 广场周围摆出了招待人们的饮食，不仅有酒，还有刚烤好的面包和灌肠之类，诚然是一副节日狂欢的模样。罗伦斯看着赫萝在人群正中心满意足地饮酒，自己心里盘算起今后的旅途计划来。 ‖ 脑海中之所以浮现出许久都未曾想起的师傅，恐怕是因为他又一次踏上旅途，拉开了旅行记忆的抽屉，抽屉深处收藏着的东西也就一并被带了出来。再或者，也许他是在向这些回忆寻求什么线索。	罗伦斯坐在窗边，无声地自言自语，然后发出笑声。	罗伦斯	0.55	罗伦斯			
1-10	1	10	action	心理	今天她鲜少地把那混进麦田恐怕就要立马消失无踪的亚麻色发丝编成了三股辫。她个子不高，再加上身形小巧，很容易让人以为是什么深闺的千金小姐，然而举止仪态中却流露出莫名的魄力。 ‖ “狼来了。” ‖ 罗伦斯坐在窗边，无声地自言自语，然后发出笑声。 ‖ ►广场周围摆出了招待人们的饮食，不仅有酒，还有刚烤好的面包和灌肠之类，诚然是一副节日狂欢的模样。罗伦斯看着赫萝在人群正中心满意足地饮酒，自己心里盘算起今后的旅途计划来。 ‖ 脑海中之所以浮现出许久都未曾想起的师傅，恐怕是因为他又一次踏上旅途，拉开了旅行记忆的抽屉，抽屉深处收藏着的东西也就一并被带了出来。再或者，也许他是在向这些回忆寻求什么线索。 ‖ 因为有些东西是罗伦斯在安排旅行计划时必须考虑一番的。	广场周围摆出了招待人们的饮食，不仅有酒，还有刚烤好的面包和灌肠之类，诚然是一副节日狂欢的模样。罗伦斯看着赫萝在人群正中心满意足地饮酒，自己心里盘算起今后的旅途计划来。	罗伦斯	0.55	罗伦斯			
1-11	1	11	action	心理	“狼来了。” ‖ 罗伦斯坐在窗边，无声地自言自语，然后发出笑声。 ‖ 广场周围摆出了招待人们的饮食，不仅有酒，还有刚烤好的面包和灌肠之类，诚然是一副节日狂欢的模样。罗伦斯看着赫萝在人群正中心满意足地饮酒，自己心里盘算起今后的旅途计划来。 ‖ ►脑海中之所以浮现出许久都未曾想起的师傅，恐怕是因为他又一次踏上旅途，拉开了旅行记忆的抽屉，抽屉深处收藏着的东西也就一并被带了出来。再或者，也许他是在向这些回忆寻求什么线索。 ‖ 因为有些东西是罗伦斯在安排旅行计划时必须考虑一番的。 ‖ 旅行的收获并非尽是快乐。很不可思议的是，即便能在繁荣的市镇过着自由自在毫不拘束的生活，这一点也不会改变。或许此刻愈加快乐，往后迎来的艰辛也就愈发难以耐受。	脑海中之所以浮现出许久都未曾想起的师傅，恐怕是因为他又一次踏上旅途，拉开了旅行记忆的抽屉，抽屉深处收藏着的东西也就一并被带了出来。再或者，也许他是在向这些回忆寻求什么线索。	赫萝	0.30	赫萝			
