uid	kind	A_only	B_only	text
1_9	涉及角色分歧	[('罗伦斯', '做')]	[]	然而，少女一来到罗伦斯身边，立刻脱下长袍甩动身体的模样，想必会让人觉得有点不对劲。
1_11	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	罗伦斯以商人身份自立门户至今，已进入第七个年头，而与他一起旅行的少女，据说是高龄好几百岁、拥有贤狼之
1_16	涉及角色分歧	[('罗伦斯', '做')]	[]	对于罗伦斯方才的挖苦话语，赫萝似乎没有要正面响应的意思。
1_18	涉及角色分歧	[('罗伦斯', '做')]	[]	火势也蔓延到了罗伦斯用短剑所削下的木屑，并顺利烧起木柴。过了没多久后，火堆便熊熊燃烧起来。
1_25	涉及角色分歧	[('赫萝', '做')]	[]	不过，比起这件事情，赫萝肯定纯粹是讨厌味道很重的盐渍鲱鱼放在货台上。货台是赫萝的休息场所，她平常不是
1_28	涉及角色分歧	[('罗伦斯', '做')]	[]	照物主给的条件，罗伦斯最多可以吃掉十尾鲱鱼。
1_30	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯今晚之所以没有这么做，是因为知道赫萝一旦吃了这样的料理，下次光是烤过的鱼就会满足不了她。
1_43	涉及角色分歧	[('赫萝', '做')]	[]	赫萝会这么询问，并不是因为她有感而发或是缺乏常识。而是因为，在一眼望去空无一物的荒野上，居然会有样东
1_44	涉及角色分歧	[('赫萝', '做')]	[]	只要看见了这样的建筑物，就算不是像赫萝这样隔了好几百年才离开村落麦田的人，也会有一样的疑问。
1_55	涉及角色分歧	[('赫萝', '做')]	[]	面对食物时，赫萝真是镇静不下来。
1_64	涉及角色分歧	[('赫萝', '做')]	[]	不过，怎么会发出叹息声呢？
1_66	涉及角色分歧	[('赫萝', '做')]	[]	虽然察觉到赫萝的视线，但罗伦斯一直注视着火堆，完全没有看向赫萝。
1_70	涉及角色分歧	[('罗伦斯', '做')]	[]	对罗伦斯来说，那是一段不大愿意与人分享的故事。
1_71	涉及角色分歧	[('罗伦斯', '做')]	[]	尤其是对赫萝。
1_72	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯如果试图隐瞒，赫萝总会更带劲地想要挖出秘密，就连这般个性的赫萝，似乎也察觉到气氛不对。
1_76	涉及角色分歧	[('赫萝', '做')]	[]	赫萝会这么说应该只是带着一些抱怨，而不是非得要听到故事不可的意思。
1_77	涉及角色分歧	[('赫萝', '做')]	[]	尽管如此，看见赫萝这般表现还是让罗伦斯有些不忍心。
1_82	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯知道赫萝会做出任性大小姐的举止只是装模作样而已，但也知道赫萝是在撒娇表示自己想听故事。
1_88	涉及角色分歧	[('罗伦斯', '做')]	[]	这把短剑保护过罗伦斯好几次，旅途中也以各种工具的身份供罗伦斯运用。
1_93	涉及角色分歧	[('赫萝', '做')]	[]	赫萝应该是说了：“上面刻了什么字？”
1_94	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯让赫萝坐在身旁，然后把短剑递给赫萝。
1_103	涉及角色分歧	[('罗伦斯', '做')]	[]	那时候的罗伦斯连想都没想过有可能与赫萝相遇。
2_0	涉及角色分歧	[('罗伦斯', '做')]	[]	迷了路后以为幸运地找到人家，却发现其实是来到恶魔的家。
2_5	涉及角色分歧	[('罗伦斯', '做')]	[]	当下之所以会觉得死神或恶魔出现了，不光是因为气氛而已。
2_6	涉及角色分歧	[('罗伦斯', '做')]	[]	因为过于节省盘缠，而只带了分量刚好的食物上路，所以昨晚已吃光最后剩下的粮食。
2_9	涉及角色分歧	[('罗伦斯', '做')]	[]	都怪自己太勤于赚钱，现在终于遭到天谴了吧。
2_15	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯是受到了箭矢攻击。
2_23	涉及角色分歧	[('罗伦斯', '做')]	[]	不同于声音给人的印象，与罗伦斯四目相交的男子，是个身材矮小的老人。
2_25	涉及角色分歧	[('罗伦斯', '做')]	[]	男子扬起嘴角说道，但罗伦斯分辨不出对方是否是在开玩笑。
2_31	涉及角色分歧	[('罗伦斯', '做')]	[]	一个守护碉堡的弓箭手，还真敢说出这样的台词。
2_34	涉及角色分歧	[('罗伦斯', '做')]	[]	弗理德的说法，像是识破罗伦斯嘲弄他模仿碉堡主人的内心想法。不过，说完话后，弗理德仰望起石碉堡，忽然放
3_16	涉及角色分歧	[('弗理德', '做')]	[]	虽然大家会说年纪大了就容易自言自语，但如果罗伦斯观察得没错，弗理德的表现应该是独居过久的人会有的特征
3_23	涉及角色分歧	[('弗理德', '做')]	[]	虽然弗理德以一城之主自居，但似乎不讨厌做木工。
3_24	涉及角色分歧	[('罗伦斯', '做')]	[]	话说回来，如果是一城之主，根本不会亲自带着武器特地来到出现在来访者面前。再说，如果一城之主走出碉堡，
3_28	涉及角色分歧	[('罗伦斯', '做')]	[]	不过，如果换成是看见来访者就射箭的老人，会是什么状况呢？
3_29	涉及角色分歧	[('罗伦斯', '做')]	[]	总觉得好像没必要把老人当成怪物之类的存在。
4_5	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯当然饿坏了。
4_10	涉及角色分歧	[('罗伦斯', '做')]	[]	如果想要展开反攻，现在正是时候。
4_27	涉及角色分歧	[('罗伦斯', '做')]	[]	原来就是因为这样，弗理德才能够在这座单独座落于不毛之地的山丘碉堡里独自生活。
4_37	涉及角色分歧	[('弗理德', '做')]	[]	虽然待在这种荒郊野外，但弗理德确实知道时代变了。
4_46	涉及角色分歧	[('斯图加特', '做')]	[]	斯图加特似乎是一只猪。
4_56	涉及角色分歧	[('弗理德', '做')]	[]	弗理德在碉堡里住了十几年。
4_57	涉及角色分歧	[('弗理德', '做')]	[]	如果没遇过一次战争，或许会有些遗憾也说不定。
5_9	涉及角色分歧	[]	[('弗理德', '做')]	虽然弗理德这么说，但罗伦斯觉得弗理德好几年来能够独力维护好这座石碉堡，根本可以算是一种奇迹。
5_23	涉及角色分歧	[('弗理德', '做')]	[]	弗理德虽然是老兵，但还是有老兵的气势。
5_42	涉及角色分歧	[('罗伦斯', '做')]	[]	可是，真的可以卖掉如此贵重的盔甲吗？
5_46	涉及角色分歧	[('罗伦斯', '做')]	[]	如果光是考虑金钱价值，或许确是如此，但从弗理德的口吻中，明显听得出这不是他的真心想法。大家曾经对着旗
5_55	涉及角色分歧	[('罗伦斯', '做')]	[]	事实上，弗理德不想卖掉盔甲。
5_56	涉及角色分歧	[('罗伦斯', '做')]	[]	可是，一整套盔甲要作为陈年回忆带着走，未免太沉重了。
5_57	涉及角色分歧	[('罗伦斯', '做')]	[]	弗理德的这般心声显而易见。
5_62	涉及角色分歧	[('罗伦斯', '做')]	[]	弗理德从食物储藏室拿来了透明葡萄酒，倒进杯中后出现薄薄一层沉淀物。与因为葡萄渣或为了掩饰味道而放入生
5_81	涉及角色分歧	[('弗理德', '做')]	[]	弗理德的话题转向了罗伦斯。
5_91	说存在性分歧	[('弗理德', '说')]	[('弗理德', '做')]	罗伦斯反问后，弗理德却说他根本没说话。
5_95	涉及角色分歧	[]	[('斯图加特', '做')]	弗理德用力拍了一下自己的额头大笑，然后丢了一块搭配料理的面包给一直虎视眈眈的斯图加特。
5_103	说/做/想角色分歧	[]	[('弗理德', '做')]	然后，弗理德在最后压低声音说：“其实我是在以为自己打倒了敌人的那一瞬间，太过兴奋而落马。”
5_105	涉及角色分歧	[('罗伦斯', '做')]	[]	弗理德落马后不仅只是晕厥过去而已，也没有被长枪刺死并被夺走身上所有东西，看来应该原本就是一位受到神明
