uid	kind	A_only	B_only	text
1_14	涉及角色分歧	[('柯尔', '做')]	[]	而周游列国修习神学的我，同样在这里一落脚就过了十余年。时光飞逝之快，实在教人感慨万千。
1_20	涉及角色分歧	[]	[('-', '做')]	狼与辛香料亭也已有几组客人入住，在露天浴池悠悠哉哉地泡上一整天。
1_25	涉及角色分歧	[('柯尔', '做')]	[]	怎么大白天就闹成这样？
1_27	涉及角色分歧	[('柯尔', '做')]	[]	浴场里到底发生什么事了？
1_34	涉及角色分歧	[('柯尔', '做')]	[]	闹成这样也太奇怪了。恐怕是其他温泉旅馆的客人也跑来了。
1_35	涉及角色分歧	[]	[('-', '做')]	他们一个样地赤身裸体，挥舞手里的啤酒杯热切欢呼。
1_38	涉及角色分歧	[('柯尔', '做')]	[]	问题是，他为什么会把骡子牵进浴场？
1_41	说存在性分歧	[('柯尔', '说')]	[('柯尔', '做')]	“……唔、这……”
1_45	涉及角色分歧	[('柯尔', '做')]	[]	一阵坏预感猛袭而来。
1_50	涉及角色分歧	[]	[('-', '做'), ('缪里', '做')]	这里的客人地位颇高，随从也有全副武装的人。想到这里再四处看看，果然发现了几个魁梧男子表情非常担忧地望
1_54	涉及角色分歧	[]	[('缪里', '做')]	而眼睛直往骡子瞧，骡子身旁的少年表情惶恐得都快哭了，最后在众人的鼓噪下自暴自弃地闭起眼，将手上棒子往
1_58	涉及角色分歧	[]	[('-', '做')]	在手中绳索牵引下，她连人带盾一下子滑过池面。速度快得夸张，漂亮得令人叫绝。观众们大声喝采，抛出手中的
1_59	说存在性分歧	[('-', '说')]	[('-', '做')]	“喔喔喔喔！”
1_61	涉及角色分歧	[]	[('-', '做')]	直到亢奋得不得了的客人们全追了过去，我才终于回神，接着又吓得全身发凉。
1_62	涉及角色分歧	[]	[('-', '做')]	立刻丢下怀里的起司，和客人一起追缪里。盾牌在石板地上磨出的痕迹指向堆满枯叶的森林，然后是一整片下坡，
1_64	涉及角色分歧	[]	[('-', '做')]	回国后都是有头有脸大人物的男人们，竟光着屁股在森林中又叫又跳。还有个宛如刚爬出坟墓，一身枯叶泥土的少
1_65	涉及角色分歧	[('缪里', '做')]	[('-', '做')]	男人们合力扛起缪里，沿着坡走了回来。
1_67	涉及角色分歧	[('柯尔', '做')]	[]	可是，她很快就不管我怎么瞪，一脸若无其事地让人们扛着走过我眼前。
1_69	涉及角色分歧	[]	[('-', '做'), ('柯尔', '做')]	才刚跟上去，“嘿咻！嘿咻！”的吆喝声突然变成重物落水声。缪里头甩出水，露出清秀的脸蛋。洗去泥土与枯叶
1_77	涉及角色分歧	[('柯尔', '做')]	[]	但那些对缪里而言不算是伤吧。
1_85	涉及角色分歧	[('柯尔', '做')]	[]	那对常客来说虽是常有的余兴节目，看在我眼里可是一点也笑不出来。别说一身泥土枯叶的人平时得先冲干净才准
1_95	涉及角色分歧	[]	[('缪里', '做')]	和小时候天真地要我夸她的表情一点都没变。
