uid	source	scene	sent	type	bucket	focalizer	context	text	guess_speaker	guess_conf	gold_speaker	target	checked	note
1_0	两匹狼的婚礼	1	0	action	物理	缪里	►小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有勇无谋到了极点，果不其然触礁了。但就在这个时候，我在神的引导下认识了堪称人生导师的人，造就今天的我。 ‖ 这段时间，我始终努力工作，也自认没有怠忽学业。 ‖ 当然，尽管还有很多缺失，我仍确切感受到自己的进步。	小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有勇无谋到了极点，果不其然触礁了。但就在这个时候，我在神的引导下认识了堪称人生导师的人，造就今天的我。	缪里	0.30	缪里			
1_3	两匹狼的婚礼	1	3	action	物理	缪里	小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有勇无谋到了极点，果不其然触礁了。但就在这个时候，我在神的引导下认识了堪称人生导师的人，造就今天的我。 ‖ 这段时间，我始终努力工作，也自认没有怠忽学业。 ‖ 当然，尽管还有很多缺失，我仍确切感受到自己的进步。 ‖ ►所以两个月前，我即使没有做好十成十的准备，也毅然决定离开温泉乡纽希拉，再度踏上远游之旅。 ‖ 虽然教会的种种问题造成社会混乱，旅程也很快就遇上风风雨雨，我仍在神的庇护下平安克服困难，人们也给了我意想不到的赞誉。最近这几天，我为愈来愈夸张的名声感到很为难，承受不起的同时，我瘦弱的肩也慢慢扛起了背负这名声的责任。 ‖ 必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。	所以两个月前，我即使没有做好十成十的准备，也毅然决定离开温泉乡纽希拉，再度踏上远游之旅。	缪里	0.30	缪里			
1_24	两匹狼的婚礼	1	24	action	心理-推测	缪里	缪里是继承了狼血的女孩，有漂亮的狼耳和狼尾，有时我会因为她的耳尖钻到鼻孔里而醒来。看着狼耳随鼻息舒服地抽动，我忍不住吞吞口水。 ‖ 不是因为可爱少女、可爱的狼耳和她疏于防备的睡姿让我胡思乱想，就只是为了在坏预感让我叫出声之前拼命忍住而已。 ‖ “不会吧。” ‖ ►被子一掀，胸膛上的缪里就冷得缩身。狼尾随后不悦地摇动，看起来比平时还蓬松，在探入窗口的朝阳下闪闪发亮。 ‖ 更正，发亮的是尾巴抖出来，到处乱飘的毛才对。 ‖ “……我的天啊。”	被子一掀，胸膛上的缪里就冷得缩身。狼尾随后不悦地摇动，看起来比平时还蓬松，在探入窗口的朝阳下闪闪发亮。	缪里	0.40	缪里	赫萝		
1_54	两匹狼的婚礼	1	54	dialogue	anaphoric	缪里	“我在想喔，如果我们捡一只一样颜色的野狗回来，是不是就不用挑啦？” ‖ “咦？这样子──” ‖ 说到一半，我也哑了。 ‖ ►“尾巴的毛不管怎么洗，在这种时候也处理不完的啦。再说我也不敢保证睡着以后耳朵尾巴不会跑出来。” ‖ 缪里虽能自由收放耳朵尾巴，然而放出来才是自然状态，因此很容易在惊吓或愤怒时自己跑出来。 ‖ 既然睡着时容易跑出来，也就是恐怕要天天这样挑，她的想法是有点参考价值。	尾巴的毛不管怎么洗，在这种时候也处理不完的啦。再说我也不敢保证睡着以后耳朵尾巴不会跑出来。	缪里	0.55	缪里			
1_58	两匹狼的婚礼	1	58	action	心理-推测	缪里	缪里虽能自由收放耳朵尾巴，然而放出来才是自然状态，因此很容易在惊吓或愤怒时自己跑出来。 ‖ 既然睡着时容易跑出来，也就是恐怕要天天这样挑，她的想法是有点参考价值。 ‖ “如果我装成一个天真无邪的小女生，抱一只野狗宝宝进来，人家也不会生气吧？” ‖ ►竟然若无其事地讲这种话，不过她厚着脸皮抱小狗演戏的样子倒还不难想像。缪里就是很擅长这种事，作哥哥的我是不太乐见就是了。她母亲贤狼赫萝也是灵活运用她的威严和可爱，将丈夫罗伦斯的缰绳抓在手里，要勒要放要甩都随她高兴。缪里多半也继承了这一点吧。 ‖ 况且从被子挑狼毛这种事真的是没完没了。 ‖ “……话说回来，会那么刚好有这种小狗吗？”	竟然若无其事地讲这种话，不过她厚着脸皮抱小狗演戏的样子倒还不难想像。缪里就是很擅长这种事，作哥哥的我是不太乐见就是了。她母亲贤狼赫萝也是灵活运用她的威严和可爱，将丈夫罗伦斯的缰绳抓在手里，要勒要放要甩都随她高兴。缪里多半也继承了这一点吧。	缪里	0.40	缪里	赫萝		
2_2	两匹狼的婚礼	2	2	dialogue	unmarked	缪里	另外，在缪里面前坐成一排的野狗们之所以毛有点乱，是因为它们也和缪里一样正在换毛吧。感觉只要找到和缪里同色的狗，还真能混得过去。 ‖ “找得到吗？” ‖ ►“嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。” ‖ 我不太懂野狗的习性，难道相近的自然会聚在一起吗。 ‖ “你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？”	嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。	缪里	0.40	缪里			
2_4	两匹狼的婚礼	2	4	dialogue	unmarked	缪里	“找得到吗？” ‖ “嗯……是不会有狗的毛跟我一样漂亮啦，不过它说有些颜色类似的狗会聚在一个地方，要帮我看一下。” ‖ 我不太懂野狗的习性，难道相近的自然会聚在一起吗。 ‖ ►“你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？” ‖ 她是指比较大的城镇都一定会有的某某人街吧。既然这样说，倒也没错。 ‖ “所以他们从故乡带来的狗，也会在那里建立地盘？”	你看，那边不是有很多船过来吗？从世界各地搭那些船搬家到这里的人，不也是同乡的人会住在一起吗？	缪里	0.40	缪里			
2_55	两匹狼的婚礼	2	55	action	心理-推测	缪里	“你看，都这么破了。好想要新的喔。” ‖ “先把你咬汤匙的坏习惯改掉再说。还是说你要换铁汤匙？” ‖ “咦～！” ‖ ►狼都很讨厌铁制品。说到一半，附近的野狗似乎是发现缪里在这，有几只围了过来。它们像是来向缪里这头狼致敬，也像是被她手上香喷喷的食物引来。 ‖ “我不分喔。” ‖ 缪里把海盗盅抱到一边去，我戳戳她的小脑袋。	狼都很讨厌铁制品。说到一半，附近的野狗似乎是发现缪里在这，有几只围了过来。它们像是来向缪里这头狼致敬，也像是被她手上香喷喷的食物引来。	缪里	0.40	缪里	赫萝		
2_4	后日谈	2	4	action	物理	赫萝	主人拥有过这样的头衔，也曾经是个手腕高超的牧羊人。 ‖ 现在的主人在颇具规模的城镇担任祭司，引导聚集在教会的羔羊。 ‖ 这世上会发生什么事情，真是难以预料。 ‖ ►或许是托主人天性认真的福，她在祭典或仪式等严肃的场合，都会散发出端庄的气质，所以大致上都应付得有模有样。 ‖ 主人不仅能忍受饥饿寒冷，还能够以了不起的手腕彻底保护羊只不受狼或狐狸攻击。不知道是不是因为如此有骨气，开始在城镇定居后，我才发现主人意外地少根筋。 ‖ 日期、数字、人名、祷告文、仪式程序……对于这些事项的概略，主人的掌握程度可说有令人惊异的表现，在一些细节上却有所疏忽。	或许是托主人天性认真的福，她在祭典或仪式等严肃的场合，都会散发出端庄的气质，所以大致上都应付得有模有样。	赫萝	0.30	赫萝			
2_8	后日谈	2	8	dialogue	unmarked	赫萝	主人不仅能忍受饥饿寒冷，还能够以了不起的手腕彻底保护羊只不受狼或狐狸攻击。不知道是不是因为如此有骨气，开始在城镇定居后，我才发现主人意外地少根筋。 ‖ 日期、数字、人名、祷告文、仪式程序……对于这些事项的概略，主人的掌握程度可说有令人惊异的表现，在一些细节上却有所疏忽。 ‖ 如果没有我陪在身旁，主人还称不上能独当一面，真是伤脑筋啊。 ‖ ►“呃……衣服、食物，啊！还要带圣经比较好吧。还有祷告书也要……咦？鞋子也要多带几双比较好吧？可是，我以前根本没穿过什么鞋子……是要穿什么鞋子才好啊……” ‖ 主人一边用手抚顺留长到背部的金发，一边对着散乱的行李拼命做准备。主人拉出当初来到这城镇时穿的衣服，但衣服显然已经不合身，真不知道主人打算怎么处理。 ‖ 我在门旁感到疲惫地叹了口气，然后趴了下来。	呃……衣服、食物，啊！还要带圣经比较好吧。还有祷告书也要……咦？鞋子也要多带几双比较好吧？可是，我以前根本没穿过什么鞋子……是要穿什么鞋子才好啊……	赫萝	0.40	赫萝			
