uid	kind	A_only	B_only	text
1_16	涉及角色分歧	[]	[('赫萝', '做')]	看起来虽是年轻的少女，但赫萝实际上顶着一对三角形的兽耳，腰间还垂着毛茸茸的尾巴，其真面目是高龄或许有
1_17	涉及角色分歧	[('赫萝', '做')]	[]	以一介温泉旅馆主人的身份，的确很难与这位曾被人类当作神明供奉的存在相竞争，然而她得意洋洋的表情却也真
1_22	涉及角色分歧	[('罗伦斯', '做')]	[]	这话虽然让赫萝高兴了一阵子，但她很快就发现罗伦斯是在搪塞自己，随即撅起嘴来。
1_28	涉及角色分歧	[('罗伦斯', '做')]	[]	抓住她的手之后，赫萝随即露出了毫无愧色的笑脸。
1_29	涉及角色分歧	[('罗伦斯', '做')]	[]	从她露出这种表情的那一刻起，自己就已经输了。
1_30	涉及角色分歧	[('赫萝', '做')]	[]	果然正如地方志上的记载啊。罗伦斯在心中笑了笑，同赫萝一起走出了旅舍的房间。
1_35	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	走进教会，他们遇到一位挽着头发，很吃力似地怀抱圣典的女司铎。
1_50	涉及角色分歧	[('艾尔莎', '做')]	[]	不过，唯独‘黎明的枢机卿’这六个子从她口中说出时，带上了少有的俏皮语气。
1_60	说话人分歧	[('罗伦斯', '说')]	[('赫萝', '说')]	“俗话说得好，没有消息就是最好的消息。再说了，这样的东西能传得到处都是，那就代表柯尔小鬼肯定又是一边
1_72	说话人分歧	[('艾尔莎', '说')]	[('罗伦斯', '说')]	“我们家虽然有三个男人，但要说谁去了远方的市镇结婚定居，确实也会感到寂寞。”
1_102	涉及角色分歧	[('罗伦斯', '做')]	[]	此时已是傍晚。赫萝的宿醉终于消解，她和罗伦斯一起坐在旅舍屋檐下的桌边，手端着酒开口说道。似乎对昨夜的
1_105	涉及角色分歧	[('罗伦斯', '做')]	[]	好容易在城里出了名，不利用一下这巨大的声誉就太可惜了。离开纽希拉时载在车上，堆得像小山一样的硫磺粉居
1_134	涉及角色分歧	[('罗伦斯', '做')]	[]	而罗伦斯作为经商之人，心中也有别的想法。
1_136	涉及角色分歧	[]	[('罗伦斯', '做')]	山里的养鱼池，对附近居民而言必然是重要的收入源头之一。要把新的鱼苗投入染病的池子里肯定需要犹豫一番，
1_137	涉及角色分歧	[('艾尔莎', '做')]	[]	罗伦斯心想着这些，忽然发现赫萝的视线聚向了某一点，就像是被那一点吸引过去一样。他也朝那里望去，原来是
1_139	涉及角色分歧	[('赫萝', '做')]	[]	赫萝的话微微带刺。那是因为只要艾尔莎出现在宴席上，跟着来的就一定有她的说教。
1_156	涉及角色分歧	[('艾尔莎', '做')]	[]	然而曾是村中支柱的养殖业无以为继之后，再要寻找其他能养活村民的手段就很困难。毕竟若是能轻松达成这一目
1_163	涉及角色分歧	[('罗伦斯', '做')]	[]	“……”
1_175	涉及角色分歧	[('艾尔莎', '做')]	[]	自己说出的这番话是否足够让罗伦斯理解，艾尔莎对此似乎没有确信。
1_194	涉及角色分歧	[]	[('罗伦斯', '做')]	高利贷应受谴责，而旅人受了一夜的留宿之恩应予主人以报答，这是圣典中也提到的内容。既然如此，那么向别人
1_202	涉及角色分歧	[('罗伦斯', '做')]	[]	难道说，诉求的村民们各个都像是在演戏，而且技艺高超到足以使观众信以为真？
1_216	涉及角色分歧	[]	[('-', '做')]	村民们像是见到圣徒一样地聚拢过来，艾尔莎不得不用手拨开他们，然后继续向前走。
1_218	涉及角色分歧	[('艾尔莎', '做')]	[]	罗伦斯搂着赫萝，跟在艾尔莎身后走进教会去。
1_224	涉及角色分歧	[('艾尔莎', '做'), ('赫萝', '做')]	[('-', '做')]	于是罗伦斯等人便继续向前走去。刚才聚集在教会门前的人，以及坐在中殿长椅上的人们也陆陆续续跟了上来。
1_227	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[('-', '做')]	家鸭一样的人群立时间被这句突然的命令止住了脚步，但又如家鸭一样，开始不满地嘈杂起来。多亏这个时候主教
1_249	涉及角色分歧	[]	[('罗伦斯', '做')]	如同罗伦斯的猜测。这位名叫苏尔特的村长，正是来自那个以鳟鱼养殖而出名的村里。
1_263	涉及角色分歧	[]	[('罗伦斯', '做')]	看来这件事经得起艾尔莎的伦理观的考核。
1_272	涉及角色分歧	[]	[('罗伦斯', '做')]	蓄有美髯的酒馆主人有时会被客人称作某某卿，苏尔特刚才提到的大概也是一种类似的俗名。在过去的旅行生活中
1_292	涉及角色分歧	[]	[('罗伦斯', '做')]	可是这样说来，还有一件事是讲不通的。
1_294	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯问完，苏尔特随即发出一声长长的叹息。
1_302	涉及角色分歧	[('罗伦斯', '做')]	[]	苏尔特用含着悲哀的眼神望着罗伦斯。
1_311	涉及角色分歧	[('罗伦斯', '做')]	[]	“……”
1_323	涉及角色分歧	[('罗伦斯', '做')]	[]	主教对罗伦斯说道。
1_339	涉及角色分歧	[('撒罗尼亚的主教', '做')]	[]	主教的乐观声音让罗伦斯的笑容开始痉挛了。
1_341	涉及角色分歧	[('赫萝', '做')]	[]	说完，苏尔特绕过桌子走来，用力握住了罗伦斯的双手，然后也对赫萝低头行礼。不过，他们两人的表现却让罗伦
1_344	涉及角色分歧	[('苏尔特', '做')]	[]	就在苏尔特手摸到门的那一刻。
1_346	涉及角色分歧	[]	[('苏尔特', '做')]	首先是身旁的赫萝哼了一声，接着，门后穿出了某种争执声。
1_347	涉及角色分歧	[('罗伦斯', '做')]	[]	苏尔特也讶异地将耳朵凑近门，接着又往罗伦斯的方向望去。
1_348	涉及角色分歧	[('苏尔特', '做')]	[]	但他似乎对争执的来由有一点了解。
1_350	涉及角色分歧	[('苏尔特', '做')]	[]	说到这里。
1_357	涉及角色分歧	[('苏尔特', '做')]	[]	首先发出声音的是苏尔特。这个瞬间，罗伦斯才意识到自己漏掉了什么。他知道了拉德恩主教领小村的成立过程，
1_358	涉及角色分歧	[('罗伦斯', '做')]	[]	唯有一点没有出现在话题中。
1_359	涉及角色分歧	[('罗伦斯', '做')]	[]	那就是，拉德恩本人的想法。
1_361	涉及角色分歧	[('拉德恩', '做')]	[]	他的声音简直如山里的熊一样。拉德恩并不是日日思索祈祷，隐士一般的老人。他尽管穿着修道僧一样的服装，但
1_365	涉及角色分歧	[('苏尔特', '做')]	[('拉德恩', '做')]	苏尔特的话音刚落，拉德恩身后便有一名少年探出脸来。
1_370	涉及角色分歧	[('罗伦斯', '做')]	[]	答案现在看来很明确了。
1_374	说话人分歧	[('-', '说')]	[('苏尔特', '说')]	“拉德恩大人请您听我说！ 我们是为了拉德恩大人还有村里，才到这里来的！”
1_383	涉及角色分歧	[('艾尔莎', '做')]	[]	她的刘海也被声音震得抖动。这种魄力，或许只属于平日里就要呵斥三小一大四个男人的母亲。
1_384	涉及角色分歧	[]	[('-', '做')]	拉德恩，苏尔特，当然还有波姆一同愣住了，其他村民也是同样。
1_392	涉及角色分歧	[('拉德恩', '做'), ('波姆', '做')]	[]	拉德恩和波姆的年纪足有祖孙一样的差距，但他们望着彼此的模样却好像朋友一般。
1_394	涉及角色分歧	[('艾尔莎', '做')]	[]	艾尔莎的喝令之下，人们如羊群般缓缓动了起来。
1_399	涉及角色分歧	[('罗伦斯', '做')]	[]	拉德恩的个性果然如罗伦斯料想般一板一眼，他抬起头来。
1_401	涉及角色分歧	[('拉德恩', '做')]	[]	然后只吐出这几个字来。
1_404	涉及角色分歧	[('波姆', '做')]	[]	这时开口的是少年波姆。
1_408	涉及角色分歧	[('波姆', '做')]	[]	波姆单刀直入地问道。
1_413	涉及角色分歧	[('罗伦斯', '做')]	[]	波姆直盯着罗伦斯看了一会儿，终于鼻子一哼，移开了视线。
1_417	涉及角色分歧	[('拉德恩', '做')]	[]	“……”
1_424	涉及角色分歧	[('拉德恩', '做'), ('波姆', '做')]	[]	波姆手握缰绳，拉德恩坐在他身后的模样想来是有些奇怪，总让人不禁要露出微笑。
1_429	涉及角色分歧	[('拉德恩', '做')]	[]	“……”
1_437	涉及角色分歧	[('波姆', '做')]	[]	但是，拉德恩却把视线转向波姆，开口说。
1_442	涉及角色分歧	[('罗伦斯', '做')]	[]	这时候，拉德恩的视线转向了罗伦斯。
1_444	涉及角色分歧	[('罗伦斯', '做')]	[]	这种朴讷的说话方式如同森林中树木的精灵一样。不过罗伦斯觉察到自己身旁真正的森林之精灵对这句话有了反应
1_449	涉及角色分歧	[('艾尔莎', '做')]	[]	艾尔莎一贯主张黑白分明，她的断定中有一种莫名的迫力。
