uid	kind	A_only	B_only	text
1_3	涉及角色分歧	[('乐师(我)', '做')]	[('佣兵宾客', '做')]	感觉上这位已经醉得不轻了，不过从口吻和大嗓门来看，应该是佣兵。
1_6	涉及角色分歧	[('乐师(我)', '做')]	[('-', '做')]	众人七嘴八舌地说着，杯子互相碰撞，发出铿！的钝重声响，接着，爱热闹的一群人一同放声吆喝。有时候忽然安
1_10	涉及角色分歧	[]	[('艾尼克', '做')]	牧羊人？我疑惑著，这都是聚集了怎样的人啊，然后确实听到了类似牧羊犬的声音。
1_12	说话人分歧	[('-', '说')]	[('诺儿菈', '说')]	“哈哈，游得很棒耶！”
1_14	涉及角色分歧	[('乐师(我)', '做')]	[]	是打杂的小伙子和酒吧的女孩吧。从其余传来的声音当中可得知，女性的人数似乎出乎意料地多。
1_17	涉及角色分歧	[('乐师(我)', '做')]	[]	好像连教会方面的人都有。虽然无法进一步知道说话的人是否为修道女，不过似乎还有另外一名男子。在这里，无
1_18	涉及角色分歧	[('乐师(我)', '做')]	[]	不，说不定就是要稍微这样才是好的，世界才会变得缤纷。
1_19	涉及角色分歧	[('乐师(我)', '做')]	[]	不过，既然女人小孩不少，看来加一点轻柔的曲子也不错。
1_24	涉及角色分歧	[]	[('-', '做')]	这些则是相当稳重的客人们。有一种仿佛时间的厚实重量才能营造出的安定感。
1_25	涉及角色分歧	[('乐师(我)', '做')]	[]	比起热闹、轻柔的曲子，他们应该比较适合沉着稳重的曲子。
1_27	涉及角色分歧	[('乐师(我)', '做')]	[]	顾了那里就无法顾全这里，在一些情况下，很有可能破坏现场的气氛。
1_29	涉及角色分歧	[('乐师(我)', '做')]	[]	他们看起来是不错的人，想必是厉害而且有胆识的人物。
1_30	涉及角色分歧	[('乐师(我)', '做')]	[('赫萝', '做')]	不过，却又有某些地方显得像是脚步还没站稳的年轻商人，以及散发出可爱又楚楚动人的气息、却露出一副调皮模
1_31	涉及角色分歧	[('乐师(我)', '做')]	[]	我在许多的婚庆场合都弹奏过乐器，但是却没有几个地方能够让我确信将有一场很棒的演出。
1_33	涉及角色分歧	[('乐师(我)', '做')]	[]	到底该怎么做才好呢？
1_36	涉及角色分歧	[]	[('赫萝', '做')]	正是那位可爱却有着莫名魄力的新娘在说话。
1_37	涉及角色分歧	[]	[('罗伦斯', '做')]	然后有另一个声音回答了她的话。
1_41	涉及角色分歧	[('乐师(我)', '做')]	[]	反正，所有人都是笨蛋。
1_42	涉及角色分歧	[('乐师(我)', '做')]	[]	幸福和笑容就是要搭配傻呼呼的脸。
1_44	涉及角色分歧	[('乐师(我)', '做')]	[]	因为他们两位的感情真的很融洽。
