uid	kind	A_only	B_only	text
1_3	涉及角色分歧	[('赫萝', '做')]	[]	这时，一块毛皮带着这句话盖上他的脸。隔着气味有如吸饱阳光的干麦秆，又像炖蜂蜜那么香甜的毛皮望着天，能
1_5	涉及角色分歧	[('罗伦斯', '做')]	[]	在毛皮底下的脸这么回答，结果被毛皮使坏地用力刷了几下。
1_11	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	“唉……”
1_55	涉及角色分歧	[('罗伦斯', '做')]	[]	竟然还装傻。
1_57	涉及角色分歧	[('罗伦斯', '做')]	[]	虽然无奈却无法忽视，是因为赫萝一半是开玩笑，但仍有一半是真心。待在斯威奈尔参加庆典这几天，他们遇到了
1_62	涉及角色分歧	[('赫萝', '做')]	[]	若要挑个问题，就是那个人的外表是个年轻女孩。而女孩是狼的化身，似乎也让赫萝有点不太高兴。
1_63	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	然而罗伦斯已经说好雇用这个女孩──瑟莉姆了，赫萝也不能随便赶人。不然她会无家可归，又被迫与她从南方迢
1_65	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	这种话罗伦斯说了好几次，可赫萝就是无法由衷接受。
1_67	涉及角色分歧	[('赫萝', '做')]	[]	赫萝说是这么说，但罗伦斯知道多少还是有那么点关系。这让他很想藉这个机会，阔论自己对赫萝的爱是多么坚贞
1_68	涉及角色分歧	[('罗伦斯', '做')]	[]	因此，那与道理无关，是情绪的问题。
1_70	涉及角色分歧	[('罗伦斯', '做')]	[]	因为贤狼赫萝只会在他面前表现出滑稽的样子。
1_73	涉及角色分歧	[('罗伦斯', '做')]	[]	要是在这时节惹赫萝生气，就得在寒夜里一个人睡了。
1_78	涉及角色分歧	[('罗伦斯', '做')]	[]	赫萝难得地含糊嘟哝后，抓起风衣兜帽重新盖好头。觉得奇怪时，远方依稀传来婴儿哭声似的声响。
1_80	涉及角色分歧	[('赫萝', '做')]	[]	赫萝不高兴，或许是因为老早就发现他们的存在也说不定。
2_0	涉及角色分歧	[]	[('霍拉多', '做')]	喀啷喀啷。牧羊人系在手杖顶端的铃摇出略显沉钝的声响。他们就是以这样的杖为身份证，在城外养羊。
2_5	涉及角色分歧	[('罗伦斯', '做')]	[]	因为那实在很稀奇。
2_11	涉及角色分歧	[('霍拉多的牧羊犬', '做')]	[]	牧羊犬有着红褐色长毛，扛在肩上还以为是霍拉多的头发。
2_18	涉及角色分歧	[('罗伦斯', '做')]	[]	斯威奈尔离这有点距离，恐怕无法在日落前赶到。若不想在这季节野宿，就该继续北行，在路上找间旅舍过夜才妥
2_20	涉及角色分歧	[('罗伦斯', '做')]	[]	大概是期盼能遇上顺路的人吧。
2_21	涉及角色分歧	[('霍拉多的牧羊犬', '做')]	[]	霍拉多显得很失望，肩上的牧羊犬差点滑下来。
2_24	涉及角色分歧	[('罗伦斯', '做')]	[]	不过霍拉多没那种感觉，罗伦斯也是第一次见到扛着牧羊犬走的牧羊人。
2_28	涉及角色分歧	[('罗伦斯', '做')]	[]	他过去也是居无定所，四海为家的旅行商人。要是在那种时候，堪称唯一聊天对象的拉车马受了伤，心里会作何感
2_32	涉及角色分歧	[('赫萝', '做')]	[]	对话她应该全听见了，也能从罗伦斯的语气听出他的意思。
2_34	涉及角色分歧	[('罗伦斯', '做')]	[]	怎能见死不救呢。
2_38	涉及角色分歧	[('罗伦斯', '做')]	[]	赫萝的意思，是到时候她想喝从斯威奈尔采买的蒸馏酒。
2_40	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	“哼。”
2_41	涉及角色分歧	[('罗伦斯', '做')]	[]	从音调听来，是成交了。
2_50	涉及角色分歧	[('霍拉多', '做')]	[]	不需要这么客气。才想这么说，霍拉多先开口了。
2_53	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯不禁自呓似的反问。
2_54	涉及角色分歧	[('罗伦斯', '做')]	[]	难道他要在这段时间自己扛着伙伴跑到镇上吗？
2_59	涉及角色分歧	[('罗伦斯', '做')]	[]	无论牧羊人技术再怎么好，带这么大群的羊进森林肯定不会平安无事。不如就替它看个羊，这样或许还来得及在日
2_72	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯问：
2_75	涉及角色分歧	[('罗伦斯', '做')]	[]	感觉上，无论日子过得多么辛苦，他都会用这样的表情目送夕阳。
2_79	涉及角色分歧	[('罗伦斯', '做')]	[]	一点也没错。
2_91	涉及角色分歧	[]	[('霍拉多', '做'), ('霍拉多的牧羊犬', '做')]	咩咩叫的羊群一见管束他们的霍拉多和其伙伴离开，立刻像铁箍松了的酒桶，开始分散。
2_99	涉及角色分歧	[('罗伦斯', '做')]	[]	那是走路只看着脚边，真心希望神会保佑他捡到几个零钱的时期。他不敢相信眼前就是颗巨大的宝石，没胆伸手拿
2_100	涉及角色分歧	[('罗伦斯', '做')]	[]	不过，现在就能大方说出口了。
2_110	涉及角色分歧	[('罗伦斯', '做')]	[]	其实赫萝在这几年也变了不少呢。
3_14	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯看不过去而出声慰问，结果连他也被瞪了一眼。
3_15	涉及角色分歧	[('罗伦斯', '做')]	[]	若问她要不要帮忙，就得为伤害她自尊付出代价了吧。
3_30	涉及角色分歧	[('罗伦斯', '做')]	[]	果然瞪着眼睛说话，它们就会听。在斯威奈尔的庆典上，罗伦斯也是靠赫萝的这种力量才夺下冠军。或许就是因为
3_31	涉及角色分歧	[('罗伦斯', '做')]	[]	而且，她的样子真的很不对劲。
