uid	buckets	involves(两臂一致)	verdict(ok/改:involves)	note	text
1_33	互换	诺儿菈:说:high			“那个，对了，有什么事吗？如果是要问公会的守护圣人祭典的准备进度，波滋先生已经帮我接了这个工作……”
2_20	群戏	艾尼克:做:high;诺儿菈:做:high;-:做:low			我没理会在房间里跑来跑去、宛若化作一阵暴风雨的主人，慢吞吞地从散发出主人味道的围裙底下爬了出来。这时，有人敲打圣堂大门的声音传进耳中。
3_14	焦点低	诺儿菈:做:low			虽然主人也长高了许多，但那个叫什么艾普的女子，还是足足高出主人一颗拳头。而且，除了身高之外，似乎还有别的因素让主人显得有些畏缩。这五年来主人身上多少长了一些肉，但与眼前这名如狼般的女子相比，有些部位还是看得出明显差距。
4_9	焦点低	艾尼克:做:low			然而，身为人类的主人只能够在人类社会生活下去。而就是身为狗的我，也痛切感受到要在人类世界生存有多么困难。
4_21	互换	艾普:说:high			“毕竟很少看见城镇里的祭司外出旅行。”
4_22	群戏	艾普:做:high;-:做:low			艾普写到最后，将笔用力一挥，并大致确认过文章内容后，从敞开的木窗把信纸往外丢。这时，在窗外走动的人一副待命已久的模样接过信纸，并将其折好后放入信封，然后朝向与我们相反的方向骑马而去。
4_28	多引号	艾尼克:做:high			我暗暗思忖道：“说句话反驳她吧。”
5_18	多引号|互换	诺儿菈:说:high;诺儿菈:做:med			主人露出微笑点了点头，然后改口说：“艾普小姐。”
5_25	互换	艾普:说:high			“你就是胆小的羊啊？”
5_40	焦点低	艾尼克:做:low			虽然主人会说是因为已经决定为神奉献，或一些其他的理由，但我知道根本不是这么回事。
6_2	焦点低	艾尼克:做:low			虽然没有太多对话，但也不觉得气氛尴尬，我也能够尽情地躺在主人的膝盖上睡觉。
6_8	互换	诺儿菈:说:high			“药、石？”
6_20	群戏	-:做:med			驾驶走下了驾座，在马车外向某人确认名字。
6_21	群戏	-:做:med			驾驶似乎很顺利地完成了核对名字的动作，跟着传来用木头轻轻敲打马车门的声音。
6_23	群戏	艾普:做:med;-:做:high			艾普随口回应后，驾驶恭敬地打开车门。
7_4	焦点低	艾尼克:做:low			就连我也大概猜得出大家会在意的原因。
7_17	互换	诺儿菈:说:high			“我同意这个说法。”
7_30	多引号	狄安娜:做:high;诺儿菈:做:high			狄安娜看起来并不惊讶，并且一副仿佛在说“这也难怪吧”似的模样轻轻笑笑。然后，狄安娜把视线移向主人，主人露出苦笑说：
7_63	群戏	艾普:做:high;诺儿菈:做:high;狄安娜:做:high			两人接连说完后，三人发出如微波般的阵阵笑声。
7_64	互换	狄安娜:说:low			“不过，那毫无防备的表现正是其可爱之处，这才是他最令人头痛的地方吧。”
7_66	群戏	艾普:做:high;诺儿菈:做:high;狄安娜:做:high			艾普一边露出受不了的笑容，一边说道。另外的两人果然也咯咯笑个不停。
7_68	焦点低	艾尼克:做:low			话虽这么说，我也大致赞同三人的看法，那对恋人可说完全没有辩解的余地。
8_23	互换	诺儿菈:说:high			“啊……”
8_24	多引号|群戏	诺儿菈:说:high;狄安娜:做:high;诺儿菈:做:med			面对露出微笑的狄安娜，主人松了口气地回以笑容后，改口说：“是啊。”
8_38	焦点低	艾尼克:做:low			不过，对于主人的答案，连我也感到有些意外。
8_49	群戏	诺儿菈:做:high;艾尼克:做:low;狄安娜:做:low			然而，主人一副完全没听见似的模样，只是呆呆地注视着天花板。我并非对主人抱有疑心，但没听到答案，还是忍不住心神不定。我再次看见了狄安娜显得坏心眼的眼神。
8_60	焦点低	艾尼克:做:low			比起狄安娜，我更加惊讶。
8_69	互换	狄安娜:说:high			“这样的意思。”
