uid	kind	A_only	B_only	text
1_11	涉及角色分歧	[]	[('-', '做')]	因为这“沙，沙，沙”的音律听起来感觉真好。
1_19	涉及角色分歧	[]	[('赫萝', '做')]	但是，这就是人类的智慧所在。
1_23	涉及角色分歧	[('赫萝', '做')]	[('-', '做')]	当然，就像人类无法像鱼一样在泥水中拥有良好的视线一样，他们在这个池子中能看到我的情况也少之又少。不过
1_24	涉及角色分歧	[]	[('-', '做')]	不知不觉村外来的人越来越多了。
1_29	涉及角色分歧	[]	[('赫萝', '做')]	在这个就连小孩都能露出头顶的金色的池子中，竟然相信会有如此巨大的狼存在，人类的胆子也太小了吧。不过他
1_40	涉及角色分歧	[]	[('-', '做')]	“嚓嚓嚓嚓”
1_41	涉及角色分歧	[]	[('-', '做')]	听着这样紧凑的收割声，眺望着池中为了耕作而手忙脚乱的人们。
1_42	涉及角色分歧	[]	[('-', '做')]	那在最后仅剩的麦穗间颤抖的兔子，也终于决定要跳出去了吧。它拉下长长的耳朵，将身子缩起，小心翼翼地关注
1_43	涉及角色分歧	[]	[('-', '做')]	在我决定要扑出的那一刻，它把泥土踢到了我脸上。这是在生气么？世界上居然还有这种事，这下子又多少长了一
1_52	涉及角色分歧	[]	[('-', '做')]	“嚓”
1_55	涉及角色分歧	[('赫萝', '做')]	[]	就好像身上有一处毛发被削掉脱落而显得格外难看一样，这残留的水洼实在是不像样子。
1_73	涉及角色分歧	[('-', '做')]	[]	而现在，兔子的大腿肉，还有孩子的笑容迎面而来。已经多年没受食物款待了，尾巴啪啪得发出很响亮的声音。
1_81	涉及角色分歧	[]	[('-', '做')]	可是，哪里都找不到肉。
1_89	涉及角色分歧	[]	[('-', '做')]	我经过了许多地方才漂泊至此地，无论何处人们都会进行这样的仪式。
1_100	涉及角色分歧	[]	[('-', '做')]	仪式结束，宴会后的打扫工作也开始了。
1_107	涉及角色分歧	[('赫萝', '做')]	[]	一直都是如此，这样的日子将来也会一直持续下去吧。
