uid	kind	A_only	B_only	text
1_22	涉及角色分歧	[('罗伦斯', '做')]	[]	这话虽然让赫萝高兴了一阵子，但她很快就发现罗伦斯是在搪塞自己，随即撅起嘴来。
1_60	说话人分歧	[('罗伦斯', '说')]	[('赫萝', '说')]	“俗话说得好，没有消息就是最好的消息。再说了，这样的东西能传得到处都是，那就代表柯尔小鬼肯定又是一边
1_69	涉及角色分歧	[]	[('罗伦斯', '做')]	其一是担心他们是不是在旅途中遭遇了什么困难。
1_70	涉及角色分歧	[]	[('罗伦斯', '做')]	其二，是担心他们没有血缘的兄妹关系，是否发生了什么巨大的转变。
1_139	涉及角色分歧	[('赫萝', '做')]	[]	赫萝的话微微带刺。那是因为只要艾尔莎出现在宴席上，跟着来的就一定有她的说教。
1_156	涉及角色分歧	[('艾尔莎', '做')]	[]	然而曾是村中支柱的养殖业无以为继之后，再要寻找其他能养活村民的手段就很困难。毕竟若是能轻松达成这一目
1_163	说存在性分歧	[('罗伦斯', '做')]	[('罗伦斯', '说')]	“……”
1_175	涉及角色分歧	[('艾尔莎', '做')]	[]	自己说出的这番话是否足够让罗伦斯理解，艾尔莎对此似乎没有确信。
1_194	涉及角色分歧	[]	[('罗伦斯', '做')]	高利贷应受谴责，而旅人受了一夜的留宿之恩应予主人以报答，这是圣典中也提到的内容。既然如此，那么向别人
1_202	涉及角色分歧	[('罗伦斯', '做')]	[]	难道说，诉求的村民们各个都像是在演戏，而且技艺高超到足以使观众信以为真？
1_216	涉及角色分歧	[]	[('-', '做')]	村民们像是见到圣徒一样地聚拢过来，艾尔莎不得不用手拨开他们，然后继续向前走。
1_219	涉及角色分歧	[]	[('-', '做')]	走进中殿，首先看到的就是坐在两旁长椅上的男人们。每个人的神情姿态都各不相同，这并不是比喻——有人称量
1_221	涉及角色分歧	[]	[('艾尔莎', '做')]	被艾尔莎叱责之后，这个长得也如山羊般的男人慌忙牵着三头羊走了出去。
1_224	涉及角色分歧	[('艾尔莎', '做'), ('赫萝', '做')]	[('-', '做')]	于是罗伦斯等人便继续向前走去。刚才聚集在教会门前的人，以及坐在中殿长椅上的人们也陆陆续续跟了上来。
1_227	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[('-', '做')]	家鸭一样的人群立时间被这句突然的命令止住了脚步，但又如家鸭一样，开始不满地嘈杂起来。多亏这个时候主教
1_241	说话人分歧	[('苏尔特', '说')]	[('罗伦斯', '说')]	“喔喔，原来如此，幸会，幸会。”
1_251	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯最初以为村民们是因为养殖业无以为继，村中的生活面临困难，所以才需要借钱，但情况好像并非如此。中
1_252	涉及角色分歧	[('罗伦斯', '做')]	[]	这群并非生活窘迫的村民们究竟是希望借钱来做什么，教会又为何希望予以援助呢？
1_302	涉及角色分歧	[('罗伦斯', '做')]	[]	苏尔特用含着悲哀的眼神望着罗伦斯。
1_311	说存在性分歧	[('罗伦斯', '做')]	[('罗伦斯', '说')]	“……”
1_323	涉及角色分歧	[('罗伦斯', '做')]	[]	主教对罗伦斯说道。
1_337	涉及角色分歧	[('罗伦斯', '做')]	[]	这种时候商人能采取的方法有好几种，但罗伦斯想必还要为此动一番脑筋。
1_341	涉及角色分歧	[('赫萝', '做')]	[]	说完，苏尔特绕过桌子走来，用力握住了罗伦斯的双手，然后也对赫萝低头行礼。不过，他们两人的表现却让罗伦
1_342	涉及角色分歧	[('罗伦斯', '做')]	[]	不是关于借款方式方面的担心。问题不在这些技术层面上，而是更根本的……。
1_345	说存在性分歧	[('赫萝', '做')]	[('赫萝', '说')]	“唔？”
1_347	涉及角色分歧	[('罗伦斯', '做')]	[]	苏尔特也讶异地将耳朵凑近门，接着又往罗伦斯的方向望去。
1_348	涉及角色分歧	[('苏尔特', '做')]	[]	但他似乎对争执的来由有一点了解。
1_350	涉及角色分歧	[('苏尔特', '做')]	[]	说到这里。
1_358	涉及角色分歧	[('罗伦斯', '做')]	[]	唯有一点没有出现在话题中。
1_359	涉及角色分歧	[('罗伦斯', '做')]	[]	那就是，拉德恩本人的想法。
1_363	涉及角色分歧	[]	[('-', '做')]	此时，拉德恩带着一副仿佛愤怒，又仿佛悲伤的复杂表情，正要甩开试图拦住他的村民们。
1_370	涉及角色分歧	[('罗伦斯', '做')]	[]	答案现在看来很明确了。
1_374	说话人分歧	[('-', '说')]	[('苏尔特', '说')]	“拉德恩大人请您听我说！ 我们是为了拉德恩大人还有村里，才到这里来的！”
1_376	涉及角色分歧	[('波姆', '做')]	[]	苏尔特几乎像是要哭出来，他的孙子波姆似乎是违背了苏尔特等人的意思，把拉德恩带到了撒罗尼亚，并且现在依
1_384	涉及角色分歧	[]	[('-', '做')]	拉德恩，苏尔特，当然还有波姆一同愣住了，其他村民也是同样。
1_399	涉及角色分歧	[('罗伦斯', '做')]	[]	拉德恩的个性果然如罗伦斯料想般一板一眼，他抬起头来。
1_406	说存在性分歧	[('波姆', '做')]	[('波姆', '说')]	赫萝第一眼似乎就看上了这个天不怕地不怕的波姆。他一副生气的模样质问艾尔莎“我没有酒吗？”的模样，引得
1_413	涉及角色分歧	[('罗伦斯', '做')]	[]	波姆直盯着罗伦斯看了一会儿，终于鼻子一哼，移开了视线。
1_416	说话人分歧	[('罗伦斯', '说')]	[('拉德恩', '说')]	“借钱这件事，不是全村人的一致意见吗？”
1_417	说存在性分歧	[('拉德恩', '做')]	[('罗伦斯', '说')]	“……”
1_424	涉及角色分歧	[('拉德恩', '做'), ('波姆', '做')]	[]	波姆手握缰绳，拉德恩坐在他身后的模样想来是有些奇怪，总让人不禁要露出微笑。
1_429	说存在性分歧	[('拉德恩', '做')]	[('拉德恩', '说')]	“……”
1_436	涉及角色分歧	[('赫萝', '做')]	[]	鞣制皮革肯定会带来水污染。罗伦斯之所以悄悄看了一眼赫萝，是因为他也认为或许可以去调查一下，查证是否的
1_437	涉及角色分歧	[('波姆', '做')]	[]	但是，拉德恩却把视线转向波姆，开口说。
1_442	涉及角色分歧	[('罗伦斯', '做')]	[]	这时候，拉德恩的视线转向了罗伦斯。
1_455	涉及角色分歧	[('拉德恩', '做')]	[]	看起来，拉德恩似乎是解决问题只靠力气的人，但他的谈吐却果真如圣职者一样。
1_457	涉及角色分歧	[('波姆', '做')]	[]	艾尔莎的话让拉德恩睁大眼睛，逃避似的将视线转向波姆。
1_467	说话人分歧	[('罗伦斯', '说')]	[('拉德恩', '说')]	“呃，你记得吗，以前我说过，有个地方的贵族会把柠檬和蜂蜜浇在冰上吃的事情。那个一年到头都是灼热夏季的
1_468	说话人分歧	[('拉德恩', '说')]	[('罗伦斯', '说')]	“哈哈。确有此事，那是一种传说中的名点。”
1_473	涉及角色分歧	[('罗伦斯', '做')]	[]	如此的远方之地，就连罗伦斯也只是听说过名字而已。
1_480	涉及角色分歧	[('拉德恩', '做')]	[]	划桨手是一种重劳动，甚至也被用作刑罚。拉德恩的体型也许就是那个时期锤炼出来的。
1_484	涉及角色分歧	[('拉德恩', '做')]	[]	拉德恩自己经历过村子土崩瓦解的记忆，或许因此就格外不忍心抛下别人。
1_494	涉及角色分歧	[('拉德恩', '做')]	[]	面包和鱼本是友邻之爱的比喻，拉德恩却依照字面实践了这个故事。
1_497	涉及角色分歧	[('波姆', '做')]	[]	罗伦斯只能摇头回答波姆。
1_511	涉及角色分歧	[('罗伦斯', '做')]	[]	拉德恩露出一种疲累的笑容，回答了罗伦斯有些开玩笑似的假设。
