uid	kind	A_only	B_only	text
1_16	涉及角色分歧	[('赫萝', '做')]	[]	看起来虽是年轻的少女，但赫萝实际上顶着一对三角形的兽耳，腰间还垂着毛茸茸的尾巴，其真面目是高龄或许有
1_17	涉及角色分歧	[]	[('赫萝', '做')]	以一介温泉旅馆主人的身份，的确很难与这位曾被人类当作神明供奉的存在相竞争，然而她得意洋洋的表情却也真
1_28	涉及角色分歧	[]	[('罗伦斯', '做')]	抓住她的手之后，赫萝随即露出了毫无愧色的笑脸。
1_29	涉及角色分歧	[]	[('罗伦斯', '做')]	从她露出这种表情的那一刻起，自己就已经输了。
1_30	涉及角色分歧	[]	[('赫萝', '做')]	果然正如地方志上的记载啊。罗伦斯在心中笑了笑，同赫萝一起走出了旅舍的房间。
1_35	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	走进教会，他们遇到一位挽着头发，很吃力似地怀抱圣典的女司铎。
1_50	涉及角色分歧	[]	[('艾尔莎', '做')]	不过，唯独‘黎明的枢机卿’这六个子从她口中说出时，带上了少有的俏皮语气。
1_69	涉及角色分歧	[]	[('罗伦斯', '做')]	其一是担心他们是不是在旅途中遭遇了什么困难。
1_70	涉及角色分歧	[]	[('罗伦斯', '做')]	其二，是担心他们没有血缘的兄妹关系，是否发生了什么巨大的转变。
1_72	说话人分歧	[('罗伦斯', '说')]	[('艾尔莎', '说')]	“我们家虽然有三个男人，但要说谁去了远方的市镇结婚定居，确实也会感到寂寞。”
1_102	涉及角色分歧	[]	[('罗伦斯', '做')]	此时已是傍晚。赫萝的宿醉终于消解，她和罗伦斯一起坐在旅舍屋檐下的桌边，手端着酒开口说道。似乎对昨夜的
1_105	涉及角色分歧	[]	[('罗伦斯', '做')]	好容易在城里出了名，不利用一下这巨大的声誉就太可惜了。离开纽希拉时载在车上，堆得像小山一样的硫磺粉居
1_134	涉及角色分歧	[]	[('罗伦斯', '做')]	而罗伦斯作为经商之人，心中也有别的想法。
1_136	涉及角色分歧	[('罗伦斯', '做')]	[]	山里的养鱼池，对附近居民而言必然是重要的收入源头之一。要把新的鱼苗投入染病的池子里肯定需要犹豫一番，
1_137	涉及角色分歧	[]	[('艾尔莎', '做')]	罗伦斯心想着这些，忽然发现赫萝的视线聚向了某一点，就像是被那一点吸引过去一样。他也朝那里望去，原来是
1_163	说存在性分歧	[]	[('罗伦斯', '说')]	“……”
1_218	涉及角色分歧	[]	[('艾尔莎', '做')]	罗伦斯搂着赫萝，跟在艾尔莎身后走进教会去。
1_219	涉及角色分歧	[]	[('-', '做')]	走进中殿，首先看到的就是坐在两旁长椅上的男人们。每个人的神情姿态都各不相同，这并不是比喻——有人称量
1_221	涉及角色分歧	[]	[('艾尔莎', '做')]	被艾尔莎叱责之后，这个长得也如山羊般的男人慌忙牵着三头羊走了出去。
1_241	说话人分歧	[('苏尔特', '说')]	[('罗伦斯', '说')]	“喔喔，原来如此，幸会，幸会。”
1_249	涉及角色分歧	[('罗伦斯', '做')]	[]	如同罗伦斯的猜测。这位名叫苏尔特的村长，正是来自那个以鳟鱼养殖而出名的村里。
1_251	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯最初以为村民们是因为养殖业无以为继，村中的生活面临困难，所以才需要借钱，但情况好像并非如此。中
1_252	涉及角色分歧	[('罗伦斯', '做')]	[]	这群并非生活窘迫的村民们究竟是希望借钱来做什么，教会又为何希望予以援助呢？
1_263	涉及角色分歧	[('罗伦斯', '做')]	[]	看来这件事经得起艾尔莎的伦理观的考核。
1_272	涉及角色分歧	[('罗伦斯', '做')]	[]	蓄有美髯的酒馆主人有时会被客人称作某某卿，苏尔特刚才提到的大概也是一种类似的俗名。在过去的旅行生活中
1_292	涉及角色分歧	[('罗伦斯', '做')]	[]	可是这样说来，还有一件事是讲不通的。
1_294	涉及角色分歧	[]	[('罗伦斯', '做')]	罗伦斯问完，苏尔特随即发出一声长长的叹息。
1_311	说存在性分歧	[]	[('罗伦斯', '说')]	“……”
1_337	涉及角色分歧	[('罗伦斯', '做')]	[]	这种时候商人能采取的方法有好几种，但罗伦斯想必还要为此动一番脑筋。
1_339	涉及角色分歧	[]	[('撒罗尼亚的主教', '做')]	主教的乐观声音让罗伦斯的笑容开始痉挛了。
1_342	涉及角色分歧	[('罗伦斯', '做')]	[]	不是关于借款方式方面的担心。问题不在这些技术层面上，而是更根本的……。
1_344	涉及角色分歧	[]	[('苏尔特', '做')]	就在苏尔特手摸到门的那一刻。
1_345	说存在性分歧	[('赫萝', '做')]	[('赫萝', '说')]	“唔？”
1_346	涉及角色分歧	[('苏尔特', '做')]	[]	首先是身旁的赫萝哼了一声，接着，门后穿出了某种争执声。
1_357	涉及角色分歧	[]	[('苏尔特', '做')]	首先发出声音的是苏尔特。这个瞬间，罗伦斯才意识到自己漏掉了什么。他知道了拉德恩主教领小村的成立过程，
1_361	涉及角色分歧	[]	[('拉德恩', '做')]	他的声音简直如山里的熊一样。拉德恩并不是日日思索祈祷，隐士一般的老人。他尽管穿着修道僧一样的服装，但
1_363	涉及角色分歧	[]	[('-', '做')]	此时，拉德恩带着一副仿佛愤怒，又仿佛悲伤的复杂表情，正要甩开试图拦住他的村民们。
1_365	涉及角色分歧	[('拉德恩', '做')]	[('苏尔特', '做')]	苏尔特的话音刚落，拉德恩身后便有一名少年探出脸来。
1_376	涉及角色分歧	[('波姆', '做')]	[]	苏尔特几乎像是要哭出来，他的孙子波姆似乎是违背了苏尔特等人的意思，把拉德恩带到了撒罗尼亚，并且现在依
1_383	涉及角色分歧	[]	[('艾尔莎', '做')]	她的刘海也被声音震得抖动。这种魄力，或许只属于平日里就要呵斥三小一大四个男人的母亲。
1_392	涉及角色分歧	[]	[('拉德恩', '做'), ('波姆', '做')]	拉德恩和波姆的年纪足有祖孙一样的差距，但他们望着彼此的模样却好像朋友一般。
1_394	涉及角色分歧	[]	[('艾尔莎', '做')]	艾尔莎的喝令之下，人们如羊群般缓缓动了起来。
1_401	涉及角色分歧	[]	[('拉德恩', '做')]	然后只吐出这几个字来。
1_404	涉及角色分歧	[]	[('波姆', '做')]	这时开口的是少年波姆。
1_406	说存在性分歧	[('波姆', '做')]	[('波姆', '说')]	赫萝第一眼似乎就看上了这个天不怕地不怕的波姆。他一副生气的模样质问艾尔莎“我没有酒吗？”的模样，引得
1_408	涉及角色分歧	[]	[('波姆', '做')]	波姆单刀直入地问道。
1_416	说话人分歧	[('罗伦斯', '说')]	[('拉德恩', '说')]	“借钱这件事，不是全村人的一致意见吗？”
1_417	说存在性分歧	[]	[('罗伦斯', '说')]	“……”
1_429	说存在性分歧	[]	[('拉德恩', '说')]	“……”
1_436	涉及角色分歧	[('赫萝', '做')]	[]	鞣制皮革肯定会带来水污染。罗伦斯之所以悄悄看了一眼赫萝，是因为他也认为或许可以去调查一下，查证是否的
1_444	涉及角色分歧	[]	[('罗伦斯', '做')]	这种朴讷的说话方式如同森林中树木的精灵一样。不过罗伦斯觉察到自己身旁真正的森林之精灵对这句话有了反应
1_449	涉及角色分歧	[]	[('艾尔莎', '做')]	艾尔莎一贯主张黑白分明，她的断定中有一种莫名的迫力。
1_467	说话人分歧	[('罗伦斯', '说')]	[('拉德恩', '说')]	“呃，你记得吗，以前我说过，有个地方的贵族会把柠檬和蜂蜜浇在冰上吃的事情。那个一年到头都是灼热夏季的
1_468	说话人分歧	[('拉德恩', '说')]	[('罗伦斯', '说')]	“哈哈。确有此事，那是一种传说中的名点。”
1_499	说存在性分歧	[('波姆', '做')]	[('波姆', '说')]	“啊……”
1_502	涉及角色分歧	[]	[('拉德恩', '做')]	波姆发现拉德恩在看他，便害羞地扭起嘴唇。
1_508	涉及角色分歧	[]	[('拉德恩', '做')]	拉德恩的声音虽然年迈，却很有力量。现在这声音里又多了一重岁月将尽的悲凉感。
1_519	涉及角色分歧	[]	[('艾尔莎', '做')]	送别罗伦斯等人时她说的这句话，也含着相当的真实感。
1_529	涉及角色分歧	[]	[('艾尔莎', '做')]	等到艾尔莎彻底离开，今天一天的事件算是彻底落幕后，罗伦斯才终于将视线转向身旁的赫萝。
1_531	涉及角色分歧	[]	[('赫萝', '做')]	昨夜，借着为祭典选定用酒的机会，赫萝痛饮了一番小麦制成的蒸馏酒，醉得一塌糊涂，当然第二天早上也就没能
1_537	涉及角色分歧	[]	[('罗伦斯', '做')]	这里是农产品齐聚一处的秋季大市集，不仅城里酒窖会酿造麦酒，似乎还有远方的手艺人会带着引以为豪的大锅和
