行号	篇	上文	本句	下文	候选角色(标出真正在“做”的;纯写景填 无)	正确涉及
B01	狼与宝石之海	“在纽希拉……啊，你是说贵族的更替吗？”	赫萝说的是来到纽希拉的那些被儿子拖来的老年贵族们。	可是，一旦明白了这些人也为自己的所在而感到恐惧，他便在心中有了几分同情。	无，叙述
B02	两匹狼的婚礼	接着抬起头看看我，拼命绷紧嘴角走来。	来到祭坛前，手按胸口向教会徽记行礼，然后站到我的左前方。艾尔娣将站在右前方。	“各位来宾请起立。”	梅尔库里欧
B03	狼与尾巴的圆舞	每个人脸上都充满惊喜，不管是主教还是艾莉莎都被他们扛在肩上，赞颂神的伟大。	如此欢腾中，就只有赫萝一个静静待在一边。	不过她不是因为孤单而开心不起来，就只是一只被狐狸捉弄而懵了的狼。	赫萝
B04	狼与尾巴的圆舞	“啊，罗伦斯先生，快跟我来！”	“咦？”	人们似乎太热情，艾莉莎扎紧的头发都散了，只见她脸颊泛红，手里握着一叠字据。	罗伦斯但是应该是对话
B05	两匹狼的婚礼	被体重说不定有两、三倍的少女逼这么近，缪里也丝毫没有退却。她直觉很灵，应该是看出新娘没恶意吧。	不过这么一来，新娘的态度就很难懂了。婚礼当前，怎么闯入客人的房间，还问人靠不靠得住呢？	“不好意思。”	无，叙述
B06	两匹狼的婚礼	但我还是有那么点觉得这样才像她，比较安心。	盘起头发，耳垂别上美丽宝石的缪里，宛如一离开视线就会消失不见的妖精般，让人有点感伤。	用父亲不舍女儿出嫁的心情来形容，有点对不起罗伦斯，改成哥哥不舍妹妹出嫁的心情就行了吧。	柯尔
B07	狼与宝石之海	“……实际从口中说出来，才发现真是廉价得很呐。”	罗伦斯沉吟着，目光忽然落在桌上的圣典抄译上。	“对了，拉德恩先生说过，他记得圣典里的一节故事，所以才在山间修了那个池子。”	罗伦斯
B08	两匹狼的婚礼	不然从未吟过一行诗的艾尔娣怎么会那么开心地和梅尔库里欧聊诗？“你什么时候对诗词感兴趣了” ？	撮合他们的父亲忍不住这么想。  可是还来不及了解艾尔娣真正的想法，梅尔库里欧也似乎爱上了她。父亲只能眼睁睁看着两人进展愈来愈快，进退两难。	难道他们是真心相爱？不过……	艾尔娣的父亲
B09	两匹狼的婚礼	柴达诺家是很早以前就渡海而来，以这王国为中心拓展商路的世家。而对方普利斯托家更为古老，是个重名誉胜过财富的传统	而且从宅邸里来去的佣人来看，新人双方家境差距不小。很容易分辨哪边是在王国贸易的富裕柴达诺家，哪边是谨守古老传统的质朴普利斯托家。	就算说有人认为梅尔库里欧是用钱买下了公主而厌恶柴达诺家，我也绝不会感到意外，甚至担心会不会有人趁着这场大动作的	无，叙述
B10	狼与尾巴的圆舞	自己能力有限，至少就帮她增添日记厚度，尽可能满足她每天的任性……然而翻着翻着，这念头也逐渐萎缩。	因为即使这样伺候她，追着赫萝尾巴似的一字字往下读之后，看见的都是罗伦斯不给咱买什么、不给咱做什么、不贴心、打呼很吵等怨言。	“是不是像艾莉莎说得那样，我真的太宠她啦……”	罗伦斯
B11	狼与宝石之海	“那么，即便这里的教会愿意借给村民们一笔巨资，足够他们一生吃喝玩乐。”	拉德恩露出一种疲累的笑容，回答了罗伦斯有些开玩笑似的假设。	“我也不去什么教廷。我没有必要离开那村子。”	拉德恩
B12	两匹狼的婚礼	“从那一刻起，我的心就都是梅尔库里欧的了。我像小孩一样要他念更多诗给我听，他也不嫌我烦，念了好多让我笑得满地打	或许梅尔库里欧本身真的有诗才，而那是源自他的本性吧。	缪里听艾尔娣聊梅尔库里欧的样子，比她还要开心。	无，叙述
B13	两匹狼的婚礼	这就是一切的起点。	于是来找我求助的父亲这么说了。	希望我无论艾尔娣说了什么，都一定要完成这场婚礼。	艾尔娣的父亲
B14	狼与宝石之海	“道理上”。	看起来，那就像是一种自残和嘲笑，嘲笑自己居然在帕斯罗村受了那么大的心伤。	帕斯罗村的人们早已在时光流转中忘记了赫萝，甚至还将她视为古时迷信恶习的残余。	赫萝
B15	狼与尾巴的圆舞	“难听的话我就不说了，你就赶快带着那什么字据回去吧，我才不管劳德商行跟你说了什么。”	罗伦斯无视于赫萝“故意把气氛弄僵是想做什么？”的视线，说道：	“哎呀，事情也真的就是这样。”	罗伦斯
B16	狼与尾巴的圆舞	“其实他们只是特别显眼而已，算来几乎每个商人都在求我们宽限。他们不只是明年后年，甚至徒弟辈都会来我们这住，求了	在场所有人都大力赞同。	罗伦斯往赫萝瞥一眼，只见她没趣地耸耸肩。看来那些并不是他们为了脱罪而胡编乱造。	 旅舍公会会长
