uid	kind	A_only	B_only	text	audit
1_8	涉及角色分歧	[('罗伦斯', '做')]	[('领路的祭司', '做')]	有人穿戴隆重，有人刚丢下手边工作跑来。他们像鹿在林中撞见人类般不知所措，直到祭司促请才靠近棺木，接连	B
1_9	涉及角色分歧	[('罗伦斯', '做')]	[]	不，就当是那样也无所谓。会改变念头，是由于在街角拐弯时不经意瞥见来路的缘故。	B
1_10	涉及角色分歧	[]	[('赫萝', '做')]	彼端有一栋建筑。兴建当时还隐约有股自负，曾几何时锐气都已磨圆，稳重地座落在那里。尽管一路上受了不少人	A
2_4	涉及角色分歧	[('赫萝', '做')]	[('汉娜', '做')]	两人从天还没亮就开始忙，直到下午偏晚才能坐下来好好喘口气。	赫萝与罗伦斯
2_40	涉及角色分歧	[('罗伦斯', '做')]	[]	即使这么说了，床上的隆起仍一声不吭。缩成这么小，是表示她连下床关个窗都嫌麻烦的意思吧。	赫萝
2_65	涉及角色分歧	[('罗伦斯', '做')]	[]	听罗伦斯论起现实，赫萝终于死了心，打个大呵欠作结尾就蠢动着爬出棉被。说也奇怪，工作起来总是满嘴牢骚的	赫萝
2_150	涉及角色分歧	[('赫萝', '做')]	[]	发现他们那个总是想到山村外开开眼界的女儿，在寇尔说要增广见闻而准备下山之际躲进行李而成功跷家时也是如	B
2_161	涉及角色分歧	[('罗伦斯', '做')]	[]	她都这么说了，自然是无话可说。对于活了数百年的赫萝而言，眼前这一切不过是旅途间的匆匆一景。她甚至曾不	B
3_5	涉及角色分歧	[('罗伦斯', '做')]	[]	一进入插满火把的集会所，众人的欢呼就涌了过来。	A
3_34	涉及角色分歧	[('纽希拉温泉旅馆老板们', '做')]	[]	刹那间，一阵躁动爬过脚边。商场对手增加一点好处也没有，不过最让人在意的是新温泉街的物资会从哪里来。	B
3_67	涉及角色分歧	[('罗伦斯', '做')]	[]	知道危机当前，却没有应变措施。再加上这是全村总动员的大事，届时实际麻烦一定不少，而提出好意见的人一定	B
3_71	涉及角色分歧	[('罗伦斯', '做')]	[]	万物都会随时间流转改变。	B
3_72	涉及角色分歧	[('罗伦斯', '做')]	[]	该做的时候不做，日后一定会后悔。	B
4_0	涉及角色分歧	[('罗伦斯', '做')]	[]	隔天的日常工作受集会豪饮与宿醉影响而岌岌可危，好不容易才撑过去。	A
4_17	涉及角色分歧	[('罗伦斯', '做')]	[]	第二张写的是牵连到他们的风波始末，且看得出寇尔有意冷静客观地记述，缪里却会跑来捣蛋，想要写得很好笑；	B
4_51	涉及角色分歧	[('罗伦斯', '做')]	[]	以旅客观点而言，遇到这种刺激的大活动是很有娱乐效果。然而亲手盖房，深知维护不易的赫萝似乎是想像了房子	赫萝
5_5	涉及角色分歧	[('罗伦斯', '做')]	[]	从不否认在马车睡大头觉这点来看，赫萝也变得圆滑多了。	B
6_58	涉及角色分歧	[('罗伦斯', '做')]	[]	眼前这个人虽是打他爱女主意的不肖之徒，却也是单枪匹马直闯龙潭的勇士。	B
6_85	涉及角色分歧	[('罗伦斯', '做')]	[]	所以，这位少年独自来到这里，其实是值得尊敬的勇敢表现，更何况可能是情敌的人还是美男子寇尔。	B
6_138	涉及角色分歧	[('罗伦斯', '做')]	[]	赫萝的轻咬较平时来得痛一些。要是痛得不小心说“你还不是一样”，搞不好会留下清楚的齿印。不过，赫萝本来	赫萝
6_148	涉及角色分歧	[('罗伦斯', '做')]	[]	所以呢？	B
7_6	涉及角色分歧	[('罗伦斯', '做')]	[]	尽管仪式办得这么正式，大家还识趣地都离开仓库了，话依然很难说出口。	B
7_16	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯从事先准备的银杯中沾点温泉水，抹在赫萝额头上。	罗伦斯
7_45	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯双手绕过赫萝的腰，将她拥入怀中，仿佛要从时间之流多少留住一点彼此的“现在”。	罗伦斯
7_53	涉及角色分歧	[('罗伦斯', '做')]	[]	看来这世上，还有很多很多美妙的事等着他们去体验呢。	B
