uid	kind	A_only	B_only	text
1_18	说话人分歧	[('赫萝', '说')]	[('罗伦斯', '说')]	“她说是听到了什么不得了的事情。该不会又是打算玩什么恶作剧吧？”
1_42	涉及角色分歧	[]	[('柯尔', '做'), ('罗伦斯', '做')]	缪莉像脚底生云一样飞快地穿过山间不成道路模样的小径。赫萝的脚步也如羽毛般轻盈，看来是相当习惯这种环境
1_54	说话人分歧	[('罗伦斯', '说')]	[('柯尔', '说')]	“但愿咱们就快接近目的地了……”
1_55	涉及角色分歧	[]	[('缪里', '做'), ('赫萝', '做')]	罗伦斯重新背好行李，继续试图追上两只任性的狼左摇右跳的尾巴。
1_57	说话人分歧	[('赫萝', '说')]	[('罗伦斯', '说')]	“呼……就是这一带了吗？”
1_71	说存在性分歧	[('赫萝', '说')]	[]	之所以会带锅来，同样是因为这个缘故。因为温泉旅店的女王发话了——‘中午要吃蘑菇锅’。
1_82	说存在性分歧	[('缪里', '说')]	[('缪里', '做')]	“哎~……”
1_86	涉及角色分歧	[]	[('缪里', '做')]	“……”
1_94	说存在性分歧	[('柯尔', '说')]	[('柯尔', '做')]	“咦？”
1_107	涉及角色分歧	[]	[('赫萝', '做')]	在失落中，罗伦斯听到有人踏着枯叶朝自己走来。
1_108	涉及角色分歧	[]	[('罗伦斯', '做')]	赫萝从他无精打采低垂的视线中冒出来，而且还带着一脸坏心眼的笑容，抬头望着自己。
1_119	说存在性分歧	[('罗伦斯', '说')]	[('罗伦斯', '做')]	“……啊！？”
1_121	说/做/想角色分歧	[]	[('赫萝', '做')]	“噗噗噗……汝这是被蘑菇吓破了胆呗？”
1_126	涉及角色分歧	[('赫萝', '做')]	[]	虽然被赫萝折断了一根“指头”，但那地里的东西如今仍旧可怖。怎么看都像是魔鬼发青的手。
1_139	涉及角色分歧	[('罗伦斯', '做')]	[]	要是当着赫萝的面说缪莉不肯对自己怎么怎么样，免不得又会被叫做“大笨驴”，捉弄一番。
1_142	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	“唔？”
