uid	source	scene	sent	type	bucket	focalizer	context	text	guess_speaker	guess_conf	gold_speaker	target	checked	note
1_0	两匹狼的婚礼	1	0	action	物理	柯尔	►小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有勇无谋到了极点，果不其然触礁了。但就在这个时候，我在神的引导下认识了堪称人生导师的人，造就今天的我。 ‖ 这段时间，我始终努力工作，也自认没有怠忽学业。 ‖ 当然，尽管还有很多缺失，我仍确切感受到自己的进步。	小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有勇无谋到了极点，果不其然触礁了。但就在这个时候，我在神的引导下认识了堪称人生导师的人，造就今天的我。	柯尔	0.30	柯尔			
1_3	两匹狼的婚礼	1	3	action	物理	柯尔	小时候，我立志研读神学而离开出生的村庄。没钱也没人脉还大胆来到大学城市，作一个居无定所的流浪学生。有勇无谋到了极点，果不其然触礁了。但就在这个时候，我在神的引导下认识了堪称人生导师的人，造就今天的我。 ‖ 这段时间，我始终努力工作，也自认没有怠忽学业。 ‖ 当然，尽管还有很多缺失，我仍确切感受到自己的进步。 ‖ ►所以两个月前，我即使没有做好十成十的准备，也毅然决定离开温泉乡纽希拉，再度踏上远游之旅。 ‖ 虽然教会的种种问题造成社会混乱，旅程也很快就遇上风风雨雨，我仍在神的庇护下平安克服困难，人们也给了我意想不到的赞誉。最近这几天，我为愈来愈夸张的名声感到很为难，承受不起的同时，我瘦弱的肩也慢慢扛起了背负这名声的责任。 ‖ 必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。	所以两个月前，我即使没有做好十成十的准备，也毅然决定离开温泉乡纽希拉，再度踏上远游之旅。	柯尔	0.30	柯尔			
1_4	两匹狼的婚礼	1	4	action	心理-自指	柯尔	这段时间，我始终努力工作，也自认没有怠忽学业。 ‖ 当然，尽管还有很多缺失，我仍确切感受到自己的进步。 ‖ 所以两个月前，我即使没有做好十成十的准备，也毅然决定离开温泉乡纽希拉，再度踏上远游之旅。 ‖ ►虽然教会的种种问题造成社会混乱，旅程也很快就遇上风风雨雨，我仍在神的庇护下平安克服困难，人们也给了我意想不到的赞誉。最近这几天，我为愈来愈夸张的名声感到很为难，承受不起的同时，我瘦弱的肩也慢慢扛起了背负这名声的责任。 ‖ 必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。 ‖ 我名叫托特．寇尔。	虽然教会的种种问题造成社会混乱，旅程也很快就遇上风风雨雨，我仍在神的庇护下平安克服困难，人们也给了我意想不到的赞誉。最近这几天，我为愈来愈夸张的名声感到很为难，承受不起的同时，我瘦弱的肩也慢慢扛起了背负这名声的责任。	柯尔	0.24	柯尔			非主角视角心理:存疑
1_6	两匹狼的婚礼	1	6	action	物理	柯尔	所以两个月前，我即使没有做好十成十的准备，也毅然决定离开温泉乡纽希拉，再度踏上远游之旅。 ‖ 虽然教会的种种问题造成社会混乱，旅程也很快就遇上风风雨雨，我仍在神的庇护下平安克服困难，人们也给了我意想不到的赞誉。最近这几天，我为愈来愈夸张的名声感到很为难，承受不起的同时，我瘦弱的肩也慢慢扛起了背负这名声的责任。 ‖ 必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。 ‖ ►我名叫托特．寇尔。 ‖ 走在神的道路上的羔羊，但是…… ‖ “唔唔……”	我名叫托特．寇尔。	柯尔	0.30	柯尔			
1_7	两匹狼的婚礼	1	7	action	物理	柯尔	虽然教会的种种问题造成社会混乱，旅程也很快就遇上风风雨雨，我仍在神的庇护下平安克服困难，人们也给了我意想不到的赞誉。最近这几天，我为愈来愈夸张的名声感到很为难，承受不起的同时，我瘦弱的肩也慢慢扛起了背负这名声的责任。 ‖ 必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。 ‖ 我名叫托特．寇尔。 ‖ ►走在神的道路上的羔羊，但是…… ‖ “唔唔……” ‖ 胸口的压迫感使我醒来。	走在神的道路上的羔羊，但是……	柯尔	0.30	柯尔			
1_8	两匹狼的婚礼	1	8	dialogue	unmarked	柯尔	必须在信仰之路上继续潜心修行，自我砥砺，才对得起人们的期望。 ‖ 我名叫托特．寇尔。 ‖ 走在神的道路上的羔羊，但是…… ‖ ►“唔唔……” ‖ 胸口的压迫感使我醒来。 ‖ 还以为要考验我信仰的恶魔出现了，要拿我多年来的修为迎战而微微睁眼。探入窗口的薄薄曙光所照出的入侵者轮廓，就近在眼前。	唔唔……	柯尔	0.40	柯尔			
1_9	两匹狼的婚礼	1	9	action	物理	柯尔	我名叫托特．寇尔。 ‖ 走在神的道路上的羔羊，但是…… ‖ “唔唔……” ‖ ►胸口的压迫感使我醒来。 ‖ 还以为要考验我信仰的恶魔出现了，要拿我多年来的修为迎战而微微睁眼。探入窗口的薄薄曙光所照出的入侵者轮廓，就近在眼前。 ‖ 随后，我放松了肩。	胸口的压迫感使我醒来。	柯尔	0.30	柯尔			
1_10	两匹狼的婚礼	1	10	action	物理	柯尔	走在神的道路上的羔羊，但是…… ‖ “唔唔……” ‖ 胸口的压迫感使我醒来。 ‖ ►还以为要考验我信仰的恶魔出现了，要拿我多年来的修为迎战而微微睁眼。探入窗口的薄薄曙光所照出的入侵者轮廓，就近在眼前。 ‖ 随后，我放松了肩。 ‖ 就某方面而言，那说不定真是想迷惑神的羔羊的恶魔。因为趴在我胸口酣睡的，是一个年轻少女。	还以为要考验我信仰的恶魔出现了，要拿我多年来的修为迎战而微微睁眼。探入窗口的薄薄曙光所照出的入侵者轮廓，就近在眼前。	柯尔	0.30	柯尔			
1_12	两匹狼的婚礼	1	12	action	心理-自指	柯尔	胸口的压迫感使我醒来。 ‖ 还以为要考验我信仰的恶魔出现了，要拿我多年来的修为迎战而微微睁眼。探入窗口的薄薄曙光所照出的入侵者轮廓，就近在眼前。 ‖ 随后，我放松了肩。 ‖ ►就某方面而言，那说不定真是想迷惑神的羔羊的恶魔。因为趴在我胸口酣睡的，是一个年轻少女。 ‖ 虽然她体格纤瘦脚又长，愉快时的步伐轻盈得像颗蓬松毛球，然而压在身上时再不情愿也会感到她的成长。如果她是个牙牙学语的幼儿还能说可爱，但是长这么大了还做这种事，只会让人觉得“沉重”　。 ‖ 无论告诫过多少次，她都全当耳边风，照样动不动就半夜钻到我被子底下。看着她的睡脸，我不禁用鼻子叹息。	就某方面而言，那说不定真是想迷惑神的羔羊的恶魔。因为趴在我胸口酣睡的，是一个年轻少女。	柯尔	0.24	柯尔			非主角视角心理:存疑
1_13	两匹狼的婚礼	1	13	dialogue	unmarked	柯尔	还以为要考验我信仰的恶魔出现了，要拿我多年来的修为迎战而微微睁眼。探入窗口的薄薄曙光所照出的入侵者轮廓，就近在眼前。 ‖ 随后，我放松了肩。 ‖ 就某方面而言，那说不定真是想迷惑神的羔羊的恶魔。因为趴在我胸口酣睡的，是一个年轻少女。 ‖ ►虽然她体格纤瘦脚又长，愉快时的步伐轻盈得像颗蓬松毛球，然而压在身上时再不情愿也会感到她的成长。如果她是个牙牙学语的幼儿还能说可爱，但是长这么大了还做这种事，只会让人觉得“沉重”　。 ‖ 无论告诫过多少次，她都全当耳边风，照样动不动就半夜钻到我被子底下。看着她的睡脸，我不禁用鼻子叹息。 ‖ 缪里是我大恩人罗伦斯和贤狼赫萝的独生女，我从她出生就在照顾，跟妹妹没两样。这个野丫头经常嚷嚷着想离开出生的村落，看看外面的世界，擅自跟我来旅行。	沉重	柯尔	0.40	柯尔			
