uid	kind	A_only	B_only	text
1_0	涉及角色分歧	[]	[('罗伦斯', '做')]	罗伦斯还是未生出胡髭的少年时，跟着一位到访村里的旅行商人踏上了旅途。
1_6	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯俯视着广场的模样，然后不禁苦笑起来——他看到了一位身材娇小的少女。
1_16	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	这一阵子与罗伦斯夫妇结伴同行的女司铎艾尔莎说出这番话，是在昨日傍晚的时候。当时他们解决了撒罗尼亚城的
1_17	涉及角色分歧	[]	[('艾尔莎', '做')]	赫萝对关税的商议毫无兴趣，她早已先行离开，在广场的酒馆里喝得大醉酩酊。现在路上只有罗伦斯和艾尔莎两人
1_19	涉及角色分歧	[]	[('罗伦斯', '做'), ('艾尔莎', '做'), ('赫萝', '做')]	似乎赫萝和艾尔莎她们在关税纠纷期间有了不少交流，而罗伦斯对这些经纬并不了解。如今艾尔莎还是会不时劝诫
1_24	涉及角色分歧	[]	[('艾尔莎', '做')]	艾尔莎曾给罗伦斯留下这样的印象，但现在他面前站着的，则是一个有血有肉的艾尔莎。
1_26	涉及角色分歧	[]	[('艾尔莎', '做')]	艾尔莎原本出身在一个名叫特雷欧的小村里，守着抚养她长大的父亲留下的教会静静生活。此后随着世间对教会的
1_27	涉及角色分歧	[('罗伦斯', '做')]	[('艾凡', '做')]	她的丈夫艾凡在罗伦斯记忆中还是个磨面粉的少年，个性朴实又热情。如今艾凡还留在特雷欧村，据说两人间已经
1_35	涉及角色分歧	[]	[('艾尔莎', '做')]	艾尔莎总是将发型整理得一丝不苟，蜂蜜色的眼睛总是目光锐利，直视着真相。但罗伦斯知道在这些东西的背后，
1_36	涉及角色分歧	[]	[('罗伦斯', '做')]	不然的话，她也就不会为那个怕寂寞的狼操心，担心自己提起的道别会让对方难过。
1_38	涉及角色分歧	[]	[('罗伦斯', '做')]	也许是怀着一种“瞒着赫萝，同罗伦斯秘密谋划事情”的内疚，艾尔莎没有立即给出回答，但她最后还是点了点头
1_41	涉及角色分歧	[]	[('罗伦斯', '做')]	刚刚与罗伦斯相遇时的艾尔莎，恐怕会以事实就是事实为理由，毫不犹豫地开口同赫萝告别。
1_45	涉及角色分歧	[]	[('罗伦斯', '做')]	当然，那只是涉世未深的年轻人的一己之见，不久之后罗伦斯就切身实地地学到了这个道理。
1_56	涉及角色分歧	[('赫萝', '做')]	[]	即便在那样的骚乱嘈杂里，他也很快辨认出了那个轮廓，罗伦斯心中挚爱的那头狼的背影。
1_58	说存在性分歧	[('艾尔莎', '做')]	[('艾尔莎', '说')]	尽管艾尔莎嘴上是这样说，但与赫萝以及塔妮娅汇合之后，罗伦斯如事先承诺地一样提起了今后的话题，艾尔莎还
1_59	涉及角色分歧	[]	[('罗伦斯', '做')]	也许是因为已经喝醉了酒，又或是因为要在塔妮娅面前表现出大姐的气度，赫萝没有对艾尔莎的道别表现出多悲伤
1_68	涉及角色分歧	[]	[('罗伦斯', '做')]	罗伦斯与他的告别也是一样唐突。某日早上睁开眼睛，师傅就消失了踪影。
1_75	涉及角色分歧	[]	[('-', '做')]	窗外，已然成为撒罗尼亚城中名人的赫萝，正与五大三粗的挑夫面对面地喝着交杯酒。
1_78	涉及角色分歧	[]	[('-', '做')]	仍旧开着的木窗外，喝干了酒的赫萝高举起大酒杯，接受着众人的欢呼喝彩。
