uid	kind	A_only	B_only	text
1_1	涉及角色分歧	[]	[('里夫金女士', '做')]	在我躺在石阶上享受阳光时，有人这么搭腔。
1_4	涉及角色分歧	[('里夫金女士', '做')]	[]	女子头上绑着毛巾，两手的袖子高高卷起，有着如熊般壮硕的体格。
1_8	涉及角色分歧	[]	[('艾尼克', '做')]	“……”
1_22	涉及角色分歧	[('诺儿菈', '做')]	[]	虽然主人长高了一些，头发也长了一些，但睡脸看起来还是很孩子气。
1_26	涉及角色分歧	[]	[('艾尼克', '做'), ('里夫金女士', '做')]	主人醒来后，慌张地挺起身子。东张西望地环视四周一遍后，主人发现女子和我站在门口。书桌上堆了满山的纸张
1_37	涉及角色分歧	[]	[('诺儿菈', '做')]	“……”
2_5	涉及角色分歧	[('艾尼克', '做')]	[]	主人不仅能忍受饥饿寒冷，还能够以了不起的手腕彻底保护羊只不受狼或狐狸攻击。不知道是不是因为如此有骨气
2_19	涉及角色分歧	[]	[('艾尼克', '做')]	不过，对我而言，我在乎的不是今天的仪式进行得顺不顺利，而是今天的晚餐会有几块肉，就这么简单。
2_21	涉及角色分歧	[]	[('艾尼克', '做')]	如果是城里的人，我大概都记得他们的敲门方式。
3_1	涉及角色分歧	[]	[('-', '做')]	圣堂前方的马路上聚集了不少人。
3_4	涉及角色分歧	[]	[('-', '做')]	尽管如此，访客的惊人阵仗还是吸引了人们全副的注意力。那辆马车由两匹黑色的骏马在前头拉动，还有着全黑的
4_2	涉及角色分歧	[]	[('诺儿菈', '做')]	艾普的马车宽度，就是让三名大人并排而坐也绰绰有余。如此宽敞的座位有两排，可以面对面坐下。座椅的椅背部
4_5	涉及角色分歧	[]	[('艾尼克', '做'), ('艾普', '做')]	艾普应该原本就是一个沉默寡言的人，加上主人也不是会主动和人攀谈的个性。在得到艾普的许可下，主人让我坐
4_6	涉及角色分歧	[]	[('诺儿菈', '做')]	在隔了五年后，主人第一次离开这座城镇，一定是百感交集吧。
4_26	涉及角色分歧	[]	[('艾普', '做')]	不过，我知道这个叫艾普的女人看不起主人。主人才不是在小城镇担任祭司、不懂人情世故的丫头。我不否认主人
4_33	涉及角色分歧	[]	[('艾普', '做')]	“……”
5_23	涉及角色分歧	[('诺儿菈', '做')]	[]	所以，主人这时也没有特别说些什么。
5_32	涉及角色分歧	[]	[('诺儿菈', '做')]	“……”
5_38	涉及角色分歧	[]	[('艾普', '做')]	看来艾普似乎对那男人多少有好感。
5_39	涉及角色分歧	[]	[('艾尼克', '做'), ('艾普', '做')]	而且，艾普的眼神像是把主人当成了同伴。不过，如果我记得没错，主人对那男人应该一点兴趣都没有。在现在的
5_41	涉及角色分歧	[]	[('诺儿菈', '做')]	主人只是单纯地认为，只要有我在身旁就好了。
6_17	涉及角色分歧	[]	[('艾尼克', '做')]	话说回来，如果有像湖泊那么大的澡盆，我倒想问问究竟是谁在负责煮热水？
7_0	涉及角色分歧	[('狄安娜', '做')]	[]	女子散发出不同于主人，也不同于艾普的气味。
7_5	涉及角色分歧	[]	[('艾尼克', '做'), ('艾普', '做'), ('诺儿菈', '做')]	大家都在想，散发这般气氛的女子与那只少根筋的羊是什么关系。
7_9	涉及角色分歧	[('狄安娜', '做')]	[]	乍看之下，狄安娜的沉稳笑容以及散发出来的气氛，似乎表现出其个性之温和。
7_10	涉及角色分歧	[('艾尼克', '做')]	[]	不过，我的嗅觉告诉我这只鸟的个性不是偏向主人，而是偏向艾普。
7_22	涉及角色分歧	[]	[('艾普', '做')]	“……？”
7_42	涉及角色分歧	[]	[('艾尼克', '做')]	其实我也不是不知道原因。
7_72	说话人分歧	[('艾普', '说')]	[('诺儿菈', '说')]	“哈哈！我也这么想过。感觉上，他们应该会因为难为情而不想做这种事情。总觉得他们会不了了之才对，对吧？
7_73	说话人分歧	[('狄安娜', '说')]	[('艾普', '说')]	“是啊。更何况还邀请了我们。不过，他的个性还算果决就是了。”
7_81	涉及角色分歧	[]	[('艾尼克', '做')]	不过，我看见主人尽管有些害怕，却也显得深感兴趣的表情。
8_0	涉及角色分歧	[]	[('狄安娜', '做'), ('艾普', '做'), ('诺儿菈', '做')]	时间多得是，酒也不少。不仅如此，叽叽喳喳吵个不停的一群女人还有最好的助兴话题。
8_1	涉及角色分歧	[]	[('狄安娜', '做'), ('艾普', '做'), ('诺儿菈', '做')]	她们完全投入在故事之中，一下子大笑，一下子摇头叹气，一下子又笑了出来，有时还会感到愤怒或佩服。
8_2	涉及角色分歧	[]	[('狄安娜', '做'), ('艾普', '做'), ('诺儿菈', '做')]	或许大家都算是处于适婚年龄吧，艾普与狄安娜明明不像会参与这种闲聊话题的人，两人说说笑笑的模样却宛如少
8_4	涉及角色分歧	[]	[('狄安娜', '做'), ('艾普', '做'), ('诺儿菈', '做')]	就像只要给狗一根骨头，狗就会一直啃上五天、十天一样，离开城镇后，三人一直交谈着。直到吃完午餐过了一会
8_6	涉及角色分歧	[]	[('艾普', '做')]	也可能是因为聊了肉麻兮兮的话题，所以让艾普觉得有些反胃也说不定。
8_7	涉及角色分歧	[]	[('艾普', '做')]	艾普对那个笨男人似乎多少有些意思。
8_8	涉及角色分歧	[]	[('艾普', '做')]	或许真的就像狗啃骨头一样，艾普是去回味“让人受不了的男人”这句话。
8_13	涉及角色分歧	[]	[('狄安娜', '做'), ('艾普', '做'), ('诺儿菈', '做')]	话虽这么说，包括狄安娜描述故事的方法也一样，已经老大不小的三人，真正感兴趣的地方是——就连少女也不曾
8_14	涉及角色分歧	[]	[('诺儿菈', '做')]	对于比较喜欢咸口味的我来说，光是听到描述，就觉得耳朵发痒。不过，既然主人听得高兴，那就无妨。
8_25	说话人分歧	[('狄安娜', '说')]	[('诺儿菈', '说')]	“不过，还是会让人觉得羡慕……”
8_26	说话人分歧	[('诺儿菈', '说')]	[('狄安娜', '说')]	“哟？”
8_27	涉及角色分歧	[]	[('诺儿菈', '做')]	或许是酒精已发挥不少作用，主人的口风放松了许多。
8_40	说话人分歧	[('诺儿菈', '说')]	[('狄安娜', '说')]	“这些话……可以让那边那位听见吗？”
8_42	涉及角色分歧	[('艾尼克', '做')]	[]	与我视线交会后，主人在嘴角浮现近似苦笑的笑容。
8_46	涉及角色分歧	[]	[('艾尼克', '做')]	正因为如此，我才会如此有自信，而非无凭无据。
8_86	涉及角色分歧	[]	[('狄安娜', '做')]	听到狄安娜反问后，主人缓缓张开眼睛，并挺起身子看向我。
8_104	涉及角色分歧	[]	[('艾尼克', '做')]	不知道狄安娜在笑谁。
8_107	涉及角色分歧	[]	[('狄安娜', '做')]	看来，狄安娜似乎是在笑所有人。
8_115	涉及角色分歧	[]	[('诺儿菈', '做')]	主人一定把我视为比其他任何人都更重要的存在。
8_124	涉及角色分歧	[('艾尼克', '做')]	[]	我没办法反过来抱紧主人。
10_4	涉及角色分歧	[]	[('艾尼克', '做')]	不过，到了晚上还是会窝在主人怀里睡觉的我，或许也没资格嘲笑那个男人吧。
10_6	涉及角色分歧	[]	[('艾尼克', '做')]	虽然对两个当事人来说，那都是一些刻骨铭心的经历，但综合狄安娜的发言后，我可以大声地这么说：
10_15	涉及角色分歧	[]	[('艾尼克', '做')]	希望那对傻男女已经察觉到这个真理才好啊。
