uid	kind	A_only	B_only	text
1_0	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	罗伦斯先生与赫萝小姐又在吵架了。
1_2	说存在性分歧	[('罗伦斯', '做')]	[('罗伦斯', '说')]	罗伦斯先生的主张是“赫萝小姐白天偷吃了肉干，所以扣掉了那些分量的肉”；而赫萝小姐的主张是“胆子不小啊
1_3	涉及角色分歧	[('柯尔', '做')]	[('罗伦斯', '做')]	事实上，赫萝小姐真的偷吃了肉干。我亲眼目击到赫萝小姐趁着罗伦斯先生到镇上观察城镇状况，或和旅馆的人在
1_9	说/做/想角色分歧	[('罗伦斯', '做')]	[]	罗伦斯先生露出苦涩表情压低下巴说：“没有。”赫萝小姐沉默地瞪着罗伦斯先生好一会儿后，用鼻子发出“哼”
1_10	涉及角色分歧	[('柯尔', '做')]	[]	我开始与他们两位一起旅行后，经常有机会目击到这般互动。
1_11	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	两人多是因为一些别有含意的措词，或微不足道的误会开始起争执；而像这次一样，起因明显在于赫萝小姐的状况
2_3	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	虽然罗伦斯先生和赫萝小姐吵架时，不会像在我们村落里经常看见的吵架场面那样互丢东西，但两人会立刻停止交
2_4	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	罗伦斯先生与赫萝小姐不会大吵大闹，但相对地，即使在经过一场杀气腾腾的互动后，也能够立即展露笑容与其他
2_5	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	然后，两人似乎能够把对方的存在完全赶出思绪外，可以真的很自然地忽视对方。举例来说，一场“忽视”对抗赛
2_10	说存在性分歧	[]	[('罗伦斯', '说')]	罗伦斯先生听了后，果然以一副根本没有吵架过似的模样，略感意外地说：
2_27	说存在性分歧	[]	[('罗伦斯', '说')]	然而，罗伦斯先生笑笑后，把手上的水壶轻轻放在我头上说：
2_29	涉及角色分歧	[]	[('罗伦斯', '做')]	虽然罗伦斯先生说的一点也没错，但看见罗伦斯先生表现出对此事实深信不疑的态度，反而让我有些担心起来。
2_37	说存在性分歧	[]	[('罗伦斯', '说')]	我惊讶地反问道，但罗伦斯先生等到我追上他的脚步后，才回答说：
2_46	涉及角色分歧	[('柯尔', '做')]	[]	赫萝小姐是一只被尊称为贤狼的狼，应该不至于这么孩子气吧。
3_5	说存在性分歧	[('赫萝', '做')]	[('赫萝', '说')]	因为赫萝小姐总会说：“虽然一直喝酒会口渴，但总是会想用酒来解渴。只有大笨驴才会喝水来解渴。”
3_7	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	我心想，赫萝小姐今天似乎没有喝得那么醉。因为平常时候，我经常看见罗伦斯先生一发现赫萝小姐的嘴角洒出水
3_8	说/做/想角色分歧	[]	[('赫萝', '做')]	“呼～没有什么比冰水更好喝了。嗝！”
3_23	涉及角色分歧	[]	[('赫萝', '做')]	赫萝小姐露出笑容时，很多时候不是真正的笑容。
3_49	涉及角色分歧	[('柯尔', '做')]	[]	罗伦斯先生的未雨绸缪心态非常重要，但如果一直抱着这般心态，会让人喘不过气来。
3_61	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	的确，每次赫萝小姐像倒水一样大口喝酒，或吃东西吃到肚子撑得走不动时，罗伦斯先生的表情就会很不好看。不
3_62	涉及角色分歧	[('柯尔', '做')]	[('赫萝', '做')]	赫萝小姐绝非为所欲为地在行动，而是为了矫正罗伦斯先生过度死板的生活态度才这么做。
4_3	涉及角色分歧	[('柯尔', '做')]	[('赫萝', '做')]	而且，我知道赫萝小姐其实是很温柔的人。她会为我设想很多事情，有时候遇到难以启口的事情时，也会替我向罗
5_1	涉及角色分歧	[('罗伦斯', '做')]	[]	听到罗伦斯先生走进房间以后所说的话，赫萝小姐随即这么反问。此刻距离中午时刻还有一段时间。
5_4	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	不过，罗伦斯先生也很懂得怎么应付赫萝小姐。因为赫萝小姐嘴里叼着的肉干，是她自己找机会保留给自己吃的肉
5_6	涉及角色分歧	[('柯尔', '做')]	[('罗伦斯', '做'), ('赫萝', '做')]	赫萝小姐的打算，似乎是想等到罗伦斯先生发现她在吃肉干而出声警告时，就以很跩的态度反驳罗伦斯先生。
5_11	涉及角色分歧	[]	[('赫萝', '做')]	赫萝小姐每天都会梳理尾巴好几次，所以尾巴梳理得真的很漂亮。
5_23	涉及角色分歧	[]	[('柯尔', '做'), ('罗伦斯', '做')]	听到我的询问后，罗伦斯先生态度轻松地说：“没什么。”
5_25	涉及角色分歧	[]	[('罗伦斯', '做')]	我知道罗伦斯先生是刻意夸我，但这样为我着想，让我有种难为情的感觉。遇到罗伦斯先生两人之前，我不是被人
5_35	涉及角色分歧	[('柯尔', '做')]	[]	赫萝小姐当然不可能错过我的反应，所以在走廊上时踩了我一脚。
6_2	涉及角色分歧	[('柯尔', '做')]	[]	人潮之间可看见摊贩和商店，赫萝小姐表现出一副深感兴趣的模样，要不是罗伦斯先生牵住她的手，肯定会和我们
6_5	涉及角色分歧	[]	[('罗伦斯', '做')]	比起对我，罗伦斯先生对赫萝小姐的说明更加笼统，但赫萝小姐似乎听到这些说明就足够了。她只发出“嗯”的一
6_10	说存在性分歧	[('柯尔', '做')]	[('-', '说')]	我在学问之都雅肯上课时，有个人能够靠着咬货币的动作来分辨铜币种类。那人说过他以前曾经受骗，拿到了利用
6_14	涉及角色分歧	[('柯尔', '做')]	[]	就连师父和徒弟之间也会这样互相欺骗，商人实在是一种非常惊人的职业。
6_18	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	“哈！”
6_19	涉及角色分歧	[]	[('赫萝', '做')]	赫萝小姐瞧不起人时都会这样笑，老实说，我很喜欢这样的笑法。
6_24	涉及角色分歧	[]	[('赫萝', '做')]	我觉得这样的罗伦斯先生也很帅气。不过，赫萝小姐会给予严厉批评，说罗伦斯先生是胆小的大笨驴就是了。
7_2	涉及角色分歧	[]	[('柯尔', '做')]	老爷爷戴着一顶我没看过的帽子，一问之下，才知道是来自遥远东方的帽子。听说远东地区的环境相当严酷，那里
7_9	说话人分歧	[('罗伦斯', '说')]	[('柯尔', '做')]	老爷爷愤慨不已地说道。我以前也曾吃过兑换商的亏，所以很能够了解老爷爷的心情。不过，我听到赫萝小姐询问
7_16	涉及角色分歧	[]	[('老爷爷(远东商人)', '做')]	就这样，我们被带到了老爷爷投宿的房间。
8_0	说存在性分歧	[('赫萝', '说')]	[('赫萝', '做')]	“唔！”
8_1	说存在性分歧	[('柯尔', '说')]	[('柯尔', '做')]	“哇！”
8_5	涉及角色分歧	[]	[('柯尔', '做'), ('罗伦斯', '做'), ('赫萝', '做')]	不过，让我们大吃一惊的并不是这些东西，而是看似硬塞进屋内的大书桌上，有着堆积如山的大量货币。
8_17	涉及角色分歧	[('柯尔', '做')]	[]	这位老爷爷就算现在立刻变成石块，肯定也会是一颗甚至让路人感到佩服、外表完全像个商人的石块。
