uid	kind	A_only	B_only	text
1_0	涉及角色分歧	[('罗伦斯', '做')]	[]	差不多在十二、十三岁时离开贫穷偏僻的故乡后，就以徒弟身份跟着师父行动。
1_1	涉及角色分歧	[('罗伦斯', '做')]	[]	在那之后，就一直以商人身份持续过着旅行生活。
1_2	涉及角色分歧	[('罗伦斯', '做')]	[]	虽然和师父两人之旅的时间比较长，但偶尔也会遇到一起旅行的人们。
1_7	涉及角色分歧	[('罗伦斯', '做')]	[]	老实说，令人感到困扰的，就是被这种人逮住的时候。
1_12	涉及角色分歧	[('罗伦斯', '做')]	[]	对方一看见罗伦斯出现，便惊讶得像是看见出征后就音讯全无的儿子回来了一样，立刻露出满脸笑容，用沾满泥巴
1_17	涉及角色分歧	[('罗伦斯', '做')]	[]	然后，男子以强大的力道打算把罗伦斯拉进家中。
1_18	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯事后才得知男子是这座村落的村长，如果被这种人倒出酒来款待，就别想离开了。
1_20	涉及角色分歧	[('村长', '做')]	[]	其态度就像在说“只要听到旅行的话题，自己就能够变成一只拥有翅膀的小鸟飞出去旅行”一样。
1_21	涉及角色分歧	[('罗伦斯', '做')]	[]	每次在旅途上遇到这种人时，罗伦斯总会说出当地的领主名字，然后假装是领主的御用商人，以便顺利逃过对方的
1_22	涉及角色分歧	[('罗伦斯', '做')]	[]	理应在马车上等待的旅伴，不知不觉中已经站到了罗伦斯身边。
1_27	涉及角色分歧	[('赫萝', '做')]	[]	旅伴虽是外表看起来很美丽的女孩，但罗伦斯不得不叹息。
1_28	涉及角色分歧	[('赫萝', '做')]	[]	年长者总会语重心长地告诉罗伦斯，要小心戴着兜帽的女孩，如这些长辈所说，旅伴的兜帽底下确实藏了秘密。
1_29	涉及角色分歧	[('赫萝', '做')]	[]	这名女孩名为赫萝，她只要张开嘴巴，就会看见有些过尖的雪白犬牙。
1_30	涉及角色分歧	[('赫萝', '做')]	[]	女孩因为奇妙的因缘际会而与罗伦斯一起旅行，但她的真实身份是一只能够轻松一口吞下人类的巨狼。
1_32	涉及角色分歧	[('赫萝', '做')]	[]	然后，赫萝这么说。
1_33	涉及角色分歧	[('赫萝', '做')]	[]	如修女装扮的兜帽底下，可看见如贵族般的美丽亚麻色长发。
1_35	涉及角色分歧	[('罗伦斯', '做')]	[]	村长和赫萝互抢着罗伦斯的手，两人的手的粗细度和光滑度截然不同。
1_43	涉及角色分歧	[('罗伦斯', '做')]	[]	然而，赫萝这么说完后，以实在不符合修女作风的低俗动作，抱住了罗伦斯重获自由的手。
