uid	kind	A_only	B_only	text
1_1	涉及角色分歧	[('罗伦斯', '做')]	[]	只是，罗伦斯往往忽视这方面的消息。这大概是因为唯独与自己相关的传言，他实在少有耳闻的缘故。
1_4	涉及角色分歧	[('赫萝', '做')]	[]	亚麻色的长发，娇小的肩膀，光滑而又没有一处粗糙或伤痕的漂亮指尖，这些都让她时常被误认作贵族的千金。再
1_5	涉及角色分歧	[('赫萝', '做')]	[]	然而这副楚楚可怜的面貌不过是假象。赫萝的真面目是年龄高达数百岁，巨大到只能让人抬头仰望的狼。
1_7	涉及角色分歧	[('赫萝', '做')]	[]	那是一对与她的头发一样颜色，尖尖的三角形兽耳。
1_22	涉及角色分歧	[('罗伦斯', '做')]	[]	罗伦斯向他们请教过保养眼睛的方法，例如把温热的湿毛巾敷在眼皮上。
1_26	涉及角色分歧	[('罗伦斯', '做')]	[]	——有关桌上的这堆纸，纸上写满的字，以及赫萝对这项工作的痴迷。
1_30	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	这次揉这里，有什么话揉完再说。她是这样的意思。
1_33	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	赫萝是活过了上百年岁月的狼之化身。而罗伦斯只是普通的凡人，他的寿命会终结，会留下赫萝独自前往另一个世
1_34	涉及角色分歧	[('罗伦斯', '做')]	[]	这是个好主意。提议的人也是罗伦斯。
1_35	涉及角色分歧	[('罗伦斯', '做')]	[]	问题在于，赫萝做什么事都很极端。
1_41	说/做/想角色分歧	[]	[('赫萝', '做')]	“呵……嗯嗯，嗯~……啊，就是那儿，那儿。”
1_53	涉及角色分歧	[('罗伦斯', '做')]	[]	看她一脸的惊讶神情，恐怕是真的不明白其中缘由。
1_64	说/做/想角色分歧	[]	[('赫萝', '做')]	“噗噗。哪怕是汝这么没心眼的人，有时候也会说出男孩子的话来呐。”
1_75	涉及角色分歧	[('赫萝', '做')]	[]	在这方面，赫萝的耳朵尖得能听清山里的老鼠打的每一个喷嚏，论吃醋和嫉妒，贵族家的女儿完全无法和她相比。
1_77	涉及角色分歧	[('罗伦斯', '做')]	[]	所以说，村里的这些流言实在是麻烦极了。
1_79	涉及角色分歧	[('赫萝', '做')]	[]	打算横取自己到手的猎物，这种人无论如何都要排除掉才行。
1_83	涉及角色分歧	[('赫萝', '做')]	[]	嘴上自称是贤狼，可她却相当喜欢这样故意大张旗鼓，罗伦斯知道自己若是表现出厌烦的模样，赫萝一定会得寸进
