uid	kind	A_only	B_only	text
1_3	涉及角色分歧	[('罗伦斯', '做')]	[]	而且，如果旅伴的表现就像个任性的公主，必须处理的事情就更多了。
1_4	涉及角色分歧	[('罗伦斯', '做')]	[]	在寒冷季节露宿时，燃料是绝对不可欠缺的东西，但来到商店购买燃料，却看见旅伴眉头深锁。
1_6	涉及角色分歧	[('罗伦斯', '做')]	[]	如果旅伴是以疑问句说：“汝自己判断好吗？”或许还显得可爱且让人愿意受骗，没想到换成这种不负责任且不屑
1_7	涉及角色分歧	[('罗伦斯', '做')]	[]	虽然旅伴赫萝的态度让人甚至有这般惊讶感受，但无庸置疑地，赫萝心里想的和嘴里说的完全不同。
1_14	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	每次一有什么，赫萝就会挺起胸膛骄傲地这么形容自己，罗伦斯却是时而忍不住想要叹气。因为赫萝这只贤狼的心
1_19	涉及角色分歧	[('罗伦斯', '做')]	[]	使用木柴旁的商品时，火势确实比木柴来得弱，更明显的不同是这商品散发出独特的味道，对鼻子比人类灵敏人多
1_25	涉及角色分歧	[('罗伦斯', '做')]	[]	其脸上浮现一半同情搞不定任性旅伴的罗伦斯，另一半觉得活该的笑容。
1_28	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	尤其是身边有个看见对方变得得意时，就会用力摇晃他的鼻梁，然后享受看对方慌张模样的坏心眼家伙，更不能表
1_33	涉及角色分歧	[('罗伦斯', '做')]	[]	老板这般态度就跟赫萝没什么两样，而说到了赫萝，离开燃料店后，心情立即转好。
1_35	涉及角色分歧	[('罗伦斯', '做')]	[]	说着便抓起罗伦斯的手率先走了出去。
1_37	涉及角色分歧	[('罗伦斯', '做')]	[]	提到旅途上的粮食，想要花言巧语地说服赫萝，其难度根本不是燃料能够相比。
1_40	涉及角色分歧	[('罗伦斯', '做')]	[]	这只狼总是能够识破一切。
1_49	涉及角色分歧	[('罗伦斯', '做')]	[]	虽然比平常节省许多，但与从前只靠着像石头一样的燕麦面包，以及净是残渣的葡萄酒爬过山头的日子相比，已经
1_51	涉及角色分歧	[('赫萝', '做')]	[]	他心想趁着赫萝还没开口要求买东西，赶快办好事情，于是赶紧拿出一枚泛黑的银币付给店老板，并准备收下找钱
1_58	涉及角色分歧	[('罗伦斯', '做')]	[]	虽然店老板提示的兑换比率有些不利于罗伦斯，但也不至于亏损。
1_62	涉及角色分歧	[('赫萝', '做')]	[]	罗伦斯把手放在她头上反驳：
1_65	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	这时罗伦斯如果没有理会赫萝，她肯定会暴怒。
2_8	涉及角色分歧	[('赫萝', '做')]	[]	让赫萝躺在床上后，如往常一样帮赫萝脱去三角头巾和披肩之类的衣物。
2_9	涉及角色分歧	[('赫萝', '做')]	[]	他如此勤劳地服侍着赫萝，即使不是放高利贷的人，就算他直接脱光赫萝的衣服，也不会有人责怪他。
2_13	涉及角色分歧	[('赫萝', '做')]	[]	只要笑着这么嘀咕，再以手指背面抚摸赫萝的脸颊，就让罗伦斯感到满足。
2_15	涉及角色分歧	[('赫萝', '做')]	[]	一方面因为特别早抵达城镇，所以赫萝也特别早喝醉。
2_19	涉及角色分歧	[('罗伦斯', '做')]	[]	说到旅途中救过罗伦斯最多次的存在，莫过于这把小刀。第二多的肯定是神明的庇佑。
2_20	涉及角色分歧	[('罗伦斯', '做')]	[]	如果有人询问地图有没有帮助，只能说地图的准确度比遮住眼睛前进好一些。不过，事先掌握一定程度的位置关系
2_22	涉及角色分歧	[('赫萝', '做')]	[]	自称贤狼的赫萝就在身边，感觉上似乎没什么好担心，但从过去的经验里，罗伦斯知道并非这么回事。顶多只有在
2_23	涉及角色分歧	[('罗伦斯', '做')]	[]	不管怎么说，赫萝的真正模样是一只连罗伦斯都能够一口吞下的巨狼，有这样的赫萝陪伴在身边，当然没理由害怕
