uid	kind	A_only	B_only	text
1_6	涉及角色分歧	[('罗伦斯', '做')]	[]	第一晚，他还觉得反而轻松呢。
1_7	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	离开纽希拉的温泉旅馆下山旅行后，也许是因为感觉开阔，或是不用在女儿面前装稳重了，赫萝的饮酒量明显增加
1_9	涉及角色分歧	[('罗伦斯', '做')]	[]	到了第二晚，他就有点闲得发慌了。
1_10	说存在性分歧	[('艾尔莎', '说')]	[('艾尔莎', '做')]	罗伦斯下榻在瓦兰主教区的大教堂宿舍，目前这里是由一名女性圣职人员──他的旧识艾莉莎管理。艾莉莎不会将
1_11	涉及角色分歧	[]	[('赫萝', '做')]	赫萝则完全相反，只会把握时间饮酒作乐──今天走了这么长的路，多喝点犒赏自己；今天什么事也没有，多喝点
1_12	涉及角色分歧	[]	[('赫萝', '做')]	醉倒之前，还少不了嘟哝明天早餐的菜单。
1_14	涉及角色分歧	[]	[('谭雅', '做')]	第三晚，谭雅下山来了。她是在瓦兰主教区的魔山与天使传说里扮演要角的松鼠化身，罗伦斯在前几天解开了遗留
1_15	涉及角色分歧	[]	[('谭雅', '做'), ('赫萝', '做')]	而谭雅最近热衷于计划在这个有魔山之称的废弃矿山上，设立伐木与烧炭的据点。赫萝三天前出门，就是为了送信
1_16	涉及角色分歧	[]	[('谭雅', '做')]	花费多年心力在秃山种树的谭雅，就是为如何维持山中植被的情况下获得最大利益燃起了雄心壮志。
1_17	涉及角色分歧	[]	[('罗伦斯', '做'), ('谭雅', '做')]	所以她非常热心地向罗伦斯请教该种什么树，怎么种能才卖更好的价钱。松鼠型态下圆得像颗球的谭雅，是个跟外
1_18	涉及角色分歧	[]	[('赫萝', '做')]	赫萝就跟她差多了，怎么教也记不住货币种类，头脑很聪明却容易厌烦，只有在使坏地轻咬罗伦斯打闹时表情最开
1_19	涉及角色分歧	[]	[('艾尔莎', '做')]	由于关系到主教区的财产，艾莉莎也难得在第三天夜里很晚才睡。等到谈完回房，沉默与黑暗让他觉得好累。上次
1_21	涉及角色分歧	[]	[('谭雅', '做')]	白天都在和前晚留下来过夜的谭雅研拟植林计划，不过她日落之后就返回她最爱的山上，艾莉莎也照常早早就寝了
1_25	涉及角色分歧	[('罗伦斯', '做')]	[]	少了赫萝很寂寞。
1_28	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	那么有可能是在德堡商行对卖山一事起了争执，不过最可能的还是在德堡商行总行受到热情款待，一不小心就待久
1_39	涉及角色分歧	[('罗伦斯', '做')]	[]	如果这是再也无法相见的永别呢？
1_42	涉及角色分歧	[('罗伦斯', '做')]	[]	因为即使这样伺候她，追着赫萝尾巴似的一字字往下读之后，看见的都是罗伦斯不给咱买什么、不给咱做什么、不
1_46	涉及角色分歧	[]	[('赫萝', '做')]	德堡商行是掌管北方地区的大商行，控制着大部分物流。赫萝必定是一路上都在期待一盘接一盘的山珍海味，她送
1_49	说存在性分歧	[('罗伦斯', '做')]	[('罗伦斯', '说')]	“？”
1_59	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	罗伦斯都恐怕抱不住的大眼珠直瞪着他。
1_73	涉及角色分歧	[('罗伦斯', '做')]	[]	从她别开眼睛装蒜，就知道她真的在德堡商行大喝特喝过。
1_74	涉及角色分歧	[('罗伦斯', '做')]	[]	但看起来没有醉意，只是喝到毛发散发酒气了吧。
2_9	涉及角色分歧	[('罗伦斯', '做')]	[]	他对赫萝的爱，毕竟不是三言两语能够道尽。
2_15	涉及角色分歧	[]	[('赫萝', '做')]	罗伦斯目送大衣底下忽隐忽现的尾巴，直到她消失在宿舍里才抬起头准备关窗。
2_20	涉及角色分歧	[]	[('罗伦斯', '做')]	虽然赫萝也想把麻烦事全丢给罗伦斯做，但只有心情好时才会让他代为保养尾巴。整个仪式甚至要到餐后擦去嘴边
2_21	涉及角色分歧	[]	[('罗伦斯', '做')]	赫萝在朝阳下满意地笑，在罗伦斯脸上亲一下。
2_23	涉及角色分歧	[]	[('罗伦斯', '做'), ('赫萝', '做')]	替教堂院内药草浇水的艾莉莎看着罗伦斯和赫萝牵着手从宿舍走出来，不敢置信地说。
2_26	说话人分歧	[('艾尔莎', '说')]	[('罗伦斯', '说')]	“结果怎么样？”
2_27	说话人分歧	[('罗伦斯', '说')]	[('赫萝', '说')]	“应该是个不错的数字。”
2_50	涉及角色分歧	[('罗伦斯', '做')]	[('赫萝', '做')]	她喝的酒恐怕跟说的话一样多吧。而希尔德提出的数字，看来也是诚实地加总了山本身与天使之门的价值。
2_51	涉及角色分歧	[]	[('罗伦斯', '做')]	另外，天使之门是炼金术师以其技术制成的工具，实际上是用来聚集太阳光代替火烧的金属镜。罗伦斯知道用来放
2_63	说话人分歧	[('罗伦斯', '说')]	[('艾尔莎', '说')]	“麻烦？为什么？”
2_67	涉及角色分歧	[]	[('赫萝', '做')]	艾莉莎眨眨眼睛，再看向罗伦斯。
2_79	涉及角色分歧	[('赫萝', '做')]	[]	他对不悦地皱着眉的赫萝说：
2_81	说存在性分歧	[('赫萝', '做')]	[('赫萝', '说')]	“？”
2_87	说话人分歧	[('罗伦斯', '说')]	[('艾尔莎', '说')]	“你说得没错，运送那么多现金是很辛苦的事，还很危险。所以希尔德先生就在这张纸上签名保证它的价值。我们
2_113	涉及角色分歧	[]	[('艾尔莎', '做')]	艾莉莎非常明白自己的角色。
2_116	涉及角色分歧	[]	[('艾尔莎', '做')]	艾莉莎应是肯定他会同意，才在这时候提起这件事。
2_127	涉及角色分歧	[]	[('艾尔莎', '做')]	艾莉莎找罗伦斯谈这件事，不是只丢下一句“现在怎么办”而已。
2_131	涉及角色分歧	[]	[('艾尔莎', '做')]	艾莉莎很清楚教会慈悲的救济之手，在数量与力量上都很有限。
2_133	涉及角色分歧	[]	[('艾尔莎', '做')]	长远来看，卖商行这个人情对居民肯定有好处，但若要讲求确实，就该直接用在居民身上。艾莉莎总是实际地考虑
2_134	涉及角色分歧	[]	[('赫萝', '做')]	赫萝曾受人类尊崇为神，也许是被迫面临过很多次这样的抉择吧。
2_136	涉及角色分歧	[]	[('赫萝', '做')]	罗伦斯整理行囊之余，将那叠日记交给赫萝。平时她甚至可能不想拿任何比面包重的东西，就只有日记会乖乖收下
2_158	涉及角色分歧	[]	[('赫萝', '做')]	见赫萝这么感兴趣，罗伦斯也说得起劲。
2_169	说存在性分歧	[('赫萝', '做')]	[('赫萝', '说')]	“……”
2_203	涉及角色分歧	[]	[('赫萝', '做')]	嫌麻烦的她自己也是个滥好人，见到罗伦斯往麻烦事钻，她也无法袖手旁观。不过罗伦斯为帮助他人而行动，她也
2_214	涉及角色分歧	[('罗伦斯', '做'), ('赫萝', '做')]	[]	艾莉莎将大教堂交给信得过的村民看顾，和罗伦斯跟赫萝一起前往大市集。她不懂骑马，山路又十分足以供货车通
2_217	涉及角色分歧	[('艾尔莎', '做')]	[]	正确说来，是跟艾莉莎一起坐在货台的赫萝不太对劲。
3_0	涉及角色分歧	[('罗伦斯', '做'), ('艾尔莎', '做')]	[]	赫萝和艾莉莎个性相反，动不动就会去注意她。所以放她一个人在货台，让赫萝坐不安稳，又不能叫她来驾座跟罗
3_9	涉及角色分歧	[('赫萝', '做')]	[]	曾以行商为生的罗伦斯很了解这喧嚣的苦与乐，隐隐一笑。而且赫萝到了那里，一定会到处讨吃。
3_11	涉及角色分歧	[('罗伦斯', '做')]	[]	就在他逡巡是否该去找人而打算站起时，赫萝回来了。一问之下，才知道她找了棵稍微远离道路的树，钉上给谭雅
3_18	涉及角色分歧	[('罗伦斯', '做')]	[]	足以让罗伦斯赌上一生的美好，就在这里。
3_23	涉及角色分歧	[('艾尔莎', '做')]	[]	对于艾莉莎别暴饮暴食的叮嘱，全都当作耳边风。
3_34	涉及角色分歧	[('艾尔莎', '做')]	[]	到了第五个商人样的男子，甚至一见到她就吓跑了。
