uid	kind	A_only	B_only	text
2_6	涉及角色分歧	[('诺儿菈', '做')]	[]	刚踏上旅途，就如此落寞寡欢，未来的旅途要怎么走下去？
2_11	涉及角色分歧	[('艾尼克', '做')]	[]	这位勇敢耿直的小骑士，有时候也会非常符合骑士作风地有些严肃。
2_16	涉及角色分歧	[('诺儿菈', '做')]	[]	到了第三步、第四步，更是不需要特别去意识。
2_17	涉及角色分歧	[('诺儿菈', '做')]	[]	随着脚步轻快地前进，四周的景色也逐渐改变。
4_2	涉及角色分歧	[('艾尼克', '做')]	[]	敝人现在之所以能够活在世上，完全是因为命运。
4_4	涉及角色分歧	[('艾尼克', '做')]	[]	不过，至少能够肯定地说，这段岁月并不短。
4_6	涉及角色分歧	[('艾尼克', '做')]	[]	另外，还有一点一定要让大家知道。那就是我这辈子只跟随过两位主人。
4_7	涉及角色分歧	[('艾尼克', '做')]	[]	第一任主人非常沉默寡言，且稳重如山，十分具有主人风范，也是这位主人在我出生不久后，就严厉训练我，让我
4_9	涉及角色分歧	[('艾尼克', '做')]	[]	去到野外时，不仅会遇到狼或熊等凶掹动物，也会遇到以铁作为武装、比这些动物的尖牙或利爪更加可怕的人类，
4_11	涉及角色分歧	[('艾尼克', '做')]	[]	不管原因为何，那天晚上我拼命奋战。
4_12	涉及角色分歧	[('艾尼克', '做')]	[]	我尽最大努力地奋战。
4_14	涉及角色分歧	[('艾尼克', '做')]	[]	如果是因为持有这般自傲想法，才让敌方乘隙而人，状况或许会好一些。
4_15	涉及角色分歧	[('艾尼克', '做')]	[]	那晚我们彻底处于劣势，主人当场倒地，而我受了伤。
4_16	涉及角色分歧	[('艾尼克', '做')]	[]	那场剧烈风雨之中，已分不清沾满主人脸部的是鲜血、泥土，还是雨水。主人把相当于其性命的拐杖交付给我时的
4_17	涉及角色分歧	[('艾尼克', '做')]	[]	仆人除了保护主人的安全之外，也必须付出相同心力保护其名誉。
4_18	涉及角色分歧	[('艾尼克', '做')]	[]	我带着主人的拐杖逃跑。
4_19	涉及角色分歧	[('艾尼克', '做')]	[]	拼了命逃跑。
4_20	涉及角色分歧	[('艾尼克', '做')]	[]	恰巧落下的风雨以及黑夜，肯定站在我这一方。
4_21	涉及角色分歧	[('艾尼克', '做')]	[]	忘我地不断奔跑后，等到我察觉时，天已经亮了。
4_22	涉及角色分歧	[('艾尼克', '做')]	[]	我不知道自己身上哪里受了伤，也精疲力尽得无法再多走一步路，最后缩成一团倚在一块大石头底下。
4_23	涉及角色分歧	[('艾尼克', '做')]	[]	前晚的风雨如一场梦般消散，太阳缓缓从地平线升起。就算到了现在，我遗忘不了当时感受到的温暖阳光。
4_25	涉及角色分歧	[('艾尼克', '做')]	[]	我是否守住了主人的名誉呢？
4_26	涉及角色分歧	[('艾尼克', '做')]	[]	望着眼前想必已成为遗物的拐杖，我只能够如此自问。
4_27	涉及角色分歧	[('艾尼克', '做')]	[]	只要上了天堂，就能够询问主人这个问题。
4_28	涉及角色分歧	[('艾尼克', '做')]	[]	抱着这仅有的慰藉，我闭上肯定没有机会再睁开的眼帘。
4_30	涉及角色分歧	[('艾尼克', '做')]	[]	然而，印入眼帘的景象实在不像来自天堂的存在。
4_32	涉及角色分歧	[('艾尼克', '做')]	[]	主人时而因为喝醉酒而变得多话时，会称呼我为骑士。另外，主人偶尔也会告诉我身为骑士的职务何在，我也为骑
4_33	涉及角色分歧	[('艾尼克', '做')]	[]	既然如此，我更必须创造奇迹。
4_34	涉及角色分歧	[('艾尼克', '做')]	[]	尽管自己就快不支倒地，女孩还是哭着拼命想让我从死亡崖边站起来。这时候如果没有站起来，我要如何再以骑士
4_36	涉及角色分歧	[('艾尼克', '做')]	[]	当时的那份骄傲感我至今难忘。
4_38	涉及角色分歧	[('诺儿菈', '做')]	[]	在饥饿与寒冷之中，不仅为他人担心，还能够展露笑颜。
4_39	涉及角色分歧	[('艾尼克', '做')]	[]	正是这个瞬间，让我愿意把女孩当成新主人。
4_42	涉及角色分歧	[('艾尼克', '做')]	[]	我因此有了新主人，这位新主人虽然有些不可靠，但拥有无人能比的慈悲心，其资质足以让我愿意为其效命。新主
4_43	涉及角色分歧	[('艾尼克', '做')]	[]	为这位诺儿菈效命的在下名为艾尼克。多亏由新主人继承的拐杖上刻了我的名字，所以免除了换名字的不便。大缘
4_45	涉及角色分歧	[('艾尼克', '做')]	[]	我只是一只狗还没大没小地说这种话，不知道身为人类的主人会不会生气？
4_47	涉及角色分歧	[('艾尼克', '做')]	[]	为什么我会这么说呢？你们看！
4_48	涉及角色分歧	[('艾尼克', '做')]	[]	我如果没有陪在身边，主人连想要安稳入睡都有困难。
4_49	涉及角色分歧	[('艾尼克', '做')]	[]	虽然是个十分软弱的主人，但相互扶持的关系也是美好的主从关系。
5_9	涉及角色分歧	[('艾尼克', '做')]	[]	一点也没错。
5_10	涉及角色分歧	[('艾尼克', '做')]	[]	对于主人的话语，我不得不表示赞同。
5_13	涉及角色分歧	[('艾尼克', '做')]	[]	虽然主人与我是靠着这样的工作维生，但如今已不再从事这个仿佛会永远持续下去、没有每日之分的漫长工作。对
